variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,left_command,right_command,lr_delta_command,passes_abs_0p6_gate
Baseline,0.014794249999999998,0.0,0.014794249999999998,0.2617439811042084,-0.2617439811042084,0.5234879622084168,0
B_stribeck,0.014794249999999998,0.06501335920678508,0.07980760920678508,0.6427496056765714,-0.6427496056765714,1.2854992113531427,1
C_combined_slip,0.014794249999999998,0.018240534311908203,0.033034784311908205,0.368641182738375,-0.368641182738375,0.73728236547675,0
Round2_static_yield_contact,0.014794249999999998,0.0650074555866783,0.07980170558667829,0.6427150079801368,-0.6427150079801368,1.2854300159602736,1
