run_id,family,path,input_rows,kept_rows,bias_radps,bias_rows,extracted_samples,max_abs_forward_mps,max_abs_yaw_radps,nonzero_forward_samples,cutoff_reason,cutoff_tick,cutoff_time_us,limitation
2026-04-15_02-09-58,open_floor,TestResults\mmlog_decode_2026-04-15_02-09-58\open_floor_main.csv,117247,117247,-0.003665191,31749,70855,0.827971,23.718675,27512,kept through final sensor-active row,,,
2026-04-16_02-43-36,open_floor,TestResults\mmlog_decode_2026-04-16_02-43-36\open_floor_main.csv,36453,34837,-0.003665191,27076,7469,0.252502,1.221730,683,dropped final sensor-quiescent/invalid tail >= 0.25 s,35038,39639511,
2026-04-20_02-33-07,open_floor,TestResults\mmlog_decode_2026-04-20_02-33-07\open_floor_main.csv,27971,27971,-0.001221730,254,25361,0.848523,22.836585,24891,kept through final sensor-active row,,,
2026-04-20_04-54-09,open_floor,TestResults\mmlog_decode_2026-04-20_04-54-09\open_floor_main.csv,137183,137183,-0.001221730,28659,72433,0.898436,15.192219,29292,kept through final sensor-active row,,,
2026-04-20_08-38-39,open_floor,TestResults\mmlog_decode_2026-04-20_08-38-39\open_floor_main.csv,217867,217867,-0.001221730,28493,120971,0.860267,17.347350,33482,kept through final sensor-active row,,,
2026-04-20_10-22-09,open_floor,TestResults\mmlog_decode_2026-04-20_10-22-09\open_floor_main.csv,99917,99917,0.001221730,15004,66450,0.895500,16.597209,14533,kept through final sensor-active row,,,
2026-04-20_11-47-47,open_floor,TestResults\mmlog_decode_2026-04-20_11-47-47\open_floor_main.csv,82269,82269,-0.000000000,81666,31318,0.135059,0.355524,0,kept through final sensor-active row,,,
2026-04-20_12-10-58,open_floor,TestResults\mmlog_decode_2026-04-20_12-10-58\open_floor_main.csv,86556,86556,-0.002443461,15020,67197,0.692912,21.932505,33515,kept through final sensor-active row,,,
2026-04-20_23-05-07,open_floor,TestResults\mmlog_decode_2026-04-20_23-05-07\open_floor_main.csv,39325,39325,-0.003665191,34533,7118,0.229013,1.287704,232,kept through final sensor-active row,,,
2026-04-21_00-16-10,open_floor,TestResults\mmlog_decode_2026-04-21_00-16-10\open_floor_main.csv,109329,109329,-0.008552114,15074,91015,1.177363,18.228220,54898,kept through final sensor-active row,,,
2026-04-21_01-09-34,open_floor,TestResults\mmlog_decode_2026-04-21_01-09-34\open_floor_main.csv,101013,101013,-0.006108652,15074,79568,0.739889,17.959438,43332,kept through final sensor-active row,,,
2026-04-21_02-46-49,open_floor,TestResults\mmlog_decode_2026-04-21_02-46-49\open_floor_main.csv,84984,84984,-0.003665191,15074,61782,0.610702,18.292970,23213,kept through final sensor-active row,,,
2026-04-21_04-14-05,open_floor,TestResults\mmlog_decode_2026-04-21_04-14-05\open_floor_main.csv,78953,78953,-0.003665191,15074,57973,0.604830,17.993646,21416,kept through final sensor-active row,,,
2026-04-21_05-32-06,open_floor,TestResults\mmlog_decode_2026-04-21_05-32-06\open_floor_main.csv,234369,234369,-0.006108652,15074,134963,0.607766,9.246056,18813,kept through final sensor-active row,,,
2026-04-21_05-59-46,open_floor,TestResults\mmlog_decode_2026-04-21_05-59-46\open_floor_main.csv,100419,100419,-0.004886922,15075,71741,0.604830,10.191675,21161,kept through final sensor-active row,,,
2026-04-21_23-39-12,open_floor,TestResults\mmlog_decode_2026-04-21_23-39-12\open_floor_main.csv,41476,41476,-0.006108652,15023,25516,0.552182,2.348166,10847,kept through final sensor-active row,,,
2026-04-22_01-06-32,open_floor,TestResults\mmlog_decode_2026-04-22_01-06-32\open_floor_main.csv,41476,41476,-0.006108652,15023,25516,0.552182,2.348166,10847,kept through final sensor-active row,,,
2026-04-22_12-10-34,open_floor,TestResults\mmlog_decode_2026-04-22_12-10-34\open_floor_main.csv,68965,68965,-0.004886922,15039,43820,0.604830,1.320691,16092,kept through final sensor-active row,,,
2026-05-04_16-57-53,open_floor,TestResults\mmlog_decode_2026-05-04_16-57-53\open_floor_main.csv,208375,208375,-0.000000000,166670,26099,0.352328,2.080607,2820,kept through final sensor-active row,,,
2026-05-04_20-35-47,open_floor,TestResults\mmlog_decode_2026-05-04_20-35-47\open_floor_main.csv,145644,145644,-0.000000000,58006,61874,0.320031,9.345016,2667,kept through final sensor-active row,,,
diag000,competition_diag,TestResults\Competition Testing Data\diag000.csv,78068,77274,-0.001222000,10033,62887,0.653227,8.706051,15446,dropped final sensor-quiescent/invalid tail >= 0.25 s,77274,144632384,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
diag001,competition_diag,TestResults\Competition Testing Data\diag001.csv,81413,80609,0.003665000,10409,63777,0.625455,13.600304,15300,dropped final sensor-quiescent/invalid tail >= 0.25 s,80609,147051811,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
diag002,competition_diag,TestResults\Competition Testing Data\diag002.csv,1718,1718,-0.098960000,1691,659,0.000000,0.549779,0,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
diag003,competition_diag,TestResults\Competition Testing Data\diag003.csv,157729,156102,0.003665000,20477,127575,0.624866,8.064643,29891,dropped final sensor-quiescent/invalid tail >= 0.25 s,156102,132963417,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux000,competition_aux,TestResults\Competition Testing Data\aux000.csv,16388,16388,0.004887000,1023,11677,0.803834,20.047376,5242,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux001,competition_aux,TestResults\Competition Testing Data\aux001.csv,40173,40173,0.003665000,2906,23837,0.778214,20.211087,12866,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux002,competition_aux,TestResults\Competition Testing Data\aux002.csv,53366,53366,0.004887000,4337,35649,0.971468,20.349142,20088,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux003,competition_aux,TestResults\Competition Testing Data\aux003.csv,37677,37677,0.003665000,3111,27724,0.738746,20.085250,15138,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux004,competition_aux,TestResults\Competition Testing Data\aux004.csv,42804,42804,0.003665000,3524,31441,0.682651,18.701028,16225,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux005,competition_aux,TestResults\Competition Testing Data\aux005.csv,27221,27221,0.000000000,1761,15695,0.496849,16.426167,7392,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux006,competition_aux,TestResults\Competition Testing Data\aux006.csv,27170,27170,0.004887000,845,14382,0.630891,16.807346,5708,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux007,competition_aux,TestResults\Competition Testing Data\aux007.csv,20158,20158,-0.004887000,1763,13535,0.563878,17.324138,6240,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux008,competition_aux,TestResults\Competition Testing Data\aux008.csv,34927,34927,0.003665000,1225,23068,1.007389,13.285098,10112,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux009,competition_aux,TestResults\Competition Testing Data\aux009.csv,36735,36735,0.004887000,1373,26147,0.548872,13.187358,10353,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux010,competition_aux,TestResults\Competition Testing Data\aux010.csv,30492,30492,0.003665000,1133,22149,0.852678,13.012652,9865,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux011,competition_aux,TestResults\Competition Testing Data\aux011.csv,1675,1675,0.000000000,0,1219,0.114071,1.594358,0,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
aux012,competition_aux,TestResults\Competition Testing Data\aux012.csv,13035,13035,0.004887000,540,9631,0.322035,12.802513,4068,kept through final sensor-active row,,,"legacy competition schema: no saturation/watchdog fields, no per-row fan duty, wheel omega derived from velocity/current radius; treated as approximate current PlantModel mirror replay"
