abs_forward_velocity_bin_mps,abs_yaw_rate_bin_radps,count,forward_positive_count,forward_negative_count,yaw_positive_count,yaw_negative_count,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm,median_abs_residual_additive_yaw_torque_nm
0.10,8.00,1418,592,826,667,751,-0.103224001,-0.100297654,0.026944538,0.054468456,0.103343590
0.10,8.50,1448,520,928,687,761,-0.106271038,-0.104999450,0.022796687,0.045649932,0.106398382
0.10,9.00,1394,478,916,657,737,-0.108445762,-0.106758755,0.021283470,0.043035308,0.108510992
0.10,9.50,1179,442,737,506,673,-0.109317318,-0.109069068,0.018657516,0.037314640,0.109534687
0.10,10.00,1156,496,660,512,644,-0.109807859,-0.109329249,0.019156824,0.038277140,0.110177883
0.10,10.50,1071,481,590,501,570,-0.110469378,-0.110352009,0.019013795,0.038232077,0.110967190
0.10,11.00,1062,602,460,597,465,-0.110632530,-0.111401833,0.017805219,0.035130485,0.110686325
0.10,11.50,894,441,453,460,434,-0.111991729,-0.111990269,0.018706395,0.037370793,0.111991729
0.10,12.00,613,266,347,324,289,-0.111601461,-0.112110578,0.019201912,0.038286277,0.111618915
0.10,12.50,493,230,263,235,258,-0.113030496,-0.112145320,0.020436374,0.040549782,0.113030496
0.10,13.00,405,152,253,224,181,-0.115770610,-0.114334610,0.020800196,0.040699589,0.115770610
0.10,13.50,370,130,240,218,152,-0.112401204,-0.112568414,0.020818409,0.041690131,0.112556213
0.10,14.00,341,102,239,203,138,-0.106825396,-0.108676879,0.021215088,0.041686938,0.107347314
0.10,14.50,350,106,244,234,116,-0.109173369,-0.109345387,0.019436278,0.038979436,0.109173369
0.10,15.00,223,68,155,141,82,-0.107931869,-0.110105517,0.021235681,0.040366556,0.107931869
0.10,15.50,180,64,116,160,20,-0.112937885,-0.112959436,0.018593641,0.037149066,0.113284383
0.10,16.00,152,56,96,138,14,-0.113598343,-0.111276720,0.022848149,0.045046741,0.113598343
0.10,16.50,159,76,83,138,21,-0.110806643,-0.111821292,0.018715396,0.037132025,0.111976804
0.10,17.00,106,62,44,88,18,-0.116168479,-0.114287663,0.015495341,0.030516259,0.117149716
0.20,0.00,172640,98108,74532,84476,88164,0.000216948,0.000202264,0.005421184,0.010841924,0.005458820
0.20,0.50,32519,20789,11730,13936,18583,-0.002917872,-0.012612201,0.023363202,0.058907860,0.022504104
