forward_velocity_bin_mps,yaw_rate_bin_radps,abs_forward_velocity_bin_mps,abs_yaw_rate_bin_radps,count,median_residual_additive_yaw_torque_nm,trimmed_mean_residual_additive_yaw_torque_nm,mad_residual_additive_yaw_torque_nm,iqr_residual_additive_yaw_torque_nm,median_opposing_yaw_resistance_nm,trimmed_mean_opposing_yaw_resistance_nm,mad_opposing_yaw_resistance_nm,iqr_opposing_yaw_resistance_nm
-0.20,0.00,0.20,0.00,74532,0.000119246,0.000304758,0.005521353,0.011054537,0.000521395,0.000667274,0.005453775,0.010972997
-0.20,0.50,0.20,0.50,2865,0.015141015,0.023655819,0.031692821,0.066568556,-0.015141015,-0.023655819,0.031692821,0.066568556
-0.20,1.00,0.20,1.00,1513,0.041488017,0.040995984,0.034768920,0.068299722,-0.041488017,-0.040995984,0.034768920,0.068299722
-0.20,1.50,0.20,1.50,907,0.048920136,0.045233293,0.028121514,0.056221671,-0.048920136,-0.045233293,0.028121514,0.056221671
-0.20,2.00,0.20,2.00,576,0.052754681,0.055683943,0.023134695,0.045647459,-0.052754681,-0.055683943,0.023134695,0.045647459
-0.20,2.50,0.20,2.50,414,0.063002209,0.072246394,0.029475195,0.072140665,-0.063002209,-0.072246394,0.029475195,0.072140665
-0.20,3.00,0.20,3.00,204,0.056871842,0.068423598,0.028768205,0.063158610,-0.056871842,-0.068423598,0.028768205,0.063158610
-0.20,3.50,0.20,3.50,82,0.054373887,0.066052818,0.041396390,0.092670631,-0.054373887,-0.066052818,0.041396390,0.092670631
-0.10,-14.50,0.10,14.50,92,-0.109770939,-0.110144803,0.014463767,0.028921319,-0.109770939,-0.110144803,0.014463767,0.028921319
-0.10,-14.00,0.10,14.00,95,-0.107805184,-0.109205747,0.017224604,0.035830564,-0.107805184,-0.109205747,0.017224604,0.035830564
-0.10,-13.00,0.10,13.00,82,-0.111351839,-0.108446888,0.016671744,0.030477570,-0.111351839,-0.108446888,0.016671744,0.030477570
-0.10,-12.50,0.10,12.50,90,-0.113343274,-0.110820559,0.017432062,0.037262054,-0.113343274,-0.110820559,0.017432062,0.037262054
-0.10,-12.00,0.10,12.00,112,-0.104581819,-0.104491748,0.016707941,0.032288961,-0.104581819,-0.104491748,0.016707941,0.032288961
-0.10,-11.50,0.10,11.50,186,-0.105517866,-0.103932344,0.012728095,0.025050149,-0.105517866,-0.103932344,0.012728095,0.025050149
-0.10,-11.00,0.10,11.00,242,-0.106916973,-0.105481354,0.014630021,0.030177572,-0.106916973,-0.105481354,0.014630021,0.030177572
-0.10,-10.50,0.10,10.50,399,-0.106498946,-0.106135345,0.015998222,0.032014161,-0.106498946,-0.106135345,0.015998222,0.032014161
-0.10,-10.00,0.10,10.00,437,-0.103615558,-0.103698012,0.014286169,0.028797672,-0.103615558,-0.103698012,0.014286169,0.028797672
-0.10,-9.50,0.10,9.50,443,-0.099961842,-0.100164157,0.016451800,0.033379810,-0.099961842,-0.100164157,0.016451800,0.033379810
-0.10,-9.00,0.10,9.00,465,-0.091083980,-0.089279332,0.019167494,0.038541078,-0.091083980,-0.089279332,0.019167494,0.038541078
-0.10,-8.50,0.10,8.50,455,-0.090183295,-0.088699595,0.019043438,0.038068705,-0.090183295,-0.088699595,0.019043438,0.038068705
-0.10,-8.00,0.10,8.00,386,-0.084654580,-0.084869386,0.017984033,0.035742878,-0.084654580,-0.084869386,0.017984033,0.035742878
-0.10,-7.50,0.10,7.50,335,-0.083060351,-0.080507528,0.021288737,0.044586133,-0.083060351,-0.080507528,0.021288737,0.044586133
-0.10,-7.00,0.10,7.00,375,-0.076328319,-0.067361228,0.030521865,0.074805403,-0.076328319,-0.067361228,0.030521865,0.074805403
-0.10,-6.50,0.10,6.50,403,-0.057895614,-0.042029744,0.041568947,0.104777856,-0.057895614,-0.042029744,0.041568947,0.104777856
-0.10,-6.00,0.10,6.00,475,-0.016088808,-0.018469302,0.057710292,0.113576023,-0.016088808,-0.018469302,0.057710292,0.113576023
-0.10,-5.50,0.10,5.50,382,-0.046810415,-0.039899969,0.045595362,0.097430982,-0.046810415,-0.039899969,0.045595362,0.097430982
-0.10,-5.00,0.10,5.00,412,-0.033028772,-0.035160827,0.044366620,0.087673031,-0.033028772,-0.035160827,0.044366620,0.087673031
-0.10,-4.50,0.10,4.50,470,-0.004013981,-0.010066851,0.043819373,0.090583313,-0.004013981,-0.010066851,0.043819373,0.090583313
-0.10,-4.00,0.10,4.00,611,-0.000546987,-0.009866716,0.028478068,0.074917997,-0.000546987,-0.009866716,0.028478068,0.074917997
-0.10,-3.50,0.10,3.50,1245,0.001088282,-0.010801248,0.035135960,0.087134917,0.001088282,-0.010801248,0.035135960,0.087134917
-0.10,-3.00,0.10,3.00,2051,0.000878419,-0.010512681,0.043481325,0.091283680,0.000878419,-0.010512681,0.043481325,0.091283680
-0.10,-2.50,0.10,2.50,2504,0.010436314,0.000718892,0.043207893,0.088990529,0.010436314,0.000718892,0.043207893,0.088990529
-0.10,-2.00,0.10,2.00,2706,0.019642187,0.015736884,0.047888420,0.096545284,0.019642187,0.015736884,0.047888420,0.096545284
-0.10,-1.50,0.10,1.50,2769,0.025066374,0.023096633,0.052271919,0.105023249,0.025066374,0.023096633,0.052271919,0.105023249
-0.10,-1.00,0.10,1.00,3747,0.035056661,0.029439808,0.055591820,0.110949142,0.035056661,0.029439808,0.055591820,0.110949142
-0.10,-0.50,0.10,0.50,13736,0.009145762,0.009745740,0.042935629,0.084400967,0.009145762,0.009745740,0.042935629,0.084400967
-0.10,0.00,0.10,0.00,342754,-0.000157614,-0.000712098,0.007347047,0.014733971,0.000560992,0.002147345,0.007255868,0.015395619
-0.10,0.50,0.10,0.50,13591,0.011752827,0.019003927,0.052004813,0.104639290,-0.011752827,-0.019003927,0.052004813,0.104639290
-0.10,1.00,0.10,1.00,4118,0.051432935,0.045204785,0.039200258,0.076296335,-0.051432935,-0.045204785,0.039200258,0.076296335
-0.10,1.50,0.10,1.50,3399,0.052067112,0.047003518,0.029519942,0.062817007,-0.052067112,-0.047003518,0.029519942,0.062817007
-0.10,2.00,0.10,2.00,3348,0.051464990,0.050214383,0.023359912,0.047062314,-0.051464990,-0.050214383,0.023359912,0.047062314
-0.10,2.50,0.10,2.50,3295,0.047027457,0.050287129,0.021956590,0.044200325,-0.047027457,-0.050287129,0.021956590,0.044200325
-0.10,3.00,0.10,3.00,2117,0.046301288,0.051715922,0.024910675,0.052114257,-0.046301288,-0.051715922,0.024910675,0.052114257
-0.10,3.50,0.10,3.50,1350,0.047863518,0.045519613,0.027820906,0.056802276,-0.047863518,-0.045519613,0.027820906,0.056802276
-0.10,4.00,0.10,4.00,1225,0.059942605,0.060194726,0.030868019,0.062049178,-0.059942605,-0.060194726,0.030868019,0.062049178
-0.10,4.50,0.10,4.50,582,0.088558182,0.084354644,0.040066288,0.083764952,-0.088558182,-0.084354644,0.040066288,0.083764952
-0.10,5.00,0.10,5.00,601,0.103584278,0.093500618,0.029459341,0.068621963,-0.103584278,-0.093500618,0.029459341,0.068621963
-0.10,5.50,0.10,5.50,385,0.107479569,0.097944406,0.035579641,0.079021457,-0.107479569,-0.097944406,0.035579641,0.079021457
-0.10,6.00,0.10,6.00,359,0.120292915,0.117267730,0.027293899,0.056105979,-0.120292915,-0.117267730,0.027293899,0.056105979
-0.10,6.50,0.10,6.50,340,0.116573142,0.115780274,0.032013011,0.064030189,-0.116573142,-0.115780274,0.032013011,0.064030189
-0.10,7.00,0.10,7.00,351,0.115993405,0.111604037,0.027708938,0.056962791,-0.115993405,-0.111604037,0.027708938,0.056962791
-0.10,7.50,0.10,7.50,459,0.114744391,0.108306194,0.022402959,0.044203450,-0.114744391,-0.108306194,0.022402959,0.044203450
-0.10,8.00,0.10,8.00,440,0.116106521,0.109380548,0.023143078,0.047519925,-0.116106521,-0.109380548,0.023143078,0.047519925
-0.10,8.50,0.10,8.50,473,0.118193389,0.118506552,0.016194223,0.031741676,-0.118193389,-0.118506552,0.016194223,0.031741676
-0.10,9.00,0.10,9.00,451,0.119312768,0.117949063,0.015148504,0.030067022,-0.119312768,-0.117949063,0.015148504,0.030067022
-0.10,9.50,0.10,9.50,294,0.116779451,0.116720699,0.019775896,0.039317867,-0.116779451,-0.116720699,0.019775896,0.039317867
-0.10,10.00,0.10,10.00,223,0.114471505,0.112247714,0.025279711,0.052607924,-0.114471505,-0.112247714,0.025279711,0.052607924
-0.10,10.50,0.10,10.50,191,0.118002224,0.113126242,0.022401009,0.048217606,-0.118002224,-0.113126242,0.022401009,0.048217606
-0.10,11.00,0.10,11.00,218,0.114731768,0.113721643,0.023540238,0.046977012,-0.114731768,-0.113721643,0.023540238,0.046977012
-0.10,11.50,0.10,11.50,267,0.108553001,0.108060510,0.020952541,0.041520130,-0.108553001,-0.108060510,0.020952541,0.041520130
-0.10,12.00,0.10,12.00,235,0.111784158,0.111056914,0.019390818,0.038846454,-0.111784158,-0.111056914,0.019390818,0.038846454
-0.10,12.50,0.10,12.50,173,0.106266543,0.106706546,0.026104728,0.053988365,-0.106266543,-0.106706546,0.026104728,0.053988365
-0.10,13.00,0.10,13.00,171,0.110019033,0.108929664,0.023545308,0.046240084,-0.110019033,-0.108929664,0.023545308,0.046240084
-0.10,13.50,0.10,13.50,162,0.106806779,0.107330294,0.026322909,0.052215164,-0.106806779,-0.107330294,0.026322909,0.052215164
-0.10,14.00,0.10,14.00,144,0.100451002,0.104123059,0.024545450,0.046965047,-0.100451002,-0.104123059,0.024545450,0.046965047
-0.10,14.50,0.10,14.50,152,0.102039950,0.104468370,0.022000772,0.043505504,-0.102039950,-0.104468370,0.022000772,0.043505504
-0.10,15.00,0.10,15.00,102,0.096856243,0.102717230,0.019802537,0.044226128,-0.096856243,-0.102717230,0.019802537,0.044226128
-0.10,15.50,0.10,15.50,101,0.109631284,0.109182076,0.019185303,0.037945959,-0.109631284,-0.109182076,0.019185303,0.037945959
-0.10,16.00,0.10,16.00,85,0.118703769,0.117038315,0.021847021,0.042669036,-0.118703769,-0.117038315,0.021847021,0.042669036
0.00,-17.00,0.00,17.00,81,-0.097217817,-0.037752226,0.037565948,0.194072152,-0.097217817,-0.037752226,0.037565948,0.194072152
0.00,-15.50,0.00,15.50,87,-0.111325206,-0.106585587,0.016617214,0.032909818,-0.111325206,-0.106585587,0.016617214,0.032909818
0.00,-15.00,0.00,15.00,128,-0.115393583,-0.112712321,0.013157492,0.027364693,-0.115393583,-0.112712321,0.013157492,0.027364693
0.00,-14.50,0.00,14.50,187,-0.112452087,-0.112665274,0.018365516,0.036509646,-0.112452087,-0.112665274,0.018365516,0.036509646
0.00,-14.00,0.00,14.00,315,-0.112433912,-0.113491764,0.013658551,0.026585569,-0.112433912,-0.113491764,0.013658551,0.026585569
0.00,-13.50,0.00,13.50,396,-0.112420394,-0.112915147,0.013146264,0.026188114,-0.112420394,-0.112915147,0.013146264,0.026188114
0.00,-13.00,0.00,13.00,406,-0.112269689,-0.111636991,0.013994437,0.028689345,-0.112269689,-0.111636991,0.013994437,0.028689345
0.00,-12.50,0.00,12.50,548,-0.108050026,-0.099417757,0.017139959,0.035014651,-0.108050026,-0.099417757,0.017139959,0.035014651
0.00,-12.00,0.00,12.00,621,-0.110999203,-0.109829988,0.017071120,0.033766193,-0.110999203,-0.109829988,0.017071120,0.033766193
0.00,-11.50,0.00,11.50,591,-0.111667546,-0.111756338,0.014843219,0.029041720,-0.111667546,-0.111756338,0.014843219,0.029041720
0.00,-11.00,0.00,11.00,621,-0.111245117,-0.110806848,0.016178344,0.032140364,-0.111245117,-0.110806848,0.016178344,0.032140364
0.00,-10.50,0.00,10.50,697,-0.112594334,-0.112520173,0.016712872,0.033082408,-0.112594334,-0.112520173,0.016712872,0.033082408
0.00,-10.00,0.00,10.00,893,-0.114445491,-0.113843897,0.016047120,0.032219695,-0.114445491,-0.113843897,0.016047120,0.032219695
0.00,-9.50,0.00,9.50,781,-0.111495632,-0.112921080,0.015355000,0.031113445,-0.111495632,-0.112921080,0.015355000,0.031113445
0.00,-9.00,0.00,9.00,812,-0.111569804,-0.110951809,0.017116284,0.033924147,-0.111569804,-0.110951809,0.017116284,0.033924147
0.00,-8.50,0.00,8.50,1042,-0.102171324,-0.097809739,0.022478961,0.047590905,-0.102171324,-0.097809739,0.022478961,0.047590905
0.00,-8.00,0.00,8.00,2404,-0.083195626,-0.079294037,0.022151192,0.047019817,-0.083195626,-0.079294037,0.022151192,0.047019817
0.00,-7.50,0.00,7.50,2042,-0.096409999,-0.092063888,0.019061351,0.041676519,-0.096409999,-0.092063888,0.019061351,0.041676519
0.00,-7.00,0.00,7.00,1916,-0.102279217,-0.089585722,0.022174870,0.054859222,-0.102279217,-0.089585722,0.022174870,0.054859222
0.00,-6.50,0.00,6.50,4594,-0.105138125,-0.093896946,0.015741387,0.040892850,-0.105138125,-0.093896946,0.015741387,0.040892850
