stage,log_parameter,count,rms_nis,sqrt_mean_nis,rejected_rate,accepted_only_rms_nis,physical_residual_rms
SEC_20_LAUNCH,forward_accel_nis,52167.0,7.6241009699534406,1.118889589524587,0.0060574692813464455,1.6315141519428589,2.126336785561005
SEC_20_LAUNCH,right_accel_nis,52167.0,2.0422125133254796,0.769008330013715,0.0012076600149519812,1.722780751045682,1.0363249453071095
SEC_20_LAUNCH,yaw_rate_nis,52167.0,1.3462424714167014,0.7635765644381936,0.0,1.3462424714167014,0.04622509769429405
SEC_30_STRAIGHT,forward_accel_nis,32803.0,39.031702311629815,2.8064705295543404,0.040423132030606955,3.069049537589287,4.061780173376745
SEC_30_STRAIGHT,right_accel_nis,32803.0,10.32048183640994,1.5151050860843915,0.019723805749474133,2.8100820448069035,1.9934989472447124
SEC_30_STRAIGHT,yaw_rate_nis,32803.0,24.050185640020207,1.7377687056919318,0.0,24.050185640020207,0.09636386826247464
SEC_40_YAW,forward_accel_nis,11254.0,3.971835242395066,1.4450772841269417,0.0012440021325750845,2.8742844642320327,1.94576779193
SEC_40_YAW,right_accel_nis,11254.0,2.990744545816817,1.274795084091707,0.0009774302470232806,2.483391274494629,1.60823098649
SEC_40_YAW,yaw_rate_nis,11254.0,15.5026399442132,3.576163929205655,0.0,15.5026399442132,0.159713223401
launch,forward_accel_nis,26200.0,9.901246657550855,1.295779677651512,0.004541984732824428,2.1551809420927808,2.4979425918649705
launch,right_accel_nis,26200.0,3.128369436319206,0.9304619487557395,0.003969465648854962,1.9013658762908872,1.2644303858232326
launch,yaw_rate_nis,26200.0,6.400743159884276,1.146721350636655,0.0,6.400743159884276,0.06521764492948268
mixed_launch,forward_accel_nis,77263.0,17.08170761903454,1.748876002574092,0.012645121209375769,2.6728709248564604,3.1517112520429786
mixed_launch,right_accel_nis,77263.0,8.390084025203224,1.4706573339238314,0.018818839548037224,3.132755179434534,2.0076328524976494
mixed_launch,yaw_rate_nis,77263.0,11.927595496158307,1.4630354121975777,0.0,11.927595496158307,0.08613210343497962
straight,forward_accel_nis,1095.0,68.81936485828474,5.61507446826038,0.28949771689497716,6.95999914613061,7.40340249073
straight,right_accel_nis,1095.0,38.686785033855,4.284198620395118,0.16255707762557078,9.068263016830784,5.54258995321
straight,yaw_rate_nis,1095.0,167.35633997346818,7.096288255407584,0.0,167.35633997346818,0.32630500584
yaw_launch,forward_accel_nis,174625.0,103.3711407039546,5.812025721632607,0.1500586972083035,7.0426984553452305,7.510716458261993
yaw_launch,right_accel_nis,174625.0,48.58584761145012,3.7804554916214004,0.10536864710093057,5.5695432554529924,4.663642634133517
yaw_launch,yaw_rate_nis,174625.0,141.03336338832153,5.253124211004359,0.0,141.03336338832153,0.23028329867550026
