parameter_value,launch_command_signature,log_parameter,count,rms_nis,sqrt_mean_nis,rejected_rate,accepted_only_rms_nis,physical_residual_rms
-0.8,"pair=-0.8,0.8;linear=0;yaw=0.8",forward_accel_nis,9000.0,272.45260513487074,13.072536300623193,0.6093333333333333,8.314537034520159,16.0771034685
-0.8,"pair=-0.8,0.8;linear=0;yaw=0.8",right_accel_nis,9000.0,91.35549329916255,6.727882797681105,0.40166666666666667,9.735464518858732,8.23883082774
-0.8,"pair=-0.8,0.8;linear=0;yaw=0.8",yaw_rate_nis,9000.0,222.6975829158358,9.140539196647232,0.0,222.6975829158358,0.364728952243
-0.8,"pair=0,0;linear=0;yaw=0",forward_accel_nis,1877.0,44.473630663401615,3.4106903001516007,0.08897176345231753,3.8473185889161665,4.22027417909
-0.8,"pair=0,0;linear=0;yaw=0",right_accel_nis,1877.0,23.00604087304255,2.6177605854403754,0.08577517314864144,3.6160318495561765,3.22704570266
-0.8,"pair=0,0;linear=0;yaw=0",yaw_rate_nis,1877.0,60.73816904092785,3.612868488085377,0.0,60.73816904092785,0.147336448682
-0.75,"pair=-0.76,0.76;linear=0;yaw=0.76",forward_accel_nis,9000.0,164.7339801117075,8.658332736740435,0.3478888888888889,6.976941348775712,10.7678620827
-0.75,"pair=-0.76,0.76;linear=0;yaw=0.76",right_accel_nis,9000.0,73.67879012827686,5.726811435316049,0.2838888888888889,7.695807765581135,7.0250421069
-0.75,"pair=-0.76,0.76;linear=0;yaw=0.76",yaw_rate_nis,9000.0,435.204707000689,10.900104065711178,0.0,435.204707000689,0.438568418687
-0.75,"pair=0,0;linear=0;yaw=0",forward_accel_nis,1604.0,12.125156419640454,1.544383120112858,0.023067331670822942,3.404888135328881,2.01697440771
-0.75,"pair=0,0;linear=0;yaw=0",right_accel_nis,1604.0,28.483939696645628,2.303471091827568,0.043640897755610975,3.2141088257465475,2.89858101025
-0.75,"pair=0,0;linear=0;yaw=0",yaw_rate_nis,1604.0,18.606981952255747,2.021493406577587,0.0,18.606981952255747,0.0944921351931
-0.7,"pair=-0.7,0.7;linear=0;yaw=0.7",forward_accel_nis,9000.0,54.05638391582954,4.046196122821203,0.115,7.216996852264763,5.74876159108
-0.7,"pair=-0.7,0.7;linear=0;yaw=0.7",right_accel_nis,9000.0,42.96837339395363,4.109737525668627,0.15144444444444444,7.332761375003411,5.11406792677
-0.7,"pair=-0.7,0.7;linear=0;yaw=0.7",yaw_rate_nis,9000.0,149.91808266776152,6.156240094047304,0.0,149.91808266776152,0.277357796096
-0.7,"pair=0,0;linear=0;yaw=0",forward_accel_nis,1640.0,8.92220431088887,1.142363832705846,0.012804878048780487,1.6580509414605067,1.54787444013
-0.7,"pair=0,0;linear=0;yaw=0",right_accel_nis,1640.0,13.249328945754382,1.4605607095100956,0.020731707317073172,2.1432626351183948,1.85357797767
-0.7,"pair=0,0;linear=0;yaw=0",yaw_rate_nis,1640.0,22.521693796015064,1.7649394762337582,0.0,22.521693796015064,0.0854990696572
-0.65,"pair=-0.64,0.64;linear=0;yaw=0.64",forward_accel_nis,9000.0,22.027334029286834,3.2623702479792205,0.06811111111111111,8.755077724700216,5.1469169266
-0.65,"pair=-0.64,0.64;linear=0;yaw=0.64",right_accel_nis,9000.0,9.567874254242685,2.40534496653229,0.030111111111111113,6.5101943904268795,3.08250287247
-0.65,"pair=-0.64,0.64;linear=0;yaw=0.64",yaw_rate_nis,9000.0,14.772887202161186,2.972468538405598,0.0,14.772887202161186,0.172028111713
-0.65,"pair=0,0;linear=0;yaw=0",forward_accel_nis,1433.0,11.739965115840185,1.118722460956064,0.007676203768318213,1.117062063488395,1.50335459892
-0.65,"pair=0,0;linear=0;yaw=0",right_accel_nis,1433.0,11.062628770632136,1.135390042781042,0.01256106071179344,1.1047574455404372,1.45337452383
-0.65,"pair=0,0;linear=0;yaw=0",yaw_rate_nis,1433.0,7.22868827899584,1.177501853992137,0.0,7.22868827899584,0.0644448070833
-0.6,"pair=-0.6,0.6;linear=0;yaw=0.6",forward_accel_nis,9000.0,19.657374260764783,3.092528952385805,0.035777777777777776,8.298469996685856,4.66109313859
-0.6,"pair=-0.6,0.6;linear=0;yaw=0.6",right_accel_nis,9000.0,10.595414897859252,2.2403327601050695,0.021111111111111112,5.307590038854248,2.86982814252
-0.6,"pair=-0.6,0.6;linear=0;yaw=0.6",yaw_rate_nis,9000.0,13.938183941245716,3.070665231104021,0.0,13.938183941245716,0.175900712135
-0.6,"pair=0,0;linear=0;yaw=0",forward_accel_nis,1273.0,0.6776085308942124,0.4628717333598994,0.0,0.6776085308942124,0.627098853628
-0.6,"pair=0,0;linear=0;yaw=0",right_accel_nis,1273.0,3.403204784629814,0.7073110616377783,0.003927729772191673,1.6805907381314047,0.896838468322
