parameter_value,launch_command_signature,log_parameter,count,rms_nis,sqrt_mean_nis,rejected_rate,accepted_only_rms_nis,physical_residual_rms
-0.8,"pair=-0.8,0.8;linear=0;yaw=0.8",forward_accel_nis,9000.0,272.45260513487074,13.072536300623193,0.6093333333333333,8.314537034520159,16.0771034685
-0.8,"pair=-0.8,0.8;linear=0;yaw=0.8",right_accel_nis,9000.0,91.35549329916255,6.727882797681105,0.40166666666666667,9.735464518858732,8.23883082774
-0.8,"pair=-0.8,0.8;linear=0;yaw=0.8",yaw_rate_nis,9000.0,222.6975829158358,9.140539196647232,0.0,222.6975829158358,0.364728952243
-0.8,"pair=0,0;linear=0;yaw=0",forward_accel_nis,1877.0,44.473630663401615,3.4106903001516007,0.08897176345231753,3.8473185889161665,4.22027417909
-0.8,"pair=0,0;linear=0;yaw=0",right_accel_nis,1877.0,23.00604087304255,2.6177605854403754,0.08577517314864144,3.6160318495561765,3.22704570266
-0.8,"pair=0,0;linear=0;yaw=0",yaw_rate_nis,1877.0,60.73816904092785,3.612868488085377,0.0,60.73816904092785,0.147336448682
0.8,"pair=0,0;linear=0;yaw=0",forward_accel_nis,1979.0,33.00088035927397,2.7830794346034726,0.05709954522486104,3.414722052302379,3.4517896133
0.8,"pair=0,0;linear=0;yaw=0",right_accel_nis,1979.0,59.92432029868359,3.9317516384992883,0.10257705912076806,3.7782244866557777,4.79605233721
0.8,"pair=0,0;linear=0;yaw=0",yaw_rate_nis,1979.0,76.3485676745314,4.41358132522226,0.0,76.3485676745314,0.177808012984
0.8,"pair=0.8,-0.8;linear=0;yaw=-0.8",forward_accel_nis,9000.0,248.89936108372976,12.93963404866356,0.6475555555555556,9.360994271443605,15.8937222064
0.8,"pair=0.8,-0.8;linear=0;yaw=-0.8",right_accel_nis,9000.0,121.76755005610758,8.189283678733922,0.5084444444444445,10.099509339537851,10.0044983655
0.8,"pair=0.8,-0.8;linear=0;yaw=-0.8",yaw_rate_nis,9000.0,167.27484678582798,7.867689630062944,0.0,167.27484678582798,0.310876938286
