step_id,amplitude,direction,direction_sign,repeat_index,split,quality_class,pre_filtered_std_radps,pre_highpass_std_radps,pre_encoder_max_mps,command_encoder_max_mps,response_delay_ms,initial_accel_radps2,peak_accel_radps2,peak_yaw_rate_radps,peak_sample,steady_yaw_rate_radps,command_area_rad,t63_ms,rise_10_90_ms,recovery_tau37_ms,recovery_last50_radps,imu_temp_mean,quality_flags
27,0.55,CW,1,4,train,twitch_static_bristle,0.009005281,0.013581819,0.000000000,0.093954124,3.000,125.454168799,166.127077584,1.457217950,24,0.027975988,0.057641301,nan,nan,nan,-0.000998029,-7863.380,twitch_only
28,0.55,CCW,-1,4,train,twitch_static_bristle,0.009977633,0.015180338,0.000000000,0.064593457,4.000,111.275789021,161.161837016,1.102156560,21,0.020107921,0.046146460,nan,nan,nan,-0.000152243,-7862.237,twitch_only
29,0.55,CW,1,5,train,twitch_static_bristle,0.009207287,0.013802120,0.000000000,0.088081986,3.000,131.118638350,172.212352236,1.490422782,23,0.040595021,0.061152046,nan,nan,nan,0.000677414,-7859.880,twitch_only
30,0.55,CCW,-1,5,train,twitch_static_bristle,0.010264551,0.015274151,0.000000000,0.070465595,4.000,116.599397952,158.781780490,1.176607921,21,0.012604360,0.044710890,nan,nan,nan,-0.000998644,-7853.534,twitch_only
31,0.55,CW,1,6,train,twitch_static_bristle,0.009387560,0.014104757,0.000000000,0.099826254,4.000,127.623997303,172.340620254,1.530550556,24,0.015299788,0.059440163,nan,nan,nan,-0.000447459,-7862.231,twitch_only
32,0.55,CCW,-1,6,train,twitch_static_bristle,0.010437245,0.015334831,0.000000000,0.076337725,4.000,112.532768042,137.638851943,1.180812370,19,0.014293304,0.043894362,nan,nan,nan,-0.000183625,-7852.983,twitch_only
33,0.55,CW,1,7,validation,twitch_static_bristle,0.009270470,0.013834589,0.000000000,0.088081986,4.000,129.033463325,168.029023554,1.495771017,24,0.014155512,0.056708629,nan,nan,nan,0.000004838,-7856.534,twitch_only
34,0.55,CCW,-1,7,validation,twitch_static_bristle,0.010773488,0.015913059,0.005872133,0.070465595,4.000,118.195058801,164.002450434,1.113206181,18,0.016344210,0.045474975,nan,nan,nan,0.000165006,-7864.029,twitch_only
35,0.55,CW,1,8,train,twitch_static_bristle,0.009269191,0.013777849,0.000000000,0.082209855,4.000,120.908136638,157.479106843,1.465443304,25,0.010423065,0.057877150,nan,nan,nan,-0.000347451,-7851.657,twitch_only
36,0.55,CCW,-1,8,train,twitch_static_bristle,0.010489846,0.015663882,0.005872133,0.076337725,4.000,117.369014107,170.188969168,1.038468649,17,0.020166195,0.042160895,nan,nan,nan,-0.000830839,-7849.440,twitch_only
