vrel_knee_mps,fwd_knee_mps,ridge,feature_count,objective_score,validation_rb_rmse_nm,straight_rb_rmse_nm,low_speed_yaw_rb_rmse_nm,in_place_left_command,in_place_right_command,hard_gate_min_abs_command,hard_gate_pass
0.08,0.35,0.01,15,0.055941329632542384,0.03989977853600334,0.019406882940890904,0.046245710336136114,0.6250794850913227,-0.6250794850913227,0.6250794850913227,True
0.1,0.35,0.01,15,0.05726253796721575,0.040700527642627854,0.01978520185015104,0.04818594838517515,0.6312380758518599,-0.6312380758518599,0.6312380758518599,True
0.1,0.35,0.03,15,0.057262790043571286,0.040700555674058544,0.01978550584576553,0.04818653661747402,0.6312323936961283,-0.6312323936961283,0.6312323936961283,True
0.1,0.7,0.01,15,0.058636804869191435,0.04164965450589,0.01984248418229976,0.050211404497482584,0.6346799664223829,-0.6346799664223829,0.6346799664223829,True
