vf_mps,yaw_rate_radps,variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,required_applied_bank_torque_nm,left_command,right_command,lr_delta_command,max_abs_command,hard_gate_min_abs_command,hard_gate_pass,command_outside_unit,contact_utilization_raw,limiter_activity_proxy
0.0,0.2,Baseline,0.00295885,0.0,0.00295885,0.00044084714952442834,0.20399569675432425,-0.20399569675432425,0.4079913935086485,0.20399569675432425,0.20399569675432425,False,False,0.08099765281844126,0.0
0.0,0.2,B_stribeck,0.00295885,0.0007180364186693447,0.0036768864186693447,0.0005478293582964546,0.20820369211864106,-0.20820369211864106,0.41640738423728213,0.20820369211864106,0.20820369211864106,False,False,0.08099765281844126,0.0
0.0,0.2,C_combined_slip,0.00295885,0.0037932800915820683,0.006752130091582069,0.0010060183193105676,0.22622591325297123,-0.22622591325297123,0.45245182650594246,0.22622591325297123,0.22622591325297123,False,False,0.08099765281844126,0.0
0.0,0.2,Round2_force_contact_surface,0.00295885,0.000719361640210739,0.003678211640210739,0.0005480268066764036,0.20821145847415992,-0.20821145847415992,0.41642291694831984,0.20821145847415992,0.20821145847415992,False,False,0.08099765281844126,0.0
0.0,0.844444444,Baseline,0.012492922215646997,0.0,0.012492922215646997,0.0018613546303457035,0.24745279363875658,-0.24745279363875658,0.49490558727751316,0.24745279363875658,0.24745279363875658,False,False,0.3419900894978683,0.0
0.0,0.844444444,B_stribeck,0.012492922215646997,0.06489582296612374,0.07738874518177075,0.011530360686975,0.6277696064141375,-0.6277696064141375,1.255539212828275,0.6277696064141375,0.6277696064141375,True,False,0.3419900894978683,0.0
0.0,0.844444444,C_combined_slip,0.012492922215646997,0.015787638062156814,0.02828056027780381,0.004213597980777527,0.339974991749798,-0.339974991749798,0.679949983499596,0.339974991749798,0.339974991749798,False,False,0.3419900894978683,0.0
0.0,0.844444444,Round2_force_contact_surface,0.012492922215646997,0.06232183754388079,0.07481475975952778,0.01114685556291895,0.6126849694194153,-0.6126849694194153,1.2253699388388306,0.6126849694194153,0.6126849694194153,True,False,0.3419900894978683,0.0
0.0,1.488888889,Baseline,0.022026994446088247,0.0,0.022026994446088247,0.003281862113371215,0.30665914159179297,-0.30665914159179297,0.6133182831835859,0.30665914159179297,0.30665914159179297,False,False,0.6029825265822837,0.0
0.0,1.488888889,B_stribeck,0.022026994446088247,0.06518418665555997,0.08721118110164822,0.012993832264332534,0.6886658868508683,-0.6886658868508683,1.3773317737017365,0.6886658868508683,0.6886658868508683,True,False,0.6029825265822837,0.0
0.0,1.488888889,C_combined_slip,0.022026994446088247,0.024369356811008186,0.04639635125709643,0.006912719198345673,0.4494738203822396,-0.4494738203822396,0.8989476407644792,0.4494738203822396,0.4494738203822396,False,False,0.6029825265822837,0.0
0.0,1.488888889,Round2_force_contact_surface,0.022026994446088247,0.060595061604040774,0.08262205605012903,0.012310085978521025,0.6617716842157848,-0.6617716842157848,1.3235433684315696,0.6617716842157848,0.6617716842157848,True,False,0.6029825265822837,0.0
0.0,2.133333333,Baseline,0.03156106666173525,0.0,0.03156106666173525,0.004702369594192491,0.3658654894529572,-0.3658654894529572,0.7317309789059144,0.3658654894529572,0.3658654894529572,False,False,0.8639749632617107,0.0
0.0,2.133333333,B_stribeck,0.03156106666173525,0.06517324235302697,0.09673430901476222,0.014412709123603139,0.7478080964968571,-0.7478080964968571,1.4956161929937142,0.7478080964968571,0.7478080964968571,True,False,0.8639749632617107,0.0
0.0,2.133333333,C_combined_slip,0.03156106666173525,0.028608635658695637,0.06016970232043088,0.008964848422764026,0.5335241250056164,-0.5335241250056164,1.0670482500112328,0.5335241250056164,0.5335241250056164,False,False,0.8639749632617107,0.0
0.0,2.133333333,Round2_force_contact_surface,0.03156106666173525,0.0588276702786029,0.09038873694033815,0.013467264994596374,0.7106203756809704,-0.7106203756809704,1.4212407513619407,0.7106203756809704,0.7106203756809704,True,False,0.8639749632617107,0.0
0.0,2.777777778,Baseline,0.041095138892176496,0.0,0.041095138892176496,0.006122877077218002,0.4250718374059936,-0.4250718374059936,0.8501436748119872,0.4250718374059936,0.4250718374059936,False,False,1.124967400346126,0.12496740034612608
0.0,2.777777778,B_stribeck,0.041095138892176496,0.06505079771562462,0.10614593660780111,0.015814973245399325,0.8062968673839146,-0.8062968673839146,1.6125937347678292,0.8062968673839146,0.8062968673839146,True,False,1.124967400346126,0.12496740034612608
0.0,2.777777778,C_combined_slip,0.041095138892176496,0.04594735808035159,0.08704249697252808,0.012968699554836404,0.694342677683192,-0.694342677683192,1.388685355366384,0.694342677683192,0.694342677683192,True,False,1.124967400346126,0.12496740034612608
0.0,2.777777778,Round2_force_contact_surface,0.041095138892176496,0.054486079584490525,0.09558121847666702,0.014240907012356249,0.744383176427247,-0.744383176427247,1.488766352854494,0.744383176427247,0.744383176427247,True,False,1.124967400346126,0.12496740034612608
0.0,3.422222222,Baseline,0.050629211107823494,0.0,0.050629211107823494,0.007543384558039277,0.4842781852671579,-0.4842781852671579,0.9685563705343158,0.4842781852671579,0.4842781852671579,False,False,1.385959837025553,0.38595983702555303
0.0,3.422222222,B_stribeck,0.050629211107823494,0.06487531702828246,0.11550452813610596,0.017209335378936562,0.8644748246235678,-0.8644748246235678,1.7289496492471357,0.8644748246235678,0.8644748246235678,True,False,1.385959837025553,0.38595983702555303
0.0,3.422222222,C_combined_slip,0.050629211107823494,0.05323694494123266,0.10386615604905616,0.015475302508165631,0.7962690699889239,-0.7962690699889239,1.5925381399778478,0.7962690699889239,0.7962690699889239,True,False,1.385959837025553,0.38595983702555303
0.0,3.422222222,Round2_force_contact_surface,0.050629211107823494,0.04233485940968957,0.09296407051751307,0.01385097098394092,0.7323782641950679,-0.7323782641950679,1.4647565283901358,0.7323782641950679,0.7323782641950679,True,False,1.385959837025553,0.38595983702555303
0.0,4.066666667,Baseline,0.060163283338264734,0.0,0.060163283338264734,0.008963892041064788,0.5434845332201941,-0.5434845332201941,1.0869690664403882,0.5434845332201941,0.5434845332201941,False,False,1.6469522741099683,0.6469522741099683
0.0,4.066666667,B_stribeck,0.060163283338264734,0.06466499733341713,0.12482828067168186,0.018598506755714637,0.9224486107203992,-0.9224486107203992,1.8448972214407984,0.9224486107203992,0.9224486107203992,True,False,1.6469522741099683,0.6469522741099683
0.0,4.066666667,C_combined_slip,0.060163283338264734,0.05824502911611673,0.11840831245438146,0.01764197814201867,0.884824897221959,-0.884824897221959,1.769649794443918,0.884824897221959,0.884824897221959,True,False,1.6469522741099683,0.6469522741099683
0.0,4.066666667,Round2_force_contact_surface,0.060163283338264734,0.023193892361078536,0.08335717569934327,0.012419613464508992,0.6794104960240759,-0.6794104960240759,1.3588209920481518,0.6794104960240759,0.6794104960240759,True,False,1.6469522741099683,0.6469522741099683
0.0,4.711111111,Baseline,0.06969735555391174,0.0,0.06969735555391174,0.010384399521886063,0.6026908810813584,-0.6026908810813584,1.2053817621627168,0.6026908810813584,0.6026908810813584,True,False,1.9079447107893954,0.9079447107893954
0.0,4.711111111,B_stribeck,0.06969735555391174,0.06442681707718241,0.13412417263109416,0.019983527109093135,0.9802591221197241,-0.9802591221197241,1.9605182442394482,0.9802591221197241,0.9802591221197241,True,False,1.9079447107893954,0.9079447107893954
0.0,4.711111111,C_combined_slip,0.06969735555391174,0.0563706471438462,0.12606800269775795,0.018783216329163202,0.9330465785046647,-0.9330465785046647,1.8660931570093293,0.9330465785046647,0.9330465785046647,True,False,1.9079447107893954,0.9079447107893954
0.0,4.711111111,Round2_force_contact_surface,0.06969735555391174,-0.00436438455465607,0.06533297099925567,0.009734137937030945,0.5771137522664677,-0.5771137522664677,1.1542275045329353,0.5771137522664677,0.5771137522664677,False,False,1.9079447107893954,0.9079447107893954
0.0,5.355555556,Baseline,0.07923142778435298,0.0,0.07923142778435298,0.011804907004911573,0.6618972290343944,-0.6618972290343944,1.3237944580687888,0.6618972290343944,0.6618972290343944,True,False,2.1689371478738106,1.1689371478738106
0.0,5.355555556,B_stribeck,0.07923142778435298,0.06416510925106686,0.14339653703541982,0.021365042027726634,1.0379317521575315,-1.0379317521575315,2.075863504315063,1.0379317521575315,1.0379317521575315,True,True,2.1689371478738106,1.1689371478738106
0.0,5.355555556,C_combined_slip,0.07923142778435298,0.06605150915626345,0.14528293694061645,0.021646101906081093,1.0489868488767558,-1.0489868488767558,2.0979736977535115,1.0489868488767558,1.0489868488767558,True,True,2.1689371478738106,1.1689371478738106
0.0,5.355555556,Round2_force_contact_surface,0.07923142778435298,-0.02603512440915929,0.05319630337519369,0.007925862652108375,0.5093204516249962,-0.5093204516249962,1.0186409032499923,0.5093204516249962,0.5093204516249962,False,False,2.1689371478738106,1.1689371478738106
0.0,6.0,Baseline,0.0887655,0.0,0.0887655,0.013225414485732851,0.721103576895559,-0.721103576895559,1.442207153791118,0.721103576895559,0.721103576895559,True,False,2.429929584553238,1.4299295845532378
