run_id,present,dataset_split,count,baseline_rmse_nm,b_corrected_rmse_nm,c_corrected_rmse_nm,round2_corrected_rmse_nm,baseline_signed_median_nm,b_signed_median_after_nm,c_signed_median_after_nm,round2_signed_median_nm,round2_median_abs_nm
2026-05-04_20-35-47,True,open_floor_fit_downweighted,3456,0.035845955637305665,0.021128580068950017,0.028076443199331575,0.03707471638229997,0.0093600005,0.00039883996513361,0.00732439647540902,0.000359940789901602,0.009353045891987412
2026-05-04_16-57-53,True,open_floor_validation_only,1761,0.023277853453219116,0.015289065666438393,0.01934116142597289,0.026669332969044852,-0.000686103,-0.0008056836387382166,-0.0004568127890410747,-0.0006934514903470246,0.00969641101317619
2026-04-22_12-10-34,True,open_floor_fit_downweighted,2187,0.016217132966177106,0.013498658585659703,0.014402919863369421,0.016376167473953374,-0.003115615,-0.0015713121260556365,-0.0035806522311949704,-0.001507062593786837,0.010600219101457716
2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,1031,0.04497527944035794,0.03404458889504844,0.018608488843215733,0.02334944790311214,0.009991152,0.002570693590991553,0.0031561093812057777,0.003608447007412273,0.010946981581036675
2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,8880,0.04258417382836225,0.02783508710487629,0.023754464601601764,0.028404592605739593,0.0121550075,0.0054767405000000005,0.0016436356652933747,0.004805046668120736,0.016515771302959205
2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,3757,0.039823975586254654,0.03514600677652352,0.02774307957781035,0.03454120287227452,0.008941154,0.004572806,-0.0005399280556016971,-0.0012887275400051774,0.01604923092332738
2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,2925,0.04035482301988178,0.036503583837767924,0.02933811998534102,0.03537572887719773,0.003674954,0.002709251,0.00033410437846124845,-0.00015412626881799752,0.014687581197345756
2026-04-20_08-38-39,True,open_floor_fit_downweighted,7284,0.05622535775152191,0.05625959776146966,0.04131229724660652,0.054380393871239954,0.0001673695,2.67120623801217e-06,-0.0008411336207997331,0.00010867463380045267,0.02559656041274665
diag003,True,diag_validation_only,5580,0.08523812922205401,0.08503396826948129,0.03897045903766876,0.06446800175231449,-0.0124400895,-0.0105772635,-0.0032484894572857963,-0.004107513755508405,0.03230450583113631
