group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_fraction,median_predicted_opposing_nm,run_id,present,dataset_split,force_domain_stribeck_rmse_nm,rational_residual_reference_rmse_nm,standalone_contact_traction_rmse_nm
2026-05-04_20-35-47,3456,1,0.035845955637305665,0.03366679521319416,0.028876796463541667,0.02657921879826608,0.025485003,0.022563440455427134,0.0093600005,0.00794899274456893,0.06079236514603066,0.004855782913473222,2026-05-04_20-35-47,True,open_floor_fit_downweighted,0.02095614161732105,0.020127808869544805,0.011392976177542468
2026-05-04_16-57-53,1761,1,0.023277853453219116,0.023850479387610472,0.017940518580919933,0.017597109170963642,0.013238941,0.012145602037048345,-0.000686103,8.195793296420254e-05,-0.02459960217303315,0.003227901266121973,2026-05-04_16-57-53,True,open_floor_validation_only,0.015366476488899375,0.015838560861422477,0.009662168929270618
2026-04-22_12-10-34,2187,1,0.016217132966177106,0.015639056013527112,0.013081637973022406,0.012643413450141243,0.011327229,0.011147452826485927,-0.003115615,-0.0024696058077352825,0.03564606357089425,0.0012104035642273702,2026-04-22_12-10-34,True,open_floor_fit_downweighted,0.01348701867968651,0.013202689482483838,0.01223235411387227
2026-04-22_01-06-32,1031,1,0.04497527944035794,0.04423063254743698,0.033356145290009694,0.0320111866404927,0.026813516,0.024355463561307675,0.009991152,0.008108466348654647,0.016556804141894057,0.0018057970947500976,2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,0.033937937440801695,0.016861102635710126,0.011282181897664011
2026-04-21_05-32-06,8880,1,0.04258417382836224,0.04169297495531979,0.0365598928268018,0.035787508168932544,0.034704941,0.034018002326750715,0.0121550075,0.012433270950858609,0.020927936200769742,0.0016197528290158242,2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,0.027283610538090263,0.017657454789089182,0.01543378604610258
2026-04-21_00-16-10,3757,1,0.039823975586254654,0.04030798763914687,0.02832533189938781,0.028572654415488855,0.019252263,0.018956585043306745,0.008941154,0.008226306415521472,-0.012153785396033522,0.00097432888890876,2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,0.03430247806398148,0.026878339329649562,0.02047433384415106
2026-04-20_12-10-58,2925,1,0.04035482301988178,0.04088302826987945,0.027066004325470086,0.027318366702689365,0.015359407,0.01529245274203406,0.003674954,0.003213406007006975,-0.013089024073713125,0.001053873273071258,2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,0.0356483649477145,0.027977442201207736,0.022853274606811566
2026-04-20_08-38-39,7284,1,0.05622535775152191,0.0600905703755728,0.04229161872130697,0.04494006376956271,0.036814327499999994,0.03682849494469974,0.0001673695,0.00015574823098547634,-0.06874500721067023,0.005000405286333126,2026-04-20_08-38-39,True,open_floor_fit_downweighted,0.056141320109295866,0.04248692457048695,0.03654920813713403
diag003,5580,1,0.08523812922205401,0.09645047372902897,0.07495094215232975,0.08489254683544008,0.085086003,0.09586236645038389,-0.0124400895,-0.014928528835272245,-0.13154141942469974,0.00919393588657309,diag003,True,diag_validation_only,0.08503230164347471,0.038712164739976,0.019756627490912913
