group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,rmse_improvement_fraction,median_predicted_opposing_nm,force_domain_stribeck_rmse_nm,rational_residual_reference_rmse_nm,standalone_contact_traction_rmse_nm,true_patch_corrected_rmse_nm,true_patch_run_balanced_rmse_nm,rational_residual_corrected_rmse_nm,cubic_force_only_partition_rmse_nm
aux_downweighted_validation,14448,13,0.05126637392308135,0.05546328268327061,0.03305637759772979,0.036207486087035314,0.016359514999999998,0.01826081056245163,-0.0012553224999999999,-0.001442374378277941,-0.08186474757286684,0.0018279921575510855,0.048819706958314515,0.027490242677710965,0.019197677203604394,0.027446247485824863,0.02774458018521944,0.027490242677710965,0.029397120490599445
diag_validation_only,11108,3,0.0846209251204878,0.09553396196931697,0.0738060716588945,0.08343797597242439,0.082360023,0.0926256897358146,-0.006359523000000001,-0.007332464632437363,-0.128963809285831,0.008632452051396858,0.08441017836709906,0.03848912769383371,0.0200297483797947,0.02568541911037413,0.025487788313141295,0.03848912769383371,0.029430103867343255
open_floor_fit_downweighted,31165,9,0.043194073119807955,0.045264470760104626,0.027849684910123535,0.0288426178597068,0.013314394,0.013308606531107324,0.000637863,0.0006868314223703953,-0.04793244745764038,0.0017776331383146382,0.04150718685740355,0.03282316561347566,0.0279518364973881,0.035267314697039254,0.03242178676581748,0.03282316561347566,0.03309252577361895
open_floor_validation_only,14542,9,0.01693070910006944,0.017878705237639243,0.010368821404827396,0.010946846159958782,0.005201232,0.005585903508444025,-0.000858939,-0.0004883846482959973,-0.05599270130782143,0.0013112792021223653,0.01139376781450519,0.011206860684196811,0.007665310996355701,0.009293772489079357,0.009341667788185879,0.011206860684196811,0.010491392588553741
primary_open_floor_fit_authoritative,47317,15,0.036866176895009706,0.03642558974301869,0.025480195736437217,0.025080402517909613,0.016044602,0.01582288304357889,0.001648731,0.0017100351905298514,0.011950985675725306,0.0014370718524524552,0.027907821180421354,0.021083018384621146,0.01668802365707484,0.01950812151012949,0.019442783671922283,0.021083018384621146,0.018340962145958675
validation_non_authoritative,71263,34,0.05023383204822011,0.054840978629387985,0.032501511564374225,0.03519391575632599,0.014290832,0.014781736944103362,-0.000435785,-0.0003562329728213145,-0.09171401808935097,0.00208688759209904,,0.029680153603611304,0.022156916394299255,0.028585353044834484,0.02555371256103397,0.029680153603611304,0.028488509193164188
