run_id,present,dataset_split,count,baseline_rmse_nm,b_stribeck_rmse_nm,c_combined_slip_rmse_nm,lugre_state_rmse_nm,lugre_memoryless_rmse_nm,lugre_state_delta_vs_b_pct,lugre_state_delta_vs_c_pct,lugre_memoryless_delta_vs_b_pct,lugre_memoryless_delta_vs_c_pct
2026-05-04_20-35-47,True,open_floor_fit_downweighted,3456,0.035845955637305665,0.021128580068950017,0.0280764431993315,0.022429518419304625,0.021128162654911884,6.157244576347235,-20.112678589435173,-0.0019755896362678165,-24.74772354564147
2026-05-04_16-57-53,True,open_floor_validation_only,1761,0.023277853453219116,0.015289065666438393,0.0193411614259728,0.016184850617100687,0.015289001696936548,5.858990799082415,-16.319137922263433,-0.0004184003342031924,-20.950963800936485
2026-04-22_12-10-34,True,open_floor_fit_downweighted,2187,0.016217132966177106,0.013498658585659703,0.0144029198633694,0.013738733290164848,0.013498009127642829,1.7785078641828036,-4.611471698136444,-0.004811278192964406,-6.282828373071834
2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative,1031,0.04497527944035794,0.03404458889504844,0.0186084888432157,0.034302177727887274,0.03412148855614515,0.7566219513853499,84.33618128208832,0.22587924716545768,83.36517727813879
2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative,8880,0.04258417382836224,0.02783508710487629,0.0237544646016017,0.028405162222621343,0.027840261548793196,2.0480450289131102,19.578204346083474,0.018589645138923857,17.200122232668647
2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative,3757,0.039823975586254654,0.03514600677652352,0.0277430795778103,0.0355981317081454,0.035160806758075994,1.2864190646087508,28.313555127520143,0.04210999459079382,26.737216246889197
2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative,2925,0.04035482301988178,0.036503583837767924,0.029338119985341,0.036891128812279725,0.03654646968929401,1.0616628116136728,25.744692675306528,0.11748394819720127,24.569910094971025
2026-04-20_08-38-39,True,open_floor_fit_downweighted,7284,0.05622535775152191,0.05625959776146966,0.0413122972466065,0.05711627388493657,0.05625809000329736,1.5227199581110766,38.25489670543134,-0.0026800016926767766,36.17758815849571
diag003,True,diag_validation_only,5580,0.08523812922205401,0.08503396826948129,0.0389704590376687,0.08505780978133687,0.08503394378980454,0.02803763289045407,118.26227322372648,-2.8788115199372176e-05,118.20103198582048
