count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,group,model
47317,15,0.036866176895009706,0.029042347215187912,0.025480195736437217,0.018709545621243866,0.016044602,0.011288892585770517,0.001648731,0.001210665120723188,primary_open_floor_fit_authoritative,LuGre_state
31165,9,0.043194073119807955,0.04243620181959038,0.027849684910123535,0.02638756654819416,0.013314394,0.011033852,0.000637863,0.0001927060000000843,open_floor_fit_downweighted,LuGre_state
14542,9,0.01693070910006944,0.01169398832586039,0.010368821404827396,0.007380924485141842,0.005201232,0.004484924502054545,-0.000858939,-0.00030137690034814403,open_floor_validation_only,LuGre_state
11108,3,0.0846209251204878,0.08443514299404901,0.0738060716588945,0.07337361573675817,0.082360023,0.0820514605,-0.006359523000000001,-0.0059515875,diag_validation_only,LuGre_state
14448,13,0.05126637392308135,0.049002579656682546,0.03305637759772979,0.030681514578445684,0.016359514999999998,0.013958787,-0.0012553224999999999,-0.000988633,aux_downweighted_validation,LuGre_state
71263,34,0.05023383204822011,0.049127921756441165,0.03250151156437422,0.03070348654379828,0.014290832,0.01129138,-0.000435785,-0.000388494,validation_non_authoritative,LuGre_state
47317,15,0.036866176895009706,0.028547751719521074,0.025480195736437217,0.018380230430031196,0.016044602,0.011125821520812932,0.001648731,0.0011579188411110636,primary_open_floor_fit_authoritative,LuGre_memoryless
31165,9,0.043194073119807955,0.041889500900723464,0.027849684910123535,0.026069597920578017,0.013314394,0.010884773,0.000637863,0.000190808,open_floor_fit_downweighted,LuGre_memoryless
14542,9,0.01693070910006944,0.011371706620036205,0.010368821404827396,0.007184187013311652,0.005201232,0.004461257404588807,-0.000858939,-0.00026800020419681615,open_floor_validation_only,LuGre_memoryless
11108,3,0.0846209251204878,0.0844119882749993,0.0738060716588945,0.07330764638710474,0.082360023,0.08201175599999999,-0.006359523000000001,-0.00582978999999999,diag_validation_only,LuGre_memoryless
14448,13,0.05126637392308135,0.048955476847061835,0.03305637759772979,0.030617936928086745,0.016359514999999998,0.013844189,-0.0012553224999999999,-0.0009647955,aux_downweighted_validation,LuGre_memoryless
71263,34,0.05023383204822011,0.04889099987185122,0.03250151156437422,0.030501112155639658,0.014290832,0.011069369,-0.000435785,-0.0003737139999999356,validation_non_authoritative,LuGre_memoryless
