count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,model,run_id,present,dataset_split
3456,1,0.035845955637305665,0.022429518419304625,0.028876796463541667,0.015095877861607302,0.025485003,0.009610200984649358,0.0093600005,0.0004785796047024407,LuGre_state,2026-05-04_20-35-47,True,open_floor_fit_downweighted
1761,1,0.023277853453219116,0.016184850617100687,0.017940518580919933,0.012237067339358096,0.013238941,0.009191993999999997,-0.000686103,-0.001237335,LuGre_state,2026-05-04_16-57-53,True,open_floor_validation_only
2187,1,0.016217132966177106,0.013738733290164848,0.013081637973022406,0.011389596254395652,0.011327229,0.010333377,-0.003115615,-0.001667688427171403,LuGre_state,2026-04-22_12-10-34,True,open_floor_fit_downweighted
1031,1,0.04497527944035794,0.034302177727887274,0.033356145290009694,0.019650524604429686,0.026813516,0.01029320443347811,0.009991152,0.0025772389896400027,LuGre_state,2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative
8880,1,0.04258417382836224,0.028405162222621343,0.0365598928268018,0.022123636095432647,0.034704941,0.017281761459302276,0.0121550075,0.005891750158208534,LuGre_state,2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative
3757,1,0.039823975586254654,0.0355981317081454,0.02832533189938781,0.025187219726308323,0.019252263,0.017266791900064762,0.008941154,0.004390518375851685,LuGre_state,2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative
2925,1,0.04035482301988178,0.036891128812279725,0.027066004325470086,0.024887132635401127,0.015359407,0.014545567,0.003674954,0.002724162,LuGre_state,2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative
7284,1,0.05622535775152191,0.05711627388493657,0.04229161872130697,0.04268576020816875,0.036814327499999994,0.03620182249470173,0.0001673695,8.911432984197291e-07,LuGre_state,2026-04-20_08-38-39,True,open_floor_fit_downweighted
5580,1,0.08523812922205401,0.08505780978133687,0.07495094215232975,0.07454499595684591,0.085086003,0.0847437075,-0.0124400895,-0.011412507,LuGre_state,diag003,True,diag_validation_only
3456,1,0.035845955637305665,0.021128162654911884,0.028876796463541667,0.01424297607891002,0.025485003,0.00929898159232253,0.0093600005,0.0003958207591705478,LuGre_memoryless,2026-05-04_20-35-47,True,open_floor_fit_downweighted
1761,1,0.023277853453219116,0.015289001696936548,0.017940518580919933,0.011553302764422159,0.013238941,0.008791218093408933,-0.000686103,-0.0007893378705195533,LuGre_memoryless,2026-05-04_16-57-53,True,open_floor_validation_only
2187,1,0.016217132966177106,0.013498009127642829,0.013081637973022406,0.011208122606735139,0.011327229,0.01020403678335048,-0.003115615,-0.001560753,LuGre_memoryless,2026-04-22_12-10-34,True,open_floor_fit_downweighted
1031,1,0.04497527944035794,0.03412148855614515,0.033356145290009694,0.01955441452193598,0.026813516,0.010401271,0.009991152,0.0026110693728864376,LuGre_memoryless,2026-04-22_01-06-32,True,primary_open_floor_fit_authoritative
8880,1,0.04258417382836224,0.027840261548793196,0.0365598928268018,0.021516277585695274,0.034704941,0.01649122634685673,0.0121550075,0.005479208549330629,LuGre_memoryless,2026-04-21_05-32-06,True,primary_open_floor_fit_authoritative
3757,1,0.039823975586254654,0.035160806758075994,0.02832533189938781,0.02490253293099066,0.019252263,0.017042044,0.008941154,0.004576721,LuGre_memoryless,2026-04-21_00-16-10,True,primary_open_floor_fit_authoritative
2925,1,0.04035482301988178,0.03654646968929401,0.027066004325470086,0.024732688171308914,0.015359407,0.014563823,0.003674954,0.002710356,LuGre_memoryless,2026-04-20_12-10-58,True,primary_open_floor_fit_authoritative
7284,1,0.05622535775152191,0.05625809000329736,0.04229161872130697,0.04214216154288089,0.036814327499999994,0.03608332988204903,0.0001673695,2.6596642663989406e-06,LuGre_memoryless,2026-04-20_08-38-39,True,open_floor_fit_downweighted
5580,1,0.08523812922205401,0.08503394378980454,0.07495094215232975,0.07447909836495585,0.085086003,0.0847437075,-0.0124400895,-0.0105772635,LuGre_memoryless,diag003,True,diag_validation_only
