model,req_activation_nm,stribeck_speed_mps,speed_fade_mps,rel_weight,tau_fill_s,bristle_slip_distance_m,beta_bristle_static_nm,beta_bristle_sliding_nm,beta_bristle_viscous_nm_per_mps,beta_scale_to_gate,fixedpoint_extra_nm,weighted_train_rmse_nm,primary_corrected_rmse_nm,validation_corrected_rmse_nm,objective_score_nm
state_minimal_lugre,0.035,0.1,0.64,0.75,0.05,0.08,0.0,0.06584588862655179,0.0,0.9394826170156735,0.06501335920678508,0.026600172884404825,0.031157621960147677,0.0496024968075311,0.03459613403980591
state_minimal_lugre,0.035,0.14,0.64,0.75,0.05,0.08,0.0,0.06584588862655179,0.0,0.9394826170156735,0.06501335920678508,0.026600172884404825,0.031157621960147677,0.0496024968075311,0.03459613403980591
state_minimal_lugre,0.035,0.1,0.64,0.75,0.05,0.03,0.0,0.06659944944219491,0.0,0.9099142956127133,0.06501335920678508,0.0266839880261825,0.03123499650754452,0.049553388300783076,0.03463181858813512
state_minimal_lugre,0.035,0.14,0.64,0.75,0.05,0.03,0.0,0.06659944944219491,0.0,0.9099142956127136,0.06501335920678508,0.0266839880261825,0.03123499650754452,0.049553388300783076,0.03463181858813512
state_minimal_lugre,0.035,0.1,0.64,0.75,0.05,0.01,0.0,0.0690108440522529,0.0,0.8640976697931906,0.06501335920678508,0.026988475915048087,0.03159807646309892,0.049472215432889134,0.03480611848263352
state_minimal_lugre,0.035,0.14,0.64,0.75,0.05,0.01,0.0,0.0690108440522529,0.0,0.8640976697931906,0.06501335920678508,0.026988475915048087,0.03159807646309892,0.049472215432889134,0.03480611848263352
state_minimal_lugre,0.05,0.1,0.64,0.75,0.05,0.08,0.0,0.07104228761658322,0.0,0.8735208266719826,0.06501335920678508,0.027004631995104278,0.03147063341885867,0.04960155104343281,0.034878372538033005
state_minimal_lugre,0.05,0.14,0.64,0.75,0.05,0.08,0.0,0.07104228761658322,0.0,0.8735208266719826,0.06501335920678508,0.027004631995104278,0.03147063341885867,0.04960155104343281,0.034878372538033005
state_minimal_lugre,0.05,0.1,0.64,0.75,0.05,0.03,0.0,0.07185531763741157,0.0,0.8526733599341338,0.06501335920678508,0.027151442985338912,0.03161477285283695,0.04955995852129785,0.034959731939527616
state_minimal_lugre,0.05,0.14,0.64,0.75,0.05,0.03,0.0,0.07185531763741157,0.0,0.8526733599341337,0.06501335920678508,0.027151442985338912,0.03161477285283695,0.04955995852129785,0.034959731939527616
