group,count,baseline_rmse_nm,lugre_state_rmse_nm,lugre_memoryless_rmse_nm,baseline_median_abs_nm,lugre_state_median_abs_nm,lugre_memoryless_median_abs_nm
straightish_abs_yaw_lt_0p05,35367,0.025841853669827997,0.021457167689268346,0.021117509639542696,0.006082492,0.005436528296839005,0.005369863238797843
straightish_forward_abs_yaw_lt_0p05_vf_ge_0p05,21746,0.024100230475114524,0.02089370004215143,0.02068267049600619,0.005326237,0.005135236536875208,0.005126004510013987
low_speed_yaw_vf_lt_0p05_yaw_ge_0p2,19704,0.07350293824740096,0.07070453233801427,0.07025727207169556,0.054369194499999995,0.04340925831044162,0.042737689499999995
high_forward_vf_ge_0p5,3120,0.0464149473391518,0.04399668682506421,0.043857787978088376,0.0127547745,0.012483666900614752,0.012447375917262679
limiter_active,31216,0.07460143692454368,0.07174740601373462,0.07132319352741978,0.053156194000000004,0.0476971085,0.0473259359080979
