objective,role,scenario,score,rms_early_norm,rms_late_norm,late_p2p_norm,heading_late_abs_rad,sign_changes,saturation_fraction,accel_cmd_rms_over_limit,first_cross_s,final_yaw_rate_error,final_heading_error
balanced,current,launch_0_to_1_radps,56.09486165889781,0.2555769864146165,0.0034621618941022996,0.014926459917216417,0.0,9.0,0.0,0.18420787206470018,0.028,-0.0013568582238603355,0.0
balanced,current,yaw_rate_0_to_9_radps,35.56977370306251,0.2491220469027362,0.0001553164033786731,0.0007365367981828383,0.0,8.0,0.02181818181818182,0.3000253445702706,0.036000000000000004,-0.0003814534626123134,0.0
balanced,current,yaw_rate_9_to_minus9_radps,39.164547738584254,0.25392578312329955,3.9596156217168445e-05,0.00021045746625356386,0.0,7.0,0.0512,0.5734082057780271,0.054,-0.00013786575756569164,0.0
balanced,current,combined_3mps_5p5radps,33.999112105732955,0.2557237217026937,0.0005650720008566967,0.002751710384995705,0.0,8.0,0.010526315789473684,0.20236329817638724,0.029,0.0010509718607210061,0.0
balanced,current,heading_correction_15deg_at_3mps,10832.858865398042,25.981837916057806,53.53556977012567,60.6566333657966,3.4164058411049956,4.0,0.9776470588235294,42.38943109144388,nan,-14.449119796445652,-6.715499905860048
balanced,selected,launch_0_to_1_radps,31.290458378381732,0.23335198147251485,0.00019148665484189085,0.0007037418031768938,0.0,3.0,0.0,0.08032305293500416,0.045,5.423696524842203e-05,0.0
balanced,selected,yaw_rate_0_to_9_radps,21.568762213720383,0.23335198147251487,2.93370269331738e-06,1.0780008500669661e-05,0.0,3.0,0.0,0.13411178374414295,0.045,2.765606854637781e-07,0.0
balanced,selected,yaw_rate_9_to_minus9_radps,23.77050845086173,0.2501221686774946,5.148605906488165e-07,3.0479940588258437e-06,0.0,2.0,0.0264,0.26907890130163864,0.056,-4.2661017829459524e-08,0.0
balanced,selected,combined_3mps_5p5radps,20.471281351577705,0.23335198147251493,1.4729341492333501e-05,7.25815975916336e-05,0.0,3.0,0.0,0.08819047034821317,0.045,-3.1207209918449053e-06,0.0
balanced,selected,heading_correction_15deg_at_3mps,58.025443125259116,0.6355557364131534,0.049330473754648906,0.05891566190849602,0.010593544516673253,0.0,0.0,0.059121914639987054,nan,-0.034245266551989416,0.006473461641145095
launch_focused,current,launch_0_to_1_radps,108.24374486263893,0.2555769864146165,0.0034621618941022996,0.014926459917216417,0.0,9.0,0.0,0.18420787206470018,0.028,-0.0013568582238603355,0.0
launch_focused,current,yaw_rate_0_to_9_radps,38.93324689151467,0.2491220469027362,0.0001553164033786731,0.0007365367981828383,0.0,8.0,0.02181818181818182,0.3000253445702706,0.036000000000000004,-0.0003814534626123134,0.0
launch_focused,current,yaw_rate_9_to_minus9_radps,28.613479651847317,0.25392578312329955,3.9596156217168445e-05,0.00021045746625356386,0.0,7.0,0.0512,0.5734082057780271,0.054,-0.00013786575756569164,0.0
launch_focused,current,combined_3mps_5p5radps,26.77127000190222,0.2557237217026937,0.0005650720008566967,0.002751710384995705,0.0,8.0,0.010526315789473684,0.20236329817638724,0.029,0.0010509718607210061,0.0
launch_focused,current,heading_correction_15deg_at_3mps,6240.558045736376,25.981837916057806,53.53556977012567,60.6566333657966,3.4164058411049956,4.0,0.9776470588235294,42.38943109144388,nan,-14.449119796445652,-6.715499905860048
launch_focused,selected,launch_0_to_1_radps,60.38921842774581,0.23335198147251485,0.00019148665484189085,0.0007037418031768938,0.0,3.0,0.0,0.08032305293500416,0.045,5.423696524842203e-05,0.0
launch_focused,selected,yaw_rate_0_to_9_radps,23.70350999077464,0.23335198147251487,2.93370269331738e-06,1.0780008500669661e-05,0.0,3.0,0.0,0.13411178374414295,0.045,2.765606854637781e-07,0.0
launch_focused,selected,yaw_rate_9_to_minus9_radps,17.400558686373145,0.2501221686774946,5.148605906488165e-07,3.0479940588258437e-06,0.0,2.0,0.0264,0.26907890130163864,0.056,-4.2661017829459524e-08,0.0
launch_focused,selected,combined_3mps_5p5radps,16.15161648122612,0.23335198147251493,1.4729341492333501e-05,7.25815975916336e-05,0.0,3.0,0.0,0.08819047034821317,0.045,-3.1207209918449053e-06,0.0
launch_focused,selected,heading_correction_15deg_at_3mps,27.513080970390774,0.3676073116114433,0.12326083068885213,0.06516570146041625,0.0627626322010028,0.0,0.0,0.029021865714832867,nan,-0.09521092683345878,0.05070587470150076
broad_envelope,current,launch_0_to_1_radps,36.786805410142584,0.2555769864146165,0.0034621618941022996,0.014926459917216417,0.0,9.0,0.0,0.18420787206470018,0.028,-0.0013568582238603355,0.0
broad_envelope,current,yaw_rate_0_to_9_radps,37.502904074211756,0.2491220469027362,0.0001553164033786731,0.0007365367981828383,0.0,8.0,0.02181818181818182,0.3000253445702706,0.036000000000000004,-0.0003814534626123134,0.0
broad_envelope,current,yaw_rate_9_to_minus9_radps,46.40707364781115,0.25392578312329955,3.9596156217168445e-05,0.00021045746625356386,0.0,7.0,0.0512,0.5734082057780271,0.054,-0.00013786575756569164,0.0
broad_envelope,current,combined_3mps_5p5radps,43.04534037775132,0.2557237217026937,0.0005650720008566967,0.002751710384995705,0.0,8.0,0.010526315789473684,0.20236329817638724,0.029,0.0010509718607210061,0.0
broad_envelope,current,heading_correction_15deg_at_3mps,13352.570931923323,25.981837916057806,53.53556977012567,60.6566333657966,3.4164058411049956,4.0,0.9776470588235294,42.38943109144388,nan,-14.449119796445652,-6.715499905860048
broad_envelope,selected,launch_0_to_1_radps,18.34946432923348,0.2374755328568958,0.00011805015993941793,0.00034404313169500433,0.0,2.0,0.0,0.06535404280044282,0.052000000000000005,-1.064953934104551e-05,0.0
broad_envelope,selected,yaw_rate_0_to_9_radps,20.291465660518444,0.23747553285689577,1.1069771718218143e-06,6.3566832960838665e-06,0.0,2.0,0.0,0.10911870158836144,0.052000000000000005,2.637244289616092e-07,0.0
broad_envelope,selected,yaw_rate_9_to_minus9_radps,27.748493584470744,0.24842506731327335,2.139850069068061e-07,7.624190402961201e-07,0.0,2.0,0.0208,0.21384788883188105,0.058,4.2292821689216e-08,0.0
broad_envelope,selected,combined_3mps_5p5radps,23.16047575379482,0.2374755328568958,8.488810297264419e-06,2.905986051857858e-05,0.0,2.0,0.0,0.07175528762803461,0.052000000000000005,2.9533853265206744e-06,0.0
broad_envelope,selected,heading_correction_15deg_at_3mps,71.89129736358846,0.6647476482058147,0.037727417176621106,0.04730742205741021,0.007709872167923712,0.0,0.0,0.05680706868230604,nan,-0.016448938239254522,0.004402462829218412
