metric,value
launch_accel_median_radps2,115.2649565
launch_delay_median_s,0.005
launch_tau_median_s,0.02725
force_in_place_command_abs,0.6550644654532793
force_in_place_extra_nm,0.06711472031698633
force_primary_corrected_rmse_nm,0.027907821180421354
blend_in_place_command_abs,0.6497644638998822
blend_in_place_extra_nm,0.06621034809105328
blend_primary_baseline_rmse_nm,0.036866176895009706
blend_primary_corrected_rmse_nm,0.021083018384621146
blend_validation_baseline_rmse_nm,0.05023383204822011
blend_validation_corrected_rmse_nm,0.029680153603611304
has_variant_c_symbols,True
has_request_conditioned_feedforward_branch,True
has_projected_force_utilization,True
has_rational_gate,True
