response_lag_samples,family,motion_class,dataset,gain_label,gain_ns_per_m,samples,old_rmse_radps,candidate_rmse_radps,delta_rmse_radps,relative_delta_pct
4,all,in_place_yaw,motion:all:in_place_yaw,old_pre_correction,0.000000000,485795,0.340567526,0.340567526,0.000000000,0.000000
4,all,in_place_yaw,motion:all:in_place_yaw,current_production,-6.496619190,485795,0.340567526,0.302171029,-0.038396497,-11.274268
4,all,in_place_yaw,motion:all:in_place_yaw,delay_calibrated_retuned,-0.500000000,485795,0.340567526,0.336848789,-0.003718737,-1.091924
4,all,moving_yaw,motion:all:moving_yaw,old_pre_correction,0.000000000,596155,0.237318122,0.237318122,0.000000000,0.000000
4,all,moving_yaw,motion:all:moving_yaw,current_production,-6.496619190,596155,0.237318122,0.192837199,-0.044480924,-18.743164
4,all,moving_yaw,motion:all:moving_yaw,delay_calibrated_retuned,-0.500000000,596155,0.237318122,0.232252889,-0.005065234,-2.134364
4,all,mostly_forward,motion:all:mostly_forward,old_pre_correction,0.000000000,1182321,0.105782553,0.105782553,0.000000000,0.000000
4,all,mostly_forward,motion:all:mostly_forward,current_production,-6.496619190,1182321,0.105782553,0.076685755,-0.029096798,-27.506235
4,all,mostly_forward,motion:all:mostly_forward,delay_calibrated_retuned,-0.500000000,1182321,0.105782553,0.102700474,-0.003082079,-2.913598
4,all,low_motion_commanded,motion:all:low_motion_commanded,old_pre_correction,0.000000000,692109,0.156833417,0.156833417,0.000000000,0.000000
4,all,low_motion_commanded,motion:all:low_motion_commanded,current_production,-6.496619190,692109,0.156833417,0.138146295,-0.018687122,-11.915268
4,all,low_motion_commanded,motion:all:low_motion_commanded,delay_calibrated_retuned,-0.500000000,692109,0.156833417,0.154867669,-0.001965748,-1.253399
5,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,old_pre_correction,0.000000000,298230,0.169732189,0.169732189,0.000000000,0.000000
5,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,current_production,-6.496619190,298230,0.169732189,0.150840458,-0.018891730,-11.130317
5,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,delay_calibrated_retuned,-0.500000000,298230,0.169732189,0.166941541,-0.002790648,-1.644148
5,open_floor,moving_yaw,motion:open_floor:moving_yaw,old_pre_correction,0.000000000,490128,0.179984622,0.179984622,0.000000000,0.000000
5,open_floor,moving_yaw,motion:open_floor:moving_yaw,current_production,-6.496619190,490128,0.179984622,0.138466934,-0.041517689,-23.067353
5,open_floor,moving_yaw,motion:open_floor:moving_yaw,delay_calibrated_retuned,-0.500000000,490128,0.179984622,0.174607848,-0.005376775,-2.987352
5,open_floor,mostly_forward,motion:open_floor:mostly_forward,old_pre_correction,0.000000000,1035356,0.100580277,0.100580277,0.000000000,0.000000
5,open_floor,mostly_forward,motion:open_floor:mostly_forward,current_production,-6.496619190,1035356,0.100580277,0.069864043,-0.030716234,-30.539023
5,open_floor,mostly_forward,motion:open_floor:mostly_forward,delay_calibrated_retuned,-0.500000000,1035356,0.100580277,0.097401339,-0.003178939,-3.160598
5,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,old_pre_correction,0.000000000,513403,0.122727373,0.122727373,0.000000000,0.000000
5,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,current_production,-6.496619190,513403,0.122727373,0.109239640,-0.013487733,-10.989996
5,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,delay_calibrated_retuned,-0.500000000,513403,0.122727373,0.121431706,-0.001295668,-1.055728
5,all,in_place_yaw,motion:all:in_place_yaw,old_pre_correction,0.000000000,484025,0.340463823,0.340463823,0.000000000,0.000000
5,all,in_place_yaw,motion:all:in_place_yaw,current_production,-6.496619190,484025,0.340463823,0.300759449,-0.039704374,-11.661848
5,all,in_place_yaw,motion:all:in_place_yaw,delay_calibrated_retuned,-0.500000000,484025,0.340463823,0.336656830,-0.003806993,-1.118178
5,all,moving_yaw,motion:all:moving_yaw,old_pre_correction,0.000000000,594008,0.238426598,0.238426598,0.000000000,0.000000
5,all,moving_yaw,motion:all:moving_yaw,current_production,-6.496619190,594008,0.238426598,0.191988208,-0.046438390,-19.477017
5,all,moving_yaw,motion:all:moving_yaw,delay_calibrated_retuned,-0.500000000,594008,0.238426598,0.233246301,-0.005180297,-2.172701
5,all,mostly_forward,motion:all:mostly_forward,old_pre_correction,0.000000000,1178994,0.106566264,0.106566264,0.000000000,0.000000
5,all,mostly_forward,motion:all:mostly_forward,current_production,-6.496619190,1178994,0.106566264,0.076305667,-0.030260597,-28.396038
5,all,mostly_forward,motion:all:mostly_forward,delay_calibrated_retuned,-0.500000000,1178994,0.106566264,0.103424984,-0.003141280,-2.947725
5,all,low_motion_commanded,motion:all:low_motion_commanded,old_pre_correction,0.000000000,690105,0.157882705,0.157882705,0.000000000,0.000000
5,all,low_motion_commanded,motion:all:low_motion_commanded,current_production,-6.496619190,690105,0.157882705,0.138551385,-0.019331320,-12.244102
5,all,low_motion_commanded,motion:all:low_motion_commanded,delay_calibrated_retuned,-0.500000000,690105,0.157882705,0.155877403,-0.002005302,-1.270121
