candidate_id,split,count,sum_nis,sum_nis_sq,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,segment_count
baseline/current_holdover,all,8525363,125851794.193,232156255166,165.018925503,3.84214070906,8485839,39524,1690
baseline/current_holdover,held_out,1518731,23231132.5435,43098373046.6,168.457367288,3.91106255654,1512934,5797,353
baseline/current_holdover,train,5139236,71103524.5942,130011826814,159.053104218,3.71960038386,5117264,21972,973
baseline/current_holdover,validation,1867396,31517137.0552,59046055305.8,177.81861873,4.10823395771,1855641,11755,364
candidate_1_algebraic_envelope,all,8525363,185419209.737,367718142932,207.683067228,4.66359601983,8489870,35493,1690
candidate_1_algebraic_envelope,held_out,1518731,33339049.832,62743293737.7,203.255931326,4.68528679743,1513178,5553,353
candidate_1_algebraic_envelope,train,5139236,104193008.461,204536326606,199.496805228,4.50266885444,5119605,19631,973
candidate_1_algebraic_envelope,validation,1867396,47887151.4442,100438522589,231.916658926,5.06397193192,1857087,10309,364
candidate_2_stribeck,all,8525363,137656671.724,293629799542,185.585321851,4.0182984751,8484269,41094,1690
candidate_2_stribeck,held_out,1518731,26032995.1102,59655787391.6,198.191882269,4.14020303628,1512639,6092,353
candidate_2_stribeck,train,5139236,77666933.9689,163702072329,178.475171472,3.88748565759,5116378,22858,973
candidate_2_stribeck,validation,1867396,33956742.6447,70271939822,193.987059069,4.26427102558,1855252,12144,364
candidate_3_load_sensitive,all,8525363,310062307.208,396671168924,215.704337435,6.03070447748,8469885,55478,1690
candidate_3_load_sensitive,held_out,1518731,56080530.52,56836653931.9,193.452266498,6.07666965928,1509867,8864,353
candidate_3_load_sensitive,train,5139236,177365638.261,221818230382,207.753972805,5.87469687069,5108164,31072,973
candidate_3_load_sensitive,validation,1867396,76616138.4269,118016284610,251.392754723,6.40533601906,1851854,15542,364
