candidate_id,split,stage,log_parameter,measurement_dimension,count,segment_count,rms_nis,sqrt_mean_nis,expected_rms_nis,guarded_rms_nis,under_expected_penalty,inflation_flag,accepted_count,rejected_count,parameter_field,parameter_value_kind,parameter_value,launch_command_signature
baseline/current_holdover,all,SEC_20_LAUNCH,forward_accel_nis,1,2240,5,0.733036271203,0.349032255211,1.73205080757,1.73205080757,0.999014536366,true,2240,0,observed_drive_command_magnitude,observed_drive_command_magnitude,0.24,"pair=-0.24,-0.24;mag=0.24;linear=0;yaw=0"
baseline/current_holdover,all,SEC_20_LAUNCH,forward_accel_nis,1,2236,5,0.775756606017,0.350042853514,1.73205080757,1.73205080757,0.956294201552,true,2236,0,observed_drive_command_magnitude,observed_drive_command_magnitude,0.24,"pair=0.24,0.24;mag=0.24;linear=0;yaw=0"
baseline/current_holdover,all,SEC_20_LAUNCH,forward_accel_nis,1,114938,98,3.00067521237,0.784367067019,1.73205080757,3.00067521237,0,false,114752,186,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=-0.25,-0.25;mag=0.25;linear=0;yaw=0"
baseline/current_holdover,all,SEC_20_LAUNCH,forward_accel_nis,1,180168,99,2.56084766055,0.884754421024,1.73205080757,2.56084766055,0,false,179982,186,observed_drive_command_magnitude,observed_drive_command_magnitude,0.25,"pair=0.25,0.25;mag=0.25;linear=0;yaw=0"
baseline/current_holdover,all,SEC_20_LAUNCH,forward_accel_nis,1,61501,60,2.17861446186,0.744450954374,1.73205080757,2.17861446186,0,false,61427,74,observed_drive_command_magnitude,observed_drive_command_magnitude,0.26,"pair=-0.26,-0.26;mag=0.26;linear=0;yaw=0"
baseline/current_holdover,all,SEC_20_LAUNCH,forward_accel_nis,1,61033,60,2.58536809798,0.798915588077,1.73205080757,2.58536809798,0,false,60919,114,observed_drive_command_magnitude,observed_drive_command_magnitude,0.26,"pair=0.26,0.26;mag=0.26;linear=0;yaw=0"
baseline/current_holdover,all,SEC_20_LAUNCH,forward_accel_nis,1,66157,60,2.76243382618,0.848232321944,1.73205080757,2.76243382618,0,false,66027,130,observed_drive_command_magnitude,observed_drive_command_magnitude,0.29,"pair=-0.29,-0.29;mag=0.29;linear=0;yaw=0"
baseline/current_holdover,all,SEC_20_LAUNCH,forward_accel_nis,1,65551,60,3.39312554055,0.943945670877,1.73205080757,3.39312554055,0,false,65302,249,observed_drive_command_magnitude,observed_drive_command_magnitude,0.29,"pair=0.29,0.29;mag=0.29;linear=0;yaw=0"
baseline/current_holdover,all,SEC_20_LAUNCH,forward_accel_nis,1,67973,81,3.77008988681,1.06608262278,1.73205080757,3.77008988681,0,false,67767,206,observed_drive_command_magnitude,observed_drive_command_magnitude,0.3,"pair=-0.3,-0.3;mag=0.3;linear=0;yaw=0"
baseline/current_holdover,all,SEC_20_LAUNCH,forward_accel_nis,1,87043,83,3.5542874347,0.989901468545,1.73205080757,3.5542874347,0,false,86785,258,observed_drive_command_magnitude,observed_drive_command_magnitude,0.3,"pair=0.3,0.3;mag=0.3;linear=0;yaw=0"
