stage,parameter_field,parameter_value_kind,parameter_value,launch_command_signature,count,finite_count,nonfinite_count,rms_nis,sqrt_mean_nis,accepted_count,rejected_count,rejected_rate,accepted_only_rms_nis,physical_residual_rms,segment_count
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=-0.037394,0.028471;mag=0.183737;linear=-0.10000000149;yaw=0.0259719891474",17280,17280,0,17.2841405419,3.43879169728,17152,128,0.00740740740741,15.7987202192,3.66899849005,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=-0.039191,0.037557;mag=0.186625;linear=-0.10000000149;yaw=0.0277306213975",17335,17335,0,17.8247919676,3.45997769242,17217,118,0.00680703778483,16.0948265308,3.69440012358,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0,0;mag=0.182783;linear=0.10000000149;yaw=-0.0326524153352",17085,17085,0,17.0866656712,3.42375579575,16993,92,0.00538484050337,15.7993405218,3.68096677525,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0,0;mag=0.184631;linear=-0.10000000149;yaw=0.0304122660309",17475,17475,0,17.533119915,3.43515483645,17367,108,0.00618025751073,15.7716842584,3.66696993827,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0,0;mag=0.1864965;linear=0.10000000149;yaw=-0.0182317560539",17375,17375,0,17.4383800006,3.44864557183,17242,133,0.00765467625899,15.8497774095,3.70504296489,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.1,"pair=0.351734,0.351734;mag=0.188751;linear=0.10000000149;yaw=-0.0276963133365",17480,17480,0,16.1076925138,3.40164480866,17399,81,0.00463386727689,15.1688549921,3.64605688334,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.3,"pair=-1,-1;mag=0.176754;linear=-0.300000011921;yaw=0.060833197087",6370,6370,0,33.7278618225,3.95827129164,6246,124,0.0194662480377,29.5272032397,4.20880672441,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.3,"pair=-1,-1;mag=0.179516;linear=-0.300000011921;yaw=0.0565303377807",6155,6155,0,26.9507389377,3.79215580479,6043,112,0.0181965881397,23.433066008,4.05556699873,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.3,"pair=-1,-1;mag=0.188879;linear=-0.300000011921;yaw=0.0879773497581",6595,6595,0,46.1284424137,4.16704453275,6452,143,0.0216830932525,43.2180599385,4.42950098541,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.3,"pair=1,1;mag=0.175661;linear=0.300000011921;yaw=-0.0419010389596",6130,6130,0,26.4398263633,3.74981743837,6000,130,0.021207177814,24.0608645733,3.99272248908,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.3,"pair=1,1;mag=0.176183;linear=0.300000011921;yaw=-0.0541993789375",6275,6275,0,24.794720624,3.7669597599,6165,110,0.0175298804781,22.9709063841,4.00065466824,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.3,"pair=1,1;mag=0.17929;linear=0.300000011921;yaw=-0.0705979578197",6120,6120,0,51.3733832938,4.23079196198,5998,122,0.0199346405229,50.3000371868,4.44919558428,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.55,"pair=-1,-1;mag=0.235262;linear=-0.550000011921;yaw=0.0632974095643",3800,3800,0,70.876172986,5.19822535948,3618,182,0.0478947368421,69.6016635122,5.3846576296,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.55,"pair=-1,-1;mag=0.2438395;linear=-0.550000011921;yaw=0.134794205427",3750,3750,0,93.4559964315,5.86761872159,3597,153,0.0408,91.9275107639,5.99155306114,1
SEC_30_STRAIGHT,straight_speed_mps,legacy_straight_speed_bin_mps,0.55,"pair=-1,-1;mag=0.250818;linear=-0.550000011921;yaw=0.114309363067",3670,3670,0,94.2241900301,5.71977502489,3503,167,0.0455040871935,93.6641110923,5.7694040314,1
