segment_id,split,stage,family,corrupted,row_count,coverage_key,parameter_json,observed_command_signature
ofnis_000406,train,SEC_20_LAUNCH,launch,false,466,"stage=SEC_20_LAUNCH|family=launch|parameter=observed_drive_command_magnitude|kind=observed_drive_command_magnitude|value=0.2|observed_command=pair=0.2,0.2;mag=0.2;linear=0;yaw=0","{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 0.0, ""parameter"": ""observed_drive_command_magnitude"", ""speed_bin"": 0.0, ""speed_bin_label"": ""NONE"", ""test_value"": 0.2, ""test_value_kind"": ""observed_drive_command_magnitude""}","pair=0.2,0.2;mag=0.2;linear=0;yaw=0"
ofnis_001060,train,SEC_30_STRAIGHT,straight,false,33126,stage=SEC_30_STRAIGHT|family=straight|parameter=straight_speed_mps|kind=legacy_straight_speed_bin_mps|value=0.55,"{""cmd_linear_mps_median"": 0.550000011920929, ""cmd_yaw_radps_median"": -0.09407395124435425, ""parameter"": ""straight_speed_mps"", ""speed_bin"": 3.0, ""speed_bin_label"": ""HIGH"", ""test_value"": 0.55, ""test_value_kind"": ""legacy_straight_speed_bin_mps""}","pair=1,1;mag=0.237663;linear=0.550000011921;yaw=-0.0940739512444"
ofnis_001245,train,SEC_40_YAW,in_place_turn,true,53963,stage=SEC_40_YAW|family=in_place_turn|parameter=yaw_rate_radps|kind=legacy_yaw_rate_bin_radps|value=9,"{""cmd_linear_mps_median"": 0.0, ""cmd_yaw_radps_median"": 13.404176712036133, ""parameter"": ""yaw_rate_radps"", ""speed_bin"": 1.0, ""speed_bin_label"": ""LOW"", ""test_value"": 9.0, ""test_value_kind"": ""legacy_yaw_rate_bin_radps""}","pair=0.471501,-0.471581;mag=0.471568;linear=0;yaw=13.404176712"
ofnis_001505,train,launch,launch,false,721,"stage=launch|family=launch|parameter=drive_command_bin|kind=logged_drive_command_bin|value=0.3|observed_command=pair=0.3,0.3;mag=0.3","{""cmd_linear_mps_median"": null, ""cmd_yaw_radps_median"": null, ""parameter"": ""drive_command_bin"", ""speed_bin"": 0.30000001192092896, ""speed_bin_label"": null, ""test_value"": 0.3, ""test_value_kind"": ""logged_drive_command_bin""}","pair=0.3,0.3;mag=0.3"
ofnis_001510,train,launch,launch,false,800,"stage=launch|family=launch|parameter=drive_command_bin|kind=logged_drive_command_bin|value=-0.35|observed_command=pair=-0.35,-0.35;mag=0.35","{""cmd_linear_mps_median"": null, ""cmd_yaw_radps_median"": null, ""parameter"": ""drive_command_bin"", ""speed_bin"": -0.3499999940395355, ""speed_bin_label"": null, ""test_value"": -0.35, ""test_value_kind"": ""logged_drive_command_bin""}","pair=-0.35,-0.35;mag=0.35"
