group,present,count,run_count,baseline_rmse_nm,bristle_slip_rmse_nm,baseline_mae_nm,bristle_slip_mae_nm,baseline_median_abs_nm,bristle_slip_median_abs_nm,baseline_signed_median_nm,bristle_slip_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_bristle_slip_rmse_nm,rmse_improvement_fraction,run_id,dataset_split,family,variant_c_rmse_nm,force_domain_stribeck_rmse_nm,rational_residual_reference_rmse_nm,standalone_contact_traction_rmse_nm,force_level_contact_testbed_rmse_nm
2026-05-04_20-35-47,True,3456,1,0.03584595564794367,0.01139962765010405,0.028876796461805552,0.008378988036351464,0.025485003500000002,0.006299581847332767,-0.009360000500000002,-0.00014225859263752668,0.03584595564794367,0.01139962765010405,0.6819828780110094,2026-05-04_20-35-47,open_floor_fit_downweighted,open_floor,0.028076443199331575,0.02095614161732105,0.020127808869544805,0.011589046852084053,0.016964678124879697
2026-05-04_16-57-53,True,1761,1,0.023277853459827615,0.01018154933975022,0.01794051859681999,0.007874764773212112,0.013238941,0.00633752956746964,0.000686103,1.880114621100222e-05,0.02327785345982761,0.010181549339750219,0.5626078943524022,2026-05-04_16-57-53,open_floor_validation_only,open_floor,0.01934116142597289,0.015366476488899375,0.015838560861422477,0.00983796163679149,0.011275094881834886
2026-04-22_12-10-34,True,2187,1,0.016217132975038465,0.012324422320128219,0.013081637976680384,0.01032995469650164,0.011327229,0.010101551771734378,0.003115614,0.00018923522168333407,0.01621713297503847,0.01232442232012822,0.24003692026833204,2026-04-22_12-10-34,open_floor_fit_downweighted,open_floor,0.014402919863369421,0.01348701867968651,0.013202689482483838,0.012330360089918665,0.012159883749152972
2026-04-22_01-06-32,True,1031,1,0.04497527945188074,0.012501007998154746,0.03335614529679923,0.010037072849669247,0.026813516,0.008997520320544778,-0.009991152,-0.00151428228984309,0.04497527945188073,0.012501007998154746,0.7220471301011118,2026-04-22_01-06-32,primary_open_floor_fit_authoritative,open_floor,0.018608488843215733,0.033937937440801695,0.016861102635710126,0.01230667486040885,0.01511997085818717
2026-04-21_05-32-06,True,8880,1,0.042584173842427964,0.015895026373143113,0.03655989283671171,0.013330198632713803,0.034704941,0.01209346640547312,-0.012155007499999999,-0.0008114919685792471,0.042584173842427964,0.015895026373143117,0.6267386463347002,2026-04-21_05-32-06,primary_open_floor_fit_authoritative,open_floor,0.023754464601601764,0.027283610538090263,0.017657454789089182,0.016517464699137962,0.016411486644547828
2026-04-21_00-16-10,True,3757,1,0.039823975581998204,0.020482912608133435,0.02832533189193506,0.015512869255914833,0.019252262000000006,0.012292812204014484,-0.008941154,-0.003286525465336099,0.039823975581998204,0.020482912608133435,0.4856637915027145,2026-04-21_00-16-10,primary_open_floor_fit_authoritative,open_floor,0.02774307957781035,0.03430247806398148,0.026878339329649562,0.020650381351574418,0.02694791897779314
2026-04-20_12-10-58,True,2925,1,0.040354823027093784,0.022220467885234976,0.02706600433162393,0.016882439283312362,0.015359406999999999,0.013224231128874614,-0.0036749550000000006,-0.0018853455426941692,0.040354823027093784,0.02222046788523498,0.4493726841444355,2026-04-20_12-10-58,primary_open_floor_fit_authoritative,open_floor,0.02933811998534102,0.0356483649477145,0.027977442201207736,0.02238198379643325,0.02831442123611043
2026-04-20_08-38-39,True,7284,1,0.056225357740350174,0.0344510495242988,0.042291618711285006,0.027215070092950728,0.0368143275,0.026151253268313475,-0.00016737000000000013,-6.863193180972052e-07,0.05622535774035016,0.0344510495242988,0.3872684690883704,2026-04-20_08-38-39,open_floor_fit_downweighted,open_floor,0.04131229724660652,0.056141320109295866,0.04248692457048695,0.0342756822673276,0.044026014881039896
diag003,True,5580,1,0.08523812922561612,0.025458216147462943,0.07495094215143369,0.020392343648749922,0.085086003,0.01735821586896346,0.012440089500000001,0.003750403378368615,0.08523812922561612,0.02545821614746294,0.7013283095399971,diag003,diag_validation_only,competition_diag,0.03897045903766876,0.08503230164347471,0.038712164739976,0.023743327476242724,0.026234051082609632
