group,present,count,run_count,baseline_rmse_nm,bristle_slip_rmse_nm,baseline_mae_nm,bristle_slip_mae_nm,baseline_median_abs_nm,bristle_slip_median_abs_nm,baseline_signed_median_nm,bristle_slip_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_bristle_slip_rmse_nm,rmse_improvement_fraction,variant_c_rmse_nm,force_domain_stribeck_rmse_nm,rational_residual_reference_rmse_nm,standalone_contact_traction_rmse_nm,force_level_contact_testbed_rmse_nm
aux_downweighted_validation,True,14448,13,0.0512663739166604,0.02146781602420966,0.033056377596483943,0.011856194437235047,0.016359514999999998,0.007961166534035984,0.0012553225,0.001424094829206502,0.05745404365918576,0.02059322199498782,0.5812495719102709,0.028529439179585198,0.048819706958314515,0.027490242677710965,0.020687366391557327,0.027296975430867794
diag_validation_only,True,11108,3,0.08462092512247131,0.025719189114820764,0.07380607165700397,0.02020785316584306,0.0823600235,0.016877473102036848,0.006359523000000001,0.0023594865268373416,0.08439010276450123,0.025802006367211305,0.696065848044115,0.03876675590868194,0.08441017836709906,0.03848912769383371,0.023947153628180864,0.025684577398624526
open_floor_fit_downweighted,True,31165,9,0.04319407311475569,0.02671824548253076,0.02784968490046526,0.01722242374669019,0.013314393999999993,0.008608739935771782,-0.000637863,-0.0001367416732439415,0.04144061576044249,0.024208389614367724,0.38143723071572433,0.033092937468878494,0.04150718685740355,0.03282316561347566,0.02663246465575232,0.03545970779268185
open_floor_validation_only,True,14542,9,0.01693070910515983,0.007875697347392172,0.010368821407646818,0.0056820057086192635,0.005201232,0.0043984777423681995,0.0008589390000000001,0.00029816188079217587,0.013964777509564468,0.008018373270134528,0.5348276732844013,0.014417143137851248,0.01139376781450519,0.011206860684196811,0.007711279672300156,0.009527487919849564
primary_open_floor_fit_authoritative,True,47317,15,0.03686617689817292,0.016719100107627952,0.02548019573497897,0.01204139761125479,0.016044601999999998,0.009133987706561632,-0.001648731,-0.00048436157494121377,0.03636331610413756,0.0164532126961295,0.5464921639743842,0.024120243843366647,0.027907821180421354,0.021083018384621146,0.016887630899899024,0.01956954005783589
validation_non_authoritative,True,71263,34,0.050233832045862625,0.022833983814177106,0.03250151156017849,0.01424486329898682,0.014290832,0.007875916219423008,0.00043578499999999973,0.00041954673221754476,0.04895637249560505,0.019825225192739264,0.5454461090420083,0.03034172395599833,,0.029680153603611304,0.022326615396330518,0.028675902743862298
