label,iteration,best_objective,worst_objective,simplex_spread
standalone_static_yield_inspired,0,0.0001851455768193623,0.006483729815562856,0.11191712910445056
standalone_static_yield_inspired,25,0.000183697275982277,0.00018505529635205357,0.2358865082583842
standalone_static_yield_inspired,50,0.0001820432135110321,0.00018280371799932684,0.5042700309715574
standalone_static_yield_inspired,75,0.00018046046306100717,0.00018133676924295087,1.2327614059115473
standalone_static_yield_inspired,100,0.00018013753069925993,0.00018039881307368376,0.7493530562697627
standalone_static_yield_inspired,125,0.00017997661939106807,0.00018011817208785376,0.5936098307133791
standalone_static_yield_inspired,150,0.00017993456263429246,0.00017998902599708193,0.39062736051629854
standalone_static_yield_inspired,175,0.00017989494594058955,0.00017993456263429246,0.3364797240228753
standalone_static_yield_inspired,200,0.00017982585514094972,0.00017988679576028173,0.38867078333780924
standalone_static_yield_inspired,225,0.00017960704768361775,0.00017977798785063237,0.5206212702588066
standalone_static_yield_inspired,250,0.00017927885028742302,0.0001794349221926424,0.5516171288080457
standalone_static_yield_inspired,275,0.00017908362661568975,0.00017920034503745495,0.6146468964257473
standalone_static_yield_inspired,300,0.00017904366750331395,0.00017907256956728806,0.3576766043810881
standalone_static_yield_inspired,325,0.00017899811520077945,0.00017903413536026744,0.2935130820490421
standalone_static_yield_inspired,350,0.00017895805105497817,0.000178994195878629,0.32170401083769623
standalone_static_yield_inspired,375,0.00017886574145449822,0.00017893115000131376,0.5572756958276717
standalone_static_yield_inspired,400,0.00017865210112242457,0.00017879737056184338,0.8356819668081463
standalone_static_yield_inspired,425,0.0001785701400583226,0.00017865210112242457,0.7251977353128717
standalone_static_yield_inspired,450,0.0001783327635896858,0.0001784432631399948,0.6848377188699175
standalone_static_yield_inspired,475,0.0001782711797730955,0.00017831742217908333,0.4601121994092909
standalone_static_yield_inspired,500,0.00017819470139314138,0.0001782363870237649,0.4791105925066642
standalone_static_yield_inspired,519,0.00017813539840205795,0.00017819470139314138,1.0656945928581383
force_domain_launch_heavier,0,0.00025643354238988846,0.000588728817188596,0.11191712910445056
force_domain_launch_heavier,25,0.00018639722892991933,0.0001929077109814072,0.13892187905108053
force_domain_launch_heavier,50,0.00018544512793678195,0.00018641259740034542,0.09746605560514027
force_domain_launch_heavier,75,0.00018530474040250782,0.00018564247642657253,0.06332643221945833
force_domain_launch_heavier,100,0.0001850810967182376,0.0001852331154315984,0.05633662045657072
force_domain_launch_heavier,125,0.0001845912738128408,0.0001849717954844916,0.06340409918828989
force_domain_launch_heavier,150,0.00018401995172262375,0.0001843094543706422,0.15747108191191705
force_domain_launch_heavier,175,0.00018379591992970646,0.0001839048539711398,0.1597478834328419
force_domain_launch_heavier,200,0.00018357547598197346,0.0001837920922754294,0.14005101945168297
force_domain_launch_heavier,225,0.0001830767308811547,0.0001834064383175985,0.2094525199180847
force_domain_launch_heavier,250,0.00018257101450255633,0.00018298356656588465,0.20548863836198208
force_domain_launch_heavier,275,0.00018235980375137234,0.00018258563360526122,0.24469280338325047
force_domain_launch_heavier,300,0.0001820501605590036,0.0001822092665287037,0.21169192893943076
force_domain_launch_heavier,325,0.0001819661791520972,0.0001820352429339842,0.2005799634713071
force_domain_launch_heavier,350,0.00018189489093636848,0.0001819457283538081,0.09989688604343372
force_domain_launch_heavier,375,0.0001818145209598952,0.0001818909397074786,0.08873387529068988
force_domain_launch_heavier,400,0.00018149841970945587,0.00018170012767999082,0.16059102072974726
force_domain_launch_heavier,425,0.00018039411536738053,0.0001811498319768939,0.24947567626648048
force_domain_launch_heavier,450,0.0001795037218134283,0.00018003462762609067,0.3239402715235964
force_domain_launch_heavier,475,0.00017916845221803242,0.00017935473752390163,0.40356014956203573
force_domain_launch_heavier,500,0.00017901621236210365,0.00017915713255648192,0.4090802539919642
force_domain_launch_heavier,519,0.00017898856656645582,0.0001790380973565424,0.355715238157387
slip_angle_forward_biased,0,0.056982086456198816,0.8927618773913532,0.11191712910445056
slip_angle_forward_biased,25,0.00018675477606535442,0.00020880893935981473,0.17240739822317197
slip_angle_forward_biased,50,0.00018655905397321656,0.00018701945400210386,0.090606407813246
slip_angle_forward_biased,75,0.00018617381867003723,0.00018653543997652729,0.06898522244563186
slip_angle_forward_biased,100,0.00018475013533470443,0.00018566907024925185,0.17563873221356757
slip_angle_forward_biased,125,0.00018284794911651886,0.00018350096282301464,0.3870047766843565
slip_angle_forward_biased,150,0.0001826659840689079,0.00018289401316486786,0.2760530793942752
slip_angle_forward_biased,175,0.00018229961728500094,0.00018260001302108868,0.21589291648441744
slip_angle_forward_biased,200,0.00018216611415823185,0.00018224775841277222,0.1327991366601023
slip_angle_forward_biased,225,0.00018203971499009466,0.0001821316871643751,0.11927473579872339
slip_angle_forward_biased,250,0.00018187347100634513,0.00018200073648967963,0.13611294851795144
slip_angle_forward_biased,275,0.00018177842209617887,0.0001818625902092027,0.1447613052250744
slip_angle_forward_biased,300,0.00018168489357472912,0.00018177121008274,0.13164269857273805
slip_angle_forward_biased,325,0.00018161573661377563,0.00018167299926326476,0.1410431865086966
slip_angle_forward_biased,350,0.00018156636144497522,0.00018160748489568038,0.1799560623504906
slip_angle_forward_biased,375,0.0001815191406302803,0.00018155609464607102,0.18450266627548076
slip_angle_forward_biased,400,0.000181381524754347,0.0001814783551779684,0.4111327144743448
slip_angle_forward_biased,425,0.00018134132293209224,0.00018137345974272533,0.36821524051429416
slip_angle_forward_biased,450,0.00018130883980759565,0.00018134132293209224,0.18405972543628224
slip_angle_forward_biased,475,0.00018121888854920952,0.0001812915580591506,0.30387122048155557
slip_angle_forward_biased,500,0.00018110503864116843,0.00018116701453575732,0.5432343319219143
slip_angle_forward_biased,519,0.0001810530268676629,0.0001811079977554671,0.5255585611308713
deterministic_random_seed_0,0,0.0016603446504089815,0.0032275390656853085,0.11191712910445056
deterministic_random_seed_0,25,0.00019378709462211993,0.0007993211401507421,0.3370616802766495
deterministic_random_seed_0,50,0.00018581579405294507,0.00019131799373561838,0.2613853297314473
deterministic_random_seed_0,75,0.00018485841029887334,0.0001862131039524615,0.12478415521595569
deterministic_random_seed_0,100,0.00018340294241153124,0.00018485841029887334,0.1724318117469624
deterministic_random_seed_0,125,0.00018187081182109298,0.000182573115313543,0.3021706838792548
deterministic_random_seed_0,150,0.0001810466605142274,0.0001816329133388917,0.260915204271316
deterministic_random_seed_0,175,0.0001799647909782672,0.00018057040239205472,0.395122130737271
deterministic_random_seed_0,200,0.00017955030196026707,0.00017974306386271156,0.7518382824601811
deterministic_random_seed_0,225,0.0001793140744770658,0.00017955133206843331,1.3557226824237236
deterministic_random_seed_0,250,0.00017897154969461398,0.000179267984072056,1.1042042708546396
deterministic_random_seed_0,275,0.0001788871958130844,0.0001789457252896648,0.9691442958223027
deterministic_random_seed_0,300,0.00017887421560666044,0.00017888034242431977,0.3150204280170875
deterministic_random_seed_0,325,0.00017887309944863454,0.0001788739178876965,0.11856864131659207
deterministic_random_seed_0,350,0.00017887173177335772,0.00017887261165501695,0.0672616340245723
deterministic_random_seed_0,375,0.00017886986035460444,0.00017887116697091747,0.0668118164311217
deterministic_random_seed_0,400,0.0001788638433398834,0.0001788677347498017,0.23193437656467278
deterministic_random_seed_0,425,0.0001788315193319567,0.00017885766397093537,0.9099963547219457
deterministic_random_seed_0,450,0.0001788305153327276,0.00017883458251904535,0.22486045073942118
deterministic_random_seed_0,475,0.00017882968062154107,0.00017883078377994754,0.11017442227598749
deterministic_random_seed_0,500,0.00017882945537600023,0.0001788297191866266,0.06586857702542352
deterministic_random_seed_0,519,0.0001788291136924035,0.00017882939125179797,0.056501644306453915
deterministic_random_seed_1,0,0.0002832356246506776,0.0006870520090996178,0.11191712910445055
