rank,label,selected,objective,train_rmse_nm,train_robust_loss,launch_max_abs_command,launch_opposing_nm,iterations,evaluations_cumulative,converged,boundary_hits,collapse_notes
1,standalone_static_yield_inspired,False,0.00017813539840205795,0.01624835922356294,0.00017813195842875416,0.645072641748864,0.009284918414686582,520,710,False,7,transition_at_lower_bound
2,deterministic_random_seed_0,False,0.0001788291136924035,0.016424615874730476,0.00017882823729055235,0.6455319183161149,0.012034641887137853,520,2903,False,8,static_extra_collapsed;transition_at_lower_bound
3,force_domain_launch_heavier,False,0.00017898856656645582,0.01634650761208362,0.00017897626383301621,0.6442462373707083,0.010154179318487548,520,1436,False,3,transition_at_lower_bound
4,deterministic_random_seed_1,False,0.00017912800260431924,0.016326933064605885,0.0001791107705669765,0.6480755744591998,0.010427030846472297,520,3631,False,2,none
5,deterministic_random_seed_2,True,0.00017928154840621675,0.016312309899430527,0.0001792815280723735,0.6459287016071994,0.00868710894173264,520,4365,False,3,transition_at_lower_bound
6,deterministic_random_seed_4,False,0.0001803002189061481,0.01647915228226001,0.00018029040242719852,0.6444334369666704,0.00990427188728892,520,5821,False,5,static_extra_collapsed;transition_at_lower_bound
7,deterministic_random_seed_3,False,0.00018098282251514266,0.016354582036800715,0.0001809827801411234,0.6461029247531666,0.009535506829352764,520,5103,False,2,none
8,slip_angle_forward_biased,False,0.0001810530268676629,0.01631384013043824,0.00018105168912998764,0.6454216969489815,0.00868866513441335,520,2161,False,1,none
