candidate,mode,speed_knee_mps,util_knee,alpha,primary_corrected_rmse_nm,validation_corrected_rmse_nm,validation_rb_corrected_rmse_nm,straight_forward_corrected_rmse_nm,mean_blend,validation_mean_blend,in_place_left_command,in_place_right_command,in_place_max_abs_command,in_place_extra_opposing_nm,in_place_blend_gate,passes_in_place_0p6,selected
speed_force_partition,speed_force_partition,0.5,0.1,1.0,0.021083018384621146,0.029680153603611304,0.02807808971739484,0.0130081368866126,0.1711178269905447,0.12240134178429458,0.6497644638998822,-0.6497644638998822,0.6497644638998822,0.06621034809105328,0.981495912262578,True,True
positive_launch_overlay,positive_launch_overlay,0.7,0.1,1.25,0.02163028434684741,0.030052314142099936,0.02807197435356885,0.012599051119350994,0.20928172582340715,0.14988202701176315,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
speed_force_partition,speed_force_partition,0.36,0.1,1.25,0.0211177298541587,0.029752853760415508,0.02808055425371228,0.012925870273512219,0.1883044913686595,0.1355122828240905,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
speed_force_partition,speed_force_partition,0.36,0.1,1.0,0.021147485511245914,0.029670194748271914,0.028080586934970925,0.012815939546740214,0.1597492795602851,0.11438359167520552,0.6496367391813197,-0.6496367391813197,0.6496367391813197,0.06618855362800091,0.9810499823180854,True,False
positive_launch_overlay,positive_launch_overlay,0.7,0.18,1.25,0.021661313672615416,0.030059836663380454,0.028091550629182026,0.012606207201128735,0.16944300754348576,0.1199768228605362,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
positive_launch_overlay,positive_launch_overlay,0.7,0.1,1.0,0.021598518892553948,0.02997619886676098,0.028092425399720292,0.012584156626765815,0.18022977616059677,0.12876521289597295,0.6498318499624343,-0.6498318499624343,0.6498318499624343,0.06622184659398259,0.9817311796679138,True,False
positive_launch_overlay,positive_launch_overlay,0.7,0.28,1.25,0.02168906226064523,0.03001860376846104,0.028092812806435438,0.012591468540853086,0.1332294722384497,0.09616215074361041,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
speed_force_partition,speed_force_partition,0.5,0.1,1.25,0.02110408579976702,0.029759379585335588,0.028095274609601633,0.013197159179608795,0.20038278704070445,0.1440870729426303,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
positive_launch_overlay,positive_launch_overlay,0.5,0.1,1.25,0.021624792565952542,0.030046510074294916,0.028098407176561178,0.012600624693453844,0.20038278704070445,0.1440870729426303,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
speed_force_partition,speed_force_partition,0.5,0.1,0.75,0.021346024735537733,0.029610831112772597,0.028100440247889952,0.012862461974227673,0.1283383702429085,0.09180100633822094,0.5794836436095054,-0.5794836436095054,0.5794836436095054,0.05421789464626701,0.7361219341969334,False,False
positive_launch_overlay,positive_launch_overlay,0.7,0.18,1.0,0.021657137456310035,0.02994755604319118,0.028102020151643235,0.012582793126250682,0.1402344827801119,0.09987977108038686,0.6389199055876903,-0.6389199055876903,0.6389199055876903,0.06435987366359361,0.9436339123252817,True,False
speed_force_partition_squared,speed_force_partition_squared,0.5,0.1,1.0,0.021193859491152784,0.029705151159051247,0.02810798311025454,0.013020808806865835,0.14030460360338404,0.09893361595663584,0.6446976018529711,-0.6446976018529711,0.6446976018529711,0.06534575790901387,0.9638057929437708,True,False
speed_force_partition_squared,speed_force_partition_squared,0.36,0.1,1.0,0.021253375943686918,0.029695492665305332,0.028110575041617136,0.012830248907136207,0.1307566007624985,0.09203829981762493,0.6445721791974974,-0.6445721791974974,0.6445721791974974,0.06532435626130292,0.9633679002756717,True,False
speed_force_partition,speed_force_partition,0.5,0.18,1.0,0.021249335237643233,0.029697605482801672,0.028111407119484007,0.013008907089561948,0.1327930540834354,0.09448816506268402,0.6388551345229027,-0.6388551345229027,0.6388551345229027,0.06434882137399561,0.9434077747565282,True,False
speed_force_partition,speed_force_partition,0.7,0.1,0.75,0.021298756089890337,0.02960906259827818,0.028111417234943117,0.013027046556797126,0.13517233212044757,0.0965739096719797,0.5795341831564195,-0.5795341831564195,0.5795341831564195,0.054226518523463996,0.7362983847509353,False,False
speed_force_partition,speed_force_partition,0.26,0.1,1.25,0.021204463381090864,0.029737877407571195,0.02811276290384802,0.012761948595599653,0.17369870588483016,0.12488965659072195,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
speed_force_partition,speed_force_partition,0.36,0.18,1.0,0.02131110919748888,0.029690067864062707,0.028115307289666314,0.012822814758234043,0.12360751275596203,0.08774837427876189,0.6387323663167238,-0.6387323663167238,0.6387323663167238,0.06432787267147595,0.9429791496635705,True,False
positive_launch_overlay,positive_launch_overlay,0.5,0.1,1.0,0.021589830513251175,0.02994393764687529,0.028116126997820422,0.012582872908872318,0.1711178269905447,0.12240134178429458,0.6497644638998822,-0.6497644638998822,0.6497644638998822,0.06621034809105328,0.981495912262578,True,False
speed_force_partition_squared,speed_force_partition_squared,0.36,0.1,1.25,0.021207944241053097,0.029789562902393787,0.028117493294878997,0.012942377018224071,0.15717935287909365,0.11078254721764604,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
speed_force_partition,speed_force_partition,0.26,0.1,1.0,0.021269449727152667,0.029664232119708377,0.028118020742154495,0.012699466810452358,0.14655461311979473,0.10512833845327609,0.649393820730806,-0.649393820730806,0.649393820730806,0.06614710294207223,0.9802018723173503,True,False
positive_launch_overlay,positive_launch_overlay,0.5,0.18,1.25,0.021647991780515123,0.03004600150750534,0.028119915206801138,0.01260678258548267,0.16144777060772,0.11475415299179735,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
speed_force_partition,speed_force_partition,0.36,0.18,1.25,0.021231456484267597,0.0297831020116295,0.028119953061058328,0.012931636959975486,0.15093589667581742,0.10717332252942482,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
positive_launch_overlay,positive_launch_overlay,0.7,0.4,1.25,0.02187947073786256,0.029973092115155715,0.028122064121657978,0.012595800667061736,0.10217006731706611,0.07616690850744194,0.6453264286531462,-0.6453264286531462,0.6453264286531462,0.06545305853662144,0.9660012387686162,True,False
positive_launch_overlay,positive_launch_overlay,0.5,0.28,1.25,0.021683822822997408,0.02999488387775278,0.02812366629294906,0.012590566347710531,0.12615174684314726,0.09110150691918016,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
speed_force_partition,speed_force_partition,0.36,0.1,0.75,0.021447783695569163,0.02962537840026201,0.028123735484889303,0.012745207014939976,0.11981195967021381,0.08578769375640415,0.5793878500705836,-0.5793878500705836,0.5793878500705836,0.05420154879897773,0.735787486738564,False,False
positive_launch_overlay,positive_launch_overlay,0.5,0.18,1.0,0.021656006373547677,0.029919859636663812,0.028127375834305923,0.012582835186969218,0.1327930540834354,0.09448816506268402,0.6388551345229027,-0.6388551345229027,0.6388551345229027,0.06434882137399561,0.9434077747565282,True,False
speed_force_partition,speed_force_partition,0.7,0.1,1.0,0.0211033041507941,0.029712616293906667,0.02813137901529114,0.013277057141457556,0.18022977616059677,0.12876521289597295,0.6498318499624343,-0.6498318499624343,0.6498318499624343,0.06622184659398259,0.9817311796679138,True,False
positive_launch_overlay,positive_launch_overlay,0.7,0.1,0.75,0.021782341950362393,0.02985119217873606,0.028131822560941048,0.012581584410187778,0.13517233212044757,0.0965739096719797,0.5795341831564195,-0.5795341831564195,0.5795341831564195,0.054226518523463996,0.7362983847509353,False,False
positive_launch_overlay,positive_launch_overlay,0.7,0.28,1.0,0.021832396029322076,0.02992778390660501,0.02813290111959872,0.012591582055014684,0.1079089425613432,0.0781720555707965,0.6189708059186377,-0.6189708059186377,0.6189708059186377,0.060955834722982764,0.873984896784498,True,False
speed_force_partition_squared,speed_force_partition_squared,0.5,0.1,1.25,0.021204628199722773,0.029804952420523972,0.02813498171436649,0.013212228375232891,0.16772670622020383,0.1183072724560554,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
speed_force_partition,speed_force_partition,0.5,0.18,1.25,0.021226146828728705,0.029803510301757624,0.028138299683192522,0.013197791706624471,0.16144777060772,0.11475415299179735,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
speed_force_partition,speed_force_partition,0.36,0.28,1.25,0.021381225575875813,0.029767440266562913,0.02814039593385353,0.012905017698378226,0.11714356096109514,0.08422337969582816,0.6550644654532793,-0.6550644654532793,0.6550644654532793,0.06711472031698633,1.0,True,False
speed_force_partition_squared,speed_force_partition_squared,0.5,0.1,0.75,0.021494903407551138,0.029655870836735893,0.028143847233454606,0.012885303525139728,0.10522845270253804,0.07420021196747688,0.575683497074322,-0.575683497074322,0.575683497074322,0.05356945200973745,0.7228543447078281,False,False
