candidate,mode,blend_gate,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,left_command,right_command,lr_delta_command,max_abs_command,speed_knee_mps,util_knee,alpha,baseline_opposing_yaw_torque_nm
force_domain_stribeck_reference,reference,,0.06711472031698633,0.08190897031698632,0.6550644654532793,-0.6550644654532793,1.3101289309065587,0.6550644654532793,,,,
variant_c_reference,reference,,0.018240534311908203,0.033034784311908205,0.368641182738375,-0.368641182738375,0.73728236547675,0.368641182738375,,,,
speed_only_partition,speed_only_partition,0.4181279366954304,0.0386761968638802,0.053470446863880194,0.48840275896148977,-0.48840275896148977,0.9768055179229795,0.48840275896148977,0.025,0.0,0.5,0.014794249999999998
speed_only_partition,speed_only_partition,0.6271919050431456,0.048894028139866194,0.06368827813986619,0.5482835470730472,-0.5482835470730472,1.0965670941460943,0.5482835470730472,0.025,0.0,0.75,0.014794249999999998
speed_only_partition,speed_only_partition,0.8362558733908608,0.059111859415852196,0.0739061094158522,0.6081643351846047,-0.6081643351846047,1.2163286703692093,0.6081643351846047,0.025,0.0,1.0,0.014794249999999998
speed_only_partition,speed_only_partition,1.0,0.06711472031698633,0.08190897031698632,0.6550644654532793,-0.6550644654532793,1.3101289309065587,0.6550644654532793,0.025,0.0,1.25,0.014794249999999998
speed_force_partition,speed_force_partition,0.4105917534080058,0.038307872040122246,0.05310212204012224,0.48624422060516437,-0.48624422060516437,0.9724884412103287,0.48624422060516437,0.025,0.1,0.5,0.014794249999999998
speed_force_partition_squared,speed_force_partition_squared,0.4031913995009151,0.03794618576676369,0.05274043576676368,0.4841245869458435,-0.4841245869458435,0.968249173891687,0.4841245869458435,0.025,0.1,0.5,0.014794249999999998
positive_launch_overlay,positive_launch_overlay,0.4105917534080058,0.038307872040122246,0.05310212204012224,0.48624422060516437,-0.48624422060516437,0.9724884412103287,0.48624422060516437,0.025,0.1,0.5,0.014794249999999998
speed_force_partition,speed_force_partition,0.6158876301120086,0.04834154090422927,0.06313579090422927,0.5450457395385593,-0.5450457395385593,1.0900914790771186,0.5450457395385593,0.025,0.1,0.75,0.014794249999999998
speed_force_partition_squared,speed_force_partition_squared,0.6047870992513726,0.04779901149419144,0.06259326149419144,0.5418662890495778,-0.5418662890495778,1.0837325780991556,0.5418662890495778,0.025,0.1,0.75,0.014794249999999998
positive_launch_overlay,positive_launch_overlay,0.6158876301120086,0.04834154090422927,0.06313579090422927,0.5450457395385593,-0.5450457395385593,1.0900914790771186,0.5450457395385593,0.025,0.1,0.75,0.014794249999999998
speed_force_partition,speed_force_partition,0.8211835068160116,0.058375209768336295,0.07316945976833629,0.603847258471954,-0.603847258471954,1.207694516943908,0.603847258471954,0.025,0.1,1.0,0.014794249999999998
speed_force_partition_squared,speed_force_partition_squared,0.8063827990018302,0.05765183722161918,0.07244608722161917,0.599607991153312,-0.599607991153312,1.199215982306624,0.599607991153312,0.025,0.1,1.0,0.014794249999999998
positive_launch_overlay,positive_launch_overlay,0.8211835068160116,0.058375209768336295,0.07316945976833629,0.603847258471954,-0.603847258471954,1.207694516943908,0.603847258471954,0.025,0.1,1.0,0.014794249999999998
speed_force_partition,speed_force_partition,1.0,0.06711472031698633,0.08190897031698632,0.6550644654532793,-0.6550644654532793,1.3101289309065587,0.6550644654532793,0.025,0.1,1.25,0.014794249999999998
speed_force_partition_squared,speed_force_partition_squared,1.0,0.06711472031698633,0.08190897031698632,0.6550644654532793,-0.6550644654532793,1.3101289309065587,0.6550644654532793,0.025,0.1,1.25,0.014794249999999998
positive_launch_overlay,positive_launch_overlay,1.0,0.06711472031698633,0.08190897031698632,0.6550644654532793,-0.6550644654532793,1.3101289309065587,0.6550644654532793,0.025,0.1,1.25,0.014794249999999998
speed_force_partition,speed_force_partition,0.3946582431740167,0.03752913469723245,0.05232338469723245,0.4816804922987738,-0.4816804922987738,0.9633609845975476,0.4816804922987738,0.025,0.18,0.5,0.014794249999999998
speed_force_partition_squared,speed_force_partition_squared,0.37250591322879073,0.03644645760304362,0.05124070760304361,0.4753355492360785,-0.4753355492360785,0.950671098472157,0.4753355492360785,0.025,0.18,0.5,0.014794249999999998
positive_launch_overlay,positive_launch_overlay,0.3946582431740167,0.03752913469723245,0.05232338469723245,0.4816804922987738,-0.4816804922987738,0.9633609845975476,0.4816804922987738,0.025,0.18,0.5,0.014794249999999998
speed_force_partition,speed_force_partition,0.5919873647610251,0.047173434889894575,0.06196768488989457,0.5382001470789731,-0.5382001470789731,1.0764002941579462,0.5382001470789731,0.025,0.18,0.75,0.014794249999999998
speed_force_partition_squared,speed_force_partition_squared,0.558758869843186,0.04554941924861132,0.060343669248611315,0.5286827324849301,-0.5286827324849301,1.0573654649698603,0.5286827324849301,0.025,0.18,0.75,0.014794249999999998
positive_launch_overlay,positive_launch_overlay,0.5919873647610251,0.047173434889894575,0.06196768488989457,0.5382001470789731,-0.5382001470789731,1.0764002941579462,0.5382001470789731,0.025,0.18,0.75,0.014794249999999998
speed_force_partition,speed_force_partition,0.7893164863480334,0.0568177350825567,0.0716119850825567,0.5947198018591727,-0.5947198018591727,1.1894396037183455,0.5947198018591727,0.025,0.18,1.0,0.014794249999999998
speed_force_partition_squared,speed_force_partition_squared,0.7450118264575815,0.05465238089417902,0.06944663089417902,0.5820299157337819,-0.5820299157337819,1.1640598314675639,0.5820299157337819,0.025,0.18,1.0,0.014794249999999998
positive_launch_overlay,positive_launch_overlay,0.7893164863480334,0.0568177350825567,0.0716119850825567,0.5947198018591727,-0.5947198018591727,1.1894396037183455,0.5947198018591727,0.025,0.18,1.0,0.014794249999999998
speed_force_partition,speed_force_partition,0.9866456079350419,0.06646203527521882,0.08125628527521882,0.6512394566393722,-0.6512394566393722,1.3024789132787444,0.6512394566393722,0.025,0.18,1.25,0.014794249999999998
