model,group,rows,runs,coverage_fraction,baseline_rmse_nm,corrected_rmse_nm,rmse_delta_nm,rmse_improvement_fraction,baseline_mae_nm,corrected_mae_nm,mae_delta_nm,baseline_median_abs_nm,corrected_median_abs_nm,median_residual_before_nm,median_residual_after_nm,run_id,dataset_split,physics_phases_present,training_rows,status
expanded_signed_bin_lookup,leave_selected_run_out:2026-04-22_01-06-32,1031,1,0.19495635305528614,0.04497527944035794,0.04398801817034212,-0.0009872612700158184,0.02195119813152091,0.033356145290009694,0.03228829612512125,-0.0010678491648884458,0.026813516,0.025384474,0.009991152,0.007555504,2026-04-22_01-06-32,primary_open_floor_fit_authoritative,entry;exit;plateau,46286,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_ridge_surface,leave_selected_run_out:2026-04-22_01-06-32,1031,1,1.0,0.04497527944035794,0.043642886834086896,-0.001332392606271042,0.029624998951656045,0.033356145290009694,0.030774800610411077,-0.0025813446795986163,0.026813516,0.02239033949915225,0.009991152,0.005733642066579298,2026-04-22_01-06-32,primary_open_floor_fit_authoritative,entry;exit;plateau,46286,held_out_if_fit_authoritative_else_train_primary_only
contact_feature_ridge_surface,leave_selected_run_out:2026-04-22_01-06-32,1031,1,1.0,0.04497527944035794,0.045720027378315195,0.0007447479379572575,-0.016559050821348897,0.033356145290009694,0.025054408433629518,-0.008301736856380176,0.026813516,0.011693935475406859,0.009991152,0.00028566050838207957,2026-04-22_01-06-32,primary_open_floor_fit_authoritative,entry;exit;plateau,46286,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_vbar_kernel_cell_surface,leave_selected_run_out:2026-04-22_01-06-32,1031,1,1.0,0.04497527944035794,0.03201947550867847,-0.012955803931679465,0.2880650013272348,0.033356145290009694,0.02508179989083777,-0.008274345399171924,0.026813516,0.022208808108512623,0.009991152,0.0018909211419452232,2026-04-22_01-06-32,primary_open_floor_fit_authoritative,entry;exit;plateau,46286,held_out_if_fit_authoritative_else_train_primary_only
expanded_signed_bin_lookup,leave_selected_run_out:2026-04-21_05-32-06,8880,1,0.10427927927927928,0.04258417382836225,0.04832928493941844,0.005745111111056189,-0.13491188379542507,0.036559892826801804,0.0399296650195946,0.0033697721927927957,0.034704941,0.0361455845,0.0121550075,0.012344405499999999,2026-04-21_05-32-06,primary_open_floor_fit_authoritative,entry;exit;plateau,38437,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_ridge_surface,leave_selected_run_out:2026-04-21_05-32-06,8880,1,1.0,0.04258417382836225,0.04160752014680397,-0.000976653681558283,0.022934663133180377,0.036559892826801804,0.03560589841706647,-0.0009539944097353356,0.034704941,0.03412848982506482,0.0121550075,0.01045630052463911,2026-04-21_05-32-06,primary_open_floor_fit_authoritative,entry;exit;plateau,38437,held_out_if_fit_authoritative_else_train_primary_only
contact_feature_ridge_surface,leave_selected_run_out:2026-04-21_05-32-06,8880,1,1.0,0.04258417382836225,0.028622797043739472,-0.013961376784622778,0.32785364912549064,0.036559892826801804,0.023343663606563095,-0.013216229220238709,0.034704941,0.02069966008534712,0.0121550075,0.004289230727076942,2026-04-21_05-32-06,primary_open_floor_fit_authoritative,entry;exit;plateau,38437,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_vbar_kernel_cell_surface,leave_selected_run_out:2026-04-21_05-32-06,8880,1,0.9989864864864865,0.04258417382836225,0.0411126361162618,-0.00147153771210045,0.034555976547333334,0.036559892826801804,0.03436477378701552,-0.0021951190397862808,0.034704941,0.032058335824983644,0.0121550075,0.00862615668526855,2026-04-21_05-32-06,primary_open_floor_fit_authoritative,entry;exit;plateau,38437,held_out_if_fit_authoritative_else_train_primary_only
expanded_signed_bin_lookup,leave_selected_run_out:2026-04-21_00-16-10,3757,1,0.4846952355602875,0.039823975586254654,0.04950499831848901,0.009681022732234354,-0.2430953361566388,0.02832533189938781,0.03575642451716795,0.00743109261778014,0.019252263,0.022378243,0.008941154,0.002622901,2026-04-21_00-16-10,primary_open_floor_fit_authoritative,entry;exit;plateau,43560,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_ridge_surface,leave_selected_run_out:2026-04-21_00-16-10,3757,1,1.0,0.039823975586254654,0.03831731819309834,-0.0015066573931563146,0.03783292278022443,0.02832533189938781,0.026115729805041028,-0.002209602094346782,0.019252263,0.016333646180993155,0.008941154,0.0010664842542042283,2026-04-21_00-16-10,primary_open_floor_fit_authoritative,entry;exit;plateau,43560,held_out_if_fit_authoritative_else_train_primary_only
contact_feature_ridge_surface,leave_selected_run_out:2026-04-21_00-16-10,3757,1,1.0,0.039823975586254654,0.03208710691518979,-0.007736868671064864,0.19427665262368388,0.02832533189938781,0.022711522754427872,-0.005613809144959937,0.019252263,0.015222656684831054,0.008941154,0.002659821118014022,2026-04-21_00-16-10,primary_open_floor_fit_authoritative,entry;exit;plateau,43560,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_vbar_kernel_cell_surface,leave_selected_run_out:2026-04-21_00-16-10,3757,1,0.97551237689646,0.039823975586254654,0.035914606882788754,-0.0039093687034659,0.0981662088205787,0.02832533189938781,0.023122997813416472,-0.005202334085971337,0.019252263,0.014475970394419654,0.008941154,-5.0067433326930755e-05,2026-04-21_00-16-10,primary_open_floor_fit_authoritative,entry;exit;plateau,43560,held_out_if_fit_authoritative_else_train_primary_only
expanded_signed_bin_lookup,leave_selected_run_out:2026-04-20_12-10-58,2925,1,0.36376068376068377,0.04035482301988178,0.04758297117142768,0.007228148151545898,-0.1791148519715915,0.027066004325470086,0.032570209830427355,0.005504205504957269,0.015359407,0.016951394,0.003674954,0.000663762,2026-04-20_12-10-58,primary_open_floor_fit_authoritative,entry;exit;plateau,44392,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_ridge_surface,leave_selected_run_out:2026-04-20_12-10-58,2925,1,1.0,0.04035482301988178,0.041632908889295155,0.0012780858694133729,-0.03167120492100017,0.027066004325470086,0.026828215310807268,-0.00023778901466281824,0.015359407,0.014381770759604343,0.003674954,-0.0010194207209538362,2026-04-20_12-10-58,primary_open_floor_fit_authoritative,entry;exit;plateau,44392,held_out_if_fit_authoritative_else_train_primary_only
contact_feature_ridge_surface,leave_selected_run_out:2026-04-20_12-10-58,2925,1,1.0,0.04035482301988178,0.03854521145780614,-0.0018096115620756387,0.044842510179863515,0.027066004325470086,0.024812626494392274,-0.0022533778310778116,0.015359407,0.01505021753231074,0.003674954,-0.0013597713837286921,2026-04-20_12-10-58,primary_open_floor_fit_authoritative,entry;exit;plateau,44392,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_vbar_kernel_cell_surface,leave_selected_run_out:2026-04-20_12-10-58,2925,1,0.944957264957265,0.04035482301988178,0.039501738149732485,-0.0008530848701492968,0.021139601324208557,0.027066004325470086,0.023531603375361882,-0.003534400950108204,0.015359407,0.012707714805473823,0.003674954,-0.000715299,2026-04-20_12-10-58,primary_open_floor_fit_authoritative,entry;exit;plateau,44392,held_out_if_fit_authoritative_else_train_primary_only
expanded_signed_bin_lookup,leave_selected_run_out:2026-04-20_08-38-39,7284,1,0.44947830862163646,0.05622535775152191,0.061503179679705575,0.005277821928183664,-0.09386906796588246,0.042291618721306976,0.047501501637287204,0.005209882915980228,0.036814327499999994,0.044217322,0.0001673695,-0.0001505845,2026-04-20_08-38-39,open_floor_fit_downweighted,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_ridge_surface,leave_selected_run_out:2026-04-20_08-38-39,7284,1,1.0,0.05622535775152191,0.06056912161440373,0.004343763862881822,-0.07725631346052664,0.042291618721306976,0.04578629351854557,0.0034946747972385978,0.036814327499999994,0.037616994099576154,0.0001673695,-0.0023790804759824106,2026-04-20_08-38-39,open_floor_fit_downweighted,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
contact_feature_ridge_surface,leave_selected_run_out:2026-04-20_08-38-39,7284,1,1.0,0.05622535775152191,0.033791446604831965,-0.022433911146689946,0.398999882683409,0.042291618721306976,0.024105609051000572,-0.018186009670306404,0.036814327499999994,0.016972636169727412,0.0001673695,-0.00048623339416738014,2026-04-20_08-38-39,open_floor_fit_downweighted,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_vbar_kernel_cell_surface,leave_selected_run_out:2026-04-20_08-38-39,7284,1,0.978171334431631,0.05622535775152191,0.0721606869683039,0.015935329216781986,-0.28341890303669337,0.042291618721306976,0.0537566878173297,0.011465069096022726,0.036814327499999994,0.04162882283806346,0.0001673695,-0.004037746884361178,2026-04-20_08-38-39,open_floor_fit_downweighted,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
expanded_signed_bin_lookup,leave_selected_run_out:diag003,5580,1,0.17455197132616487,0.08523812922205401,0.08292804254861781,-0.0023100866734361986,0.027101564693169045,0.07495094215232975,0.07240268345913978,-0.0025482586931899753,0.085086003,0.080246091,-0.0124400895,-0.0111959175,diag003,diag_validation_only,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_ridge_surface,leave_selected_run_out:diag003,5580,1,1.0,0.08523812922205401,0.0921811109253364,0.0069429817032823915,-0.081453942814667,0.07495094215232975,0.08161120344432622,0.006660261291996469,0.085086003,0.09029795866994529,-0.0124400895,-0.018254342148099303,diag003,diag_validation_only,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
contact_feature_ridge_surface,leave_selected_run_out:diag003,5580,1,1.0,0.08523812922205401,0.031200294320621824,-0.054037834901432186,0.6339631734602964,0.07495094215232975,0.02550043225161231,-0.04945050990071744,0.085086003,0.02268607151742507,-0.0124400895,-8.994153568472627e-05,diag003,diag_validation_only,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
vf_yaw_vbar_kernel_cell_surface,leave_selected_run_out:diag003,5580,1,0.9639784946236559,0.08523812922205401,0.10216492770275844,0.016926798480704427,-0.1985824728345269,0.07495094215232975,0.08791940378280774,0.01296846163047799,0.085086003,0.09032904558152913,-0.0124400895,-0.01655803745210044,diag003,diag_validation_only,entry;exit;plateau,47317,held_out_if_fit_authoritative_else_train_primary_only
