model,group,rows,runs,coverage_fraction,baseline_rmse_nm,corrected_rmse_nm,rmse_delta_nm,rmse_improvement_fraction,baseline_mae_nm,corrected_mae_nm,mae_delta_nm,baseline_median_abs_nm,corrected_median_abs_nm,median_residual_before_nm,median_residual_after_nm
expanded_signed_bin_lookup,split:primary_open_floor_fit_authoritative:all,47317,15,0.19832195616797346,0.036866176895009706,0.041340934545115865,0.004474757650106159,-0.12137840229133912,0.02548019573643722,0.02814385383627449,0.0026636580998372697,0.016044602,0.016749874,0.001648731,0.001085839
expanded_signed_bin_lookup,split:primary_open_floor_fit_authoritative:phase:entry,9719,15,0.35692972528037864,0.045837011822076036,0.053284521917425796,0.00744751009534976,-0.16247808919696838,0.033563032683506536,0.03909646955839078,0.005533436874884244,0.024289024,0.027484795,0.002079796,4.3235e-05
expanded_signed_bin_lookup,split:primary_open_floor_fit_authoritative:phase:plateau,26778,15,0.07748898349391291,0.02877127129678063,0.029909877794377444,0.0011386064975968148,-0.03957442428775182,0.01901283047434461,0.019547306131600568,0.0005344756572559575,0.011055656,0.0111052445,0.001152246,0.0010165460000000001
expanded_signed_bin_lookup,split:primary_open_floor_fit_authoritative:phase:exit,10820,15,0.35489833641404805,0.044806900200245255,0.05205393615888749,0.007247035958642234,-0.16173928404452687,0.03422566844436229,0.03958099637162662,0.005355327927264328,0.0273970075,0.0308869565,0.004929683,0.002953842499999999
expanded_signed_bin_lookup,split:open_floor_fit_downweighted:all,31165,9,0.2488368361944489,0.043194073119807955,0.0474263973525267,0.004232324232718743,-0.0979839113801444,0.027849684910123535,0.0310590013498155,0.0032093164396919636,0.013314394,0.01433028,0.000637863,0.000336323
expanded_signed_bin_lookup,split:open_floor_fit_downweighted:phase:entry,8341,9,0.4066658674019902,0.05617769021464853,0.06090252414871603,0.004724833934067502,-0.08410516552059111,0.04154216224553411,0.046242769958398273,0.004700607712864166,0.030788281,0.036827954,0.001756669,0.001048242
expanded_signed_bin_lookup,split:open_floor_fit_downweighted:phase:plateau,14651,9,0.06231656542215548,0.024365235700422493,0.02659875861071761,0.0022335229102951153,-0.09166843028965177,0.013101952217527814,0.01408106424476145,0.0009791120272336362,0.005601714,0.005650591,0.000276839,0.000176875
expanded_signed_bin_lookup,split:open_floor_fit_downweighted:phase:exit,8173,9,0.4221216199681879,0.053191308370772995,0.05935647795778902,0.006165169587016024,-0.11590558261965223,0.04031268236816346,0.04599793962975651,0.005685257261593052,0.031938671,0.038028665,0.002346486,0.001038988
expanded_signed_bin_lookup,split:open_floor_validation_only:all,14542,9,0.00976481914454683,0.016930709100069437,0.016979209001320886,4.849990125144893e-05,-0.002864611338177836,0.010368821404827396,0.010404650532388943,3.5829127561547505e-05,0.005201232,0.0052097125,-0.000858939,-0.0008548815
expanded_signed_bin_lookup,split:open_floor_validation_only:phase:entry,2104,9,0.02043726235741445,0.022224834525144614,0.022245035131669644,2.0200606525029585e-05,-0.0009089204467269685,0.014874971672053231,0.014939189150190114,6.421747813688261e-05,0.008434416,0.0085052375,-0.0029512495,-0.0029339605
expanded_signed_bin_lookup,split:open_floor_validation_only:phase:plateau,10533,9,0.005031804803949492,0.013256838243914581,0.013336392130939964,7.955388702538327e-05,-0.006000969881480023,0.007978205793411184,0.008003866564416595,2.5660771005410823e-05,0.004279471,0.004280159,-0.000330051,-0.000319452
expanded_signed_bin_lookup,split:open_floor_validation_only:phase:exit,1905,9,0.024146981627296588,0.025901922754757487,0.02589931388734439,-2.6088674130973766e-06,0.00010072099425972869,0.01860998364776903,0.01867068112703412,6.0697479265091336e-05,0.012153925,0.012309505,-0.004435259,-0.004429037
