model,forward_velocity_cell_mps,yaw_rate_cell_radps,vbar_rel_cell_mps,median_residual_additive_nm,count
vf_yaw_vbar_kernel_cell_surface,-0.2,-0.5,0.05,-0.03959498,11
vf_yaw_vbar_kernel_cell_surface,0.5,-0.5,0.0,0.003441688,27
vf_yaw_vbar_kernel_cell_surface,0.0,5.0,0.075,0.023499002,8
vf_yaw_vbar_kernel_cell_surface,0.3,14.5,0.225,0.036023429,53
vf_yaw_vbar_kernel_cell_surface,-0.1,-9.5,0.15,-0.018453961,17
vf_yaw_vbar_kernel_cell_surface,0.0,13.5,0.2,0.0372024475,12
vf_yaw_vbar_kernel_cell_surface,0.4,7.5,0.125,0.037954698999999995,22
vf_yaw_vbar_kernel_cell_surface,0.4,9.5,0.15,0.034590366,29
vf_yaw_vbar_kernel_cell_surface,0.4,11.0,0.175,0.035194895500000004,10
vf_yaw_vbar_kernel_cell_surface,0.3,14.0,0.2,0.0311130295,34
vf_yaw_vbar_kernel_cell_surface,0.3,13.5,0.2,0.026257675,41
vf_yaw_vbar_kernel_cell_surface,0.3,13.0,0.2,0.03173888,56
vf_yaw_vbar_kernel_cell_surface,0.3,14.0,0.225,0.0312534015,12
vf_yaw_vbar_kernel_cell_surface,0.4,13.5,0.2,0.040439603500000004,10
vf_yaw_vbar_kernel_cell_surface,0.3,9.0,0.15,0.0308955685,14
vf_yaw_vbar_kernel_cell_surface,0.3,8.5,0.125,0.021018572,25
vf_yaw_vbar_kernel_cell_surface,0.3,9.5,0.15,0.0295884705,16
vf_yaw_vbar_kernel_cell_surface,0.3,15.0,0.225,0.029204215,23
vf_yaw_vbar_kernel_cell_surface,0.4,-5.0,0.175,-0.0020162345,12
vf_yaw_vbar_kernel_cell_surface,0.4,-7.5,0.25,0.001486627,9
vf_yaw_vbar_kernel_cell_surface,0.4,-6.5,0.275,0.008353759,10
vf_yaw_vbar_kernel_cell_surface,0.4,-6.0,0.3,0.022613629,9
vf_yaw_vbar_kernel_cell_surface,0.4,-5.0,0.275,0.023159486,9
vf_yaw_vbar_kernel_cell_surface,0.3,1.0,0.05,0.02157324,10
vf_yaw_vbar_kernel_cell_surface,0.4,-6.0,0.15,-0.005868779,15
vf_yaw_vbar_kernel_cell_surface,0.4,-6.5,0.15,-0.009806853,21
vf_yaw_vbar_kernel_cell_surface,0.4,-6.0,0.175,-0.007006273,12
vf_yaw_vbar_kernel_cell_surface,0.4,-6.5,0.175,-0.0134559895,16
vf_yaw_vbar_kernel_cell_surface,0.4,-7.0,0.225,0.0248477935,8
vf_yaw_vbar_kernel_cell_surface,0.4,-6.5,0.25,0.006598924,12
vf_yaw_vbar_kernel_cell_surface,0.4,-6.0,0.25,0.007653247,9
vf_yaw_vbar_kernel_cell_surface,0.4,-6.0,0.275,0.028244606999999998,8
vf_yaw_vbar_kernel_cell_surface,0.4,-4.0,0.325,0.048007954500000005,8
vf_yaw_vbar_kernel_cell_surface,0.4,-4.5,0.325,0.041721455,11
vf_yaw_vbar_kernel_cell_surface,0.3,-2.0,0.25,0.0764637925,14
vf_yaw_vbar_kernel_cell_surface,0.4,-6.0,0.125,0.000189589,11
vf_yaw_vbar_kernel_cell_surface,0.4,-5.5,0.275,0.025624702,11
vf_yaw_vbar_kernel_cell_surface,0.4,-4.5,0.3,0.048690641,9
vf_yaw_vbar_kernel_cell_surface,0.4,3.5,0.1,-0.0126276015,8
vf_yaw_vbar_kernel_cell_surface,0.4,5.5,0.1,0.0185172765,14
vf_yaw_vbar_kernel_cell_surface,0.4,8.0,0.125,0.0356057975,30
vf_yaw_vbar_kernel_cell_surface,0.4,8.5,0.125,0.035303678,19
vf_yaw_vbar_kernel_cell_surface,0.3,11.0,0.175,0.031099664,18
vf_yaw_vbar_kernel_cell_surface,0.4,10.0,0.15,0.041549159,33
vf_yaw_vbar_kernel_cell_surface,0.3,10.5,0.175,0.0321174045,14
vf_yaw_vbar_kernel_cell_surface,0.4,10.5,0.15,0.029046777500000003,26
vf_yaw_vbar_kernel_cell_surface,0.4,12.0,0.175,0.0355667455,8
vf_yaw_vbar_kernel_cell_surface,0.3,12.5,0.2,0.033636319,10
vf_yaw_vbar_kernel_cell_surface,0.3,17.0,0.25,0.032388976,11
vf_yaw_vbar_kernel_cell_surface,0.3,16.5,0.25,0.058349317,9
vf_yaw_vbar_kernel_cell_surface,0.3,16.0,0.225,0.0388856935,10
vf_yaw_vbar_kernel_cell_surface,0.3,8.0,0.125,0.026706173,26
vf_yaw_vbar_kernel_cell_surface,0.3,9.0,0.125,0.04264329,9
vf_yaw_vbar_kernel_cell_surface,0.4,-6.0,0.325,0.0140205915,8
vf_yaw_vbar_kernel_cell_surface,0.4,-4.5,0.075,-0.0022263,20
vf_yaw_vbar_kernel_cell_surface,0.3,-3.5,0.2,0.029650219,9
vf_yaw_vbar_kernel_cell_surface,0.3,-3.0,0.225,0.030206974,9
vf_yaw_vbar_kernel_cell_surface,0.4,-5.0,0.3,0.028159103,15
vf_yaw_vbar_kernel_cell_surface,0.4,6.0,0.1,0.020211059,30
vf_yaw_vbar_kernel_cell_surface,0.4,9.0,0.125,0.037353386,21
vf_yaw_vbar_kernel_cell_surface,0.3,16.0,0.25,0.02823853,11
vf_yaw_vbar_kernel_cell_surface,0.3,15.5,0.225,0.0296808715,18
vf_yaw_vbar_kernel_cell_surface,0.4,-6.0,0.1,-0.0101355995,12
vf_yaw_vbar_kernel_cell_surface,0.4,-7.0,0.125,-0.017095147,13
vf_yaw_vbar_kernel_cell_surface,0.4,-5.5,0.2,0.003964805,11
vf_yaw_vbar_kernel_cell_surface,0.4,-5.5,0.175,0.013688417,11
vf_yaw_vbar_kernel_cell_surface,0.4,-4.5,0.2,0.011580075,11
vf_yaw_vbar_kernel_cell_surface,0.4,-4.0,0.225,0.020516517,9
vf_yaw_vbar_kernel_cell_surface,0.4,-4.5,0.225,0.02379495,9
vf_yaw_vbar_kernel_cell_surface,0.4,-4.0,0.1,0.00589724,16
vf_yaw_vbar_kernel_cell_surface,0.4,-7.5,0.125,-0.023122767,15
vf_yaw_vbar_kernel_cell_surface,0.4,-8.0,0.125,-0.028919032,11
vf_yaw_vbar_kernel_cell_surface,0.4,-7.0,0.15,-0.009030312,10
vf_yaw_vbar_kernel_cell_surface,0.4,-5.0,0.2,0.0108426965,20
vf_yaw_vbar_kernel_cell_surface,0.3,10.0,0.15,0.031181383,11
vf_yaw_vbar_kernel_cell_surface,0.3,10.5,0.15,0.0332849545,10
vf_yaw_vbar_kernel_cell_surface,0.3,11.5,0.175,0.037642957500000004,12
vf_yaw_vbar_kernel_cell_surface,0.3,12.0,0.175,0.027948512000000002,22
vf_yaw_vbar_kernel_cell_surface,0.4,0.5,0.45,-0.097297219,9
vf_yaw_vbar_kernel_cell_surface,0.4,-0.5,0.4,0.10085508,8
vf_yaw_vbar_kernel_cell_surface,0.4,0.5,0.75,-0.09859721,8
vf_yaw_vbar_kernel_cell_surface,-0.2,0.0,0.175,0.048812603499999996,8
vf_yaw_vbar_kernel_cell_surface,-0.5,0.5,0.025,-0.004251408999999999,14
vf_yaw_vbar_kernel_cell_surface,0.1,10.5,0.15,0.034149993,8
vf_yaw_vbar_kernel_cell_surface,0.0,-9.0,0.25,0.0047163475,8
vf_yaw_vbar_kernel_cell_surface,0.0,11.5,0.175,0.0170665785,8
vf_yaw_vbar_kernel_cell_surface,0.0,11.0,0.175,0.025212533000000002,8
vf_yaw_vbar_kernel_cell_surface,0.0,9.0,0.15,0.01703552,15
vf_yaw_vbar_kernel_cell_surface,0.0,10.5,0.175,0.021811103499999998,8
vf_yaw_vbar_kernel_cell_surface,0.0,16.5,0.25,0.03609947,15
vf_yaw_vbar_kernel_cell_surface,0.3,12.5,0.175,0.025778318,17
vf_yaw_vbar_kernel_cell_surface,0.3,-1.0,0.3,0.08150974750000001,8
vf_yaw_vbar_kernel_cell_surface,0.4,7.5,0.1,0.025415509,14
vf_yaw_vbar_kernel_cell_surface,0.4,5.5,0.075,0.020425356,19
vf_yaw_vbar_kernel_cell_surface,0.4,5.0,0.075,0.009450667,29
vf_yaw_vbar_kernel_cell_surface,0.4,-5.0,0.1,-0.00602034,20
vf_yaw_vbar_kernel_cell_surface,0.4,6.5,0.1,0.022439637,67
vf_yaw_vbar_kernel_cell_surface,0.4,4.5,0.075,0.003610471,33
vf_yaw_vbar_kernel_cell_surface,0.4,-3.5,0.225,0.031233996,9
vf_yaw_vbar_kernel_cell_surface,0.4,9.0,0.15,0.025605760499999998,12
vf_yaw_vbar_kernel_cell_surface,0.4,7.0,0.1,0.02793117,43
vf_yaw_vbar_kernel_cell_surface,0.4,-6.5,0.3,0.024159237,8
vf_yaw_vbar_kernel_cell_surface,0.4,-7.0,0.275,0.0041243405,10
vf_yaw_vbar_kernel_cell_surface,0.4,-4.5,0.1,0.0110046925,26
vf_yaw_vbar_kernel_cell_surface,0.4,-5.5,0.1,-0.004003198,37
vf_yaw_vbar_kernel_cell_surface,0.4,10.5,0.175,0.028805226,11
vf_yaw_vbar_kernel_cell_surface,0.4,3.5,0.05,0.000904369,11
vf_yaw_vbar_kernel_cell_surface,0.3,0.0,0.35,0.112184282,25
vf_yaw_vbar_kernel_cell_surface,0.6,-0.5,0.025,0.0029914815,14
vf_yaw_vbar_kernel_cell_surface,-0.6,0.5,0.0,-0.007163411,17
vf_yaw_vbar_kernel_cell_surface,-0.1,-10.5,0.15,-0.018906521000000003,8
vf_yaw_vbar_kernel_cell_surface,0.4,4.0,0.05,0.016767292,9
vf_yaw_vbar_kernel_cell_surface,0.4,4.0,0.075,0.017721392,13
vf_yaw_vbar_kernel_cell_surface,0.4,3.0,0.05,0.009388046,9
vf_yaw_vbar_kernel_cell_surface,0.5,-1.0,0.025,0.012301991,9
vf_yaw_vbar_kernel_cell_surface,0.4,-5.0,0.075,-0.007659705,23
vf_yaw_vbar_kernel_cell_surface,0.5,1.5,0.025,-0.016808472,15
vf_yaw_vbar_kernel_cell_surface,0.5,-1.5,0.025,0.011094603,14
vf_yaw_vbar_kernel_cell_surface,0.4,-8.5,0.125,-0.03361223,9
vf_yaw_vbar_kernel_cell_surface,0.0,-3.5,0.225,0.04163565,25
vf_yaw_vbar_kernel_cell_surface,0.0,-4.0,0.2,0.0518216195,16
vf_yaw_vbar_kernel_cell_surface,0.4,2.0,0.275,0.099601782,9
vf_yaw_vbar_kernel_cell_surface,0.0,4.0,0.225,-0.045378689,19
vf_yaw_vbar_kernel_cell_surface,-0.1,4.0,0.2,-0.0419249415,32
vf_yaw_vbar_kernel_cell_surface,0.1,-3.5,0.2,0.033678868,49
vf_yaw_vbar_kernel_cell_surface,0.1,-4.0,0.2,0.0320690485,12
vf_yaw_vbar_kernel_cell_surface,0.1,-4.0,0.225,0.0424669585,20
vf_yaw_vbar_kernel_cell_surface,0.1,-4.0,0.25,0.047619114,9
vf_yaw_vbar_kernel_cell_surface,0.1,-6.5,0.35,0.015176921999999999,8
vf_yaw_vbar_kernel_cell_surface,0.1,-4.0,0.275,0.056422637,8
vf_yaw_vbar_kernel_cell_surface,-0.5,0.0,0.5,0.11727148500000001,12
vf_yaw_vbar_kernel_cell_surface,-0.5,0.0,0.525,0.108101199,62
