variant,k1,k2,k3_radps,stribeck_speed_mps,speed_fade_mps,rel_weight,load_exponent,sliding_nm,static_extra_nm,train_weighted_rmse_nm,primary_rmse_nm,validation_rmse_nm,launch_extra_nm,launch_left_command,launch_right_command,launch_max_abs_command,passes_abs_0p6_gate,score
standard,0.3757770849429084,1.280373277250943,0.011429843777412357,0.010246348427229903,0.6381489103394051,0.07585176939288332,0.5,0.0,0.06633799274173373,0.0028926974164486413,0.03754048987490576,0.06524689705687235,0.06555617748853165,0.6459307490752433,-0.6459307490752433,0.6459307490752433,True,0.0028926974164486413
standard,0.7204235550868902,0.791926161680015,0.026871466216220854,0.010440347893586322,0.43333981349631673,0.03388860001664056,0.75,5.258311798920268e-05,0.06565341025936083,0.0028970775159417646,0.037625976083567554,0.06564601684540085,0.0655557565187726,0.6459282820154276,-0.6459282820154276,0.6459282820154276,True,0.0028970775159417646
standard,0.08158173327602873,0.1583904953678147,0.08823196931982799,0.0110097492695764,1.4399668370918133,0.10390297261706172,0.5,0.0,0.06682582244523216,0.0028974206454798436,0.03757621285249644,0.06552131703013807,0.06555548229363996,0.6459266749408323,-0.6459266749408323,0.6459266749408323,True,0.0028974206454798436
standard,0.1552316692641352,0.8656067777371094,0.03792391659761894,0.01007185662368244,1.1420420578871182,0.06493713097227818,0.0,0.0,0.0661487778552733,0.0028982966050399147,0.037558288932590014,0.06536146751672689,0.06555585697275394,0.6459288707180016,-0.6459288707180016,0.6459288707180016,True,0.0028982966050399147
standard,0.028077413688817793,1.5892584929270481,0.5036137063270165,0.01122415976687878,0.8833673522636427,0.12302192588447147,0.5,0.0,0.06726894566232286,0.002898471781903937,0.03758376668569381,0.0655218486273778,0.06555529950619797,0.6459256037295561,-0.6459256037295561,0.6459256037295561,True,0.002898471781903937
standard,0.39882186713257184,0.7060195530567428,0.01324581490604023,0.010190987070732085,0.9914028986226475,0.02859616090348163,0.25,0.0,0.06566782729752269,0.002901893007670878,0.03764232305664993,0.06565153492773561,0.06555551631881124,0.6459268743426445,-0.6459268743426445,0.6459268743426445,True,0.002901893007670878
standard,0.22238972275559254,0.24906156655890768,0.10172295540582564,0.012432643641034889,0.15086618936612894,0.1562505313181671,0.75,0.0,0.06782299566923625,0.002903315176301475,0.037650423221371764,0.06586131090042709,0.06555447640510344,0.6459207800110089,-0.6459207800110089,0.6459207800110089,True,0.002903315176301475
standard,0.408714577458395,2.0722587031156876,0.19003237091378228,0.012509371849332025,0.7475262065229539,0.10434133943418766,0.25,0.0,0.06654651001866554,0.0029098264495124706,0.03765443915055588,0.06641969903106187,0.06555396940304546,0.645917808765743,-0.645917808765743,0.645917808765743,True,0.0029098264495124706
standard,0.3828078517169844,0.4995952065736169,0.008622475872786061,0.011830170933603711,0.5987886615258255,0.22388119991493108,0.0,0.0,0.07066397552345753,0.0029102940061491293,0.03765552332046338,0.06572389224653521,0.06555399651541362,0.6459179676556218,-0.6459179676556218,0.6459179676556218,True,0.0029102940061491293
standard,0.16677990368193207,2.57349359248627,0.7225554603543181,0.012719290126133143,2.1707477715174557,0.11047105982522508,0.25,0.0,0.06662954836001914,0.0029124957076010352,0.03768354783447698,0.06651098231459167,0.06555365945256933,0.6459159923256117,-0.6459159923256117,0.6459159923256117,True,0.0029124957076010352
