dataset_split,all_median_abs_residual_nm,plateau_median_abs_residual_nm,transient_median_abs_residual_nm,plateau_vs_all_abs_reduction_fraction,plateau_vs_transient_abs_reduction_fraction,all_rmse_residual_nm,plateau_rmse_residual_nm,transient_rmse_residual_nm,plateau_count,transient_count
primary_open_floor_fit_authoritative,0.016044602,0.011055656,0.025922618,0.3109423343751375,0.5735131382177525,0.036866176895009706,0.02877127129678063,0.04529726619048253,26778,20539
open_floor_fit_downweighted,0.013314394,0.005601714,0.0313793095,0.579273829511129,0.8214838347542351,0.043194073119807955,0.024365235700422493,0.05472006444479482,14651,16514
open_floor_validation_only,0.005201232,0.004279471,0.009904211,0.17721974332235135,0.567913991331566,0.016930709100069437,0.013256838243914581,0.02404234349755442,10533,4009
diag_validation_only,0.082360023,0.0456507775,0.10229128600000001,0.4457167951495108,0.5537178259739544,0.0846209251204878,0.06448450059620303,0.09681238222582182,4712,6396
aux_downweighted_validation,0.016359514999999998,0.011437506,0.029432224,0.30086521513626774,0.6113951157751449,0.05126637392308136,0.03722139915039368,0.06718387148998278,8708,5740
