count,run_count,median_residual_nm,trimmed_mean_residual_nm,rmse_residual_nm,median_abs_residual_nm,mad_residual_nm,median_residual_opposes_yaw_nm,median_abs_residual_opposes_yaw_nm,mean_vbar_rel_mps,mean_vbar_yaw_mps,limiter_active_fraction,saturation_evidence_fraction,gyro_spike_fraction,dataset_split,physics_phase
47317,15,0.001648731,0.0033118793563333775,0.036866176895009706,0.016044602,0.015934163,0.0023324814999999997,0.0160637865,0.06434694058900606,0.051701897940676714,0.22560601897837987,0.02660777310480377,0.0003804129594014836,primary_open_floor_fit_authoritative,all
9719,15,0.002079796,0.0029382354555741287,0.045837011822076036,0.024289024,0.024274551,0.0044824615,0.024329975,0.11807413750005144,0.09365319730466097,0.4275131186336043,0.0772713242103097,0.0009260211955962548,primary_open_floor_fit_authoritative,entry
26778,15,0.001152246,0.002555473630694548,0.02877127129678063,0.011055656,0.0109357625,0.001550976,0.011079711,0.027642599578683993,0.015646832953805364,0.06419448801254761,0.005377548734035402,7.468817686160281e-05,primary_open_floor_fit_authoritative,plateau
10820,15,0.004929683,0.005007872184380776,0.044806900200245255,0.0273970075,0.026995215000000003,0.00534559,0.027382027,0.1069249643224584,0.10325068275582255,0.44371534195933454,0.03364140480591497,0.0006469500924214418,primary_open_floor_fit_authoritative,exit
31165,9,0.000637863,0.001837862344403,0.043194073119807955,0.013314394,0.013295813,-0.002021144,0.013379391,0.10936460570707525,0.048815729039178565,0.3940959409594096,0.11933258463019412,0.003465425958607412,open_floor_fit_downweighted,all
8341,9,0.001756669,0.0031028191251311257,0.05617769021464853,0.030788281,0.030689163999999998,-0.008221357,0.030806695,0.1659548515026975,0.07800338423438437,0.6568756743795708,0.21292410981896656,0.0050353674619350195,open_floor_fit_downweighted,entry
14651,9,0.000276839,0.00047538657631601396,0.024365235700422493,0.005601714,0.005641963,-0.0004319615,0.005617537000000001,0.03299810333397038,0.01605883826571565,0.09637567401542557,0.021705003071462697,0.00027301890655927923,open_floor_fit_downweighted,plateau
8173,9,0.002346486,0.003068593512616608,0.053191308370772995,0.031938671,0.031599006,-0.0081616225,0.0319412845,0.18850646133989968,0.07774843119735715,0.6596109139850728,0.19882540070965374,0.007585953750152943,open_floor_fit_downweighted,exit
14542,9,-0.000858939,-0.0015210680419460202,0.016930709100069437,0.005201232,0.005247491,1.8981e-05,0.005215098,0.005613574213450694,0.004521846157956265,0.0037821482602118004,0.0026818869481501856,0.00013753266400770182,open_floor_validation_only,all
2104,9,-0.0029512495,-0.005023294570665084,0.022224834525144614,0.008434416,0.0088726385,1.5587e-05,0.008434032,0.010074947466730037,0.008342291172528516,0.009980988593155894,0.006178707224334601,0.0004752851711026616,open_floor_validation_only,entry
10533,9,-0.000330051,-0.0003440044145010087,0.013256838243914581,0.004279471,0.004287169,3.323e-05,0.00428798,0.004084449076901167,0.002941342548181905,0.0007595177062565271,0.0005696382796923954,0.0,open_floor_validation_only,plateau
1905,9,-0.004435259,-0.007825731512131147,0.025901922754757487,0.012153925,0.012647388999999998,-0.000153024,0.012216108,0.009140894811023623,0.009041126058792651,0.013648293963254593,0.010498687664041995,0.0005249343832020997,open_floor_validation_only,exit
11108,3,-0.006359523000000001,-0.006236544722772278,0.0846209251204878,0.082360023,0.0827765505,-0.08209588300000001,0.08243948,0.14806281778718042,0.07783498445975873,0.4445444724522866,0.0,0.00045012603528988117,diag_validation_only,all
3215,3,-0.026745843,-0.007090440576369996,0.10590823322237675,0.110339143,0.093930185,-0.110289699,0.110339143,0.25225412633841365,0.13199315261306377,0.7847589424572318,0.0,0.0009331259720062209,diag_validation_only,entry
4712,3,-0.0027473784999999997,-0.003673435576657825,0.06448450059620303,0.0456507775,0.0454723635,-0.0441539575,0.0457428985,0.07662583680602716,0.040113622599533105,0.1882427843803056,0.0,0.0,diag_validation_only,plateau
3181,3,-0.03620564,-0.008360963920628683,0.08665455675983384,0.087034652,0.073882768,-0.086917702,0.087047658,0.14857712064508016,0.07897442063470607,0.4803520905375668,0.0,0.0006287331027978623,diag_validation_only,exit
14448,13,-0.0012553224999999999,-0.006471851093252596,0.05126637392308136,0.016359514999999998,0.016513550000000002,-0.009667355499999999,0.016662702,0.0716380793941722,0.028357552388981175,0.22605204872646734,0.0,0.002630121816168328,aux_downweighted_validation,all
2710,13,-0.0034258485,-0.014273043294741697,0.07408321980038726,0.027799833,0.028222870499999997,-0.017579617999999998,0.027995321,0.14434705150295202,0.06268110484538746,0.4033210332103321,0.0,0.008118081180811807,aux_downweighted_validation,entry
8708,13,-0.000406586,-0.003340242909586682,0.03722139915039368,0.011437506,0.0115296135,-0.0055754505,0.0115386805,0.03341834847622876,0.011384480751837392,0.13700045934772623,0.0,0.00045934772622875517,aux_downweighted_validation,plateau
3030,13,-0.0065930465,-0.01367186162458746,0.06034861345329037,0.030535899,0.0307456515,-0.022060962,0.030656532,0.11644867425181518,0.04643830508184819,0.3234323432343234,0.0,0.0039603960396039604,aux_downweighted_validation,exit
