dataset_split,physics_phase,feature,count,winsorized_run_balanced_corr_to_residual_opposes_yaw
primary_open_floor_fit_authoritative,plateau,left_right_vrel_f_abs_delta_mps,26778,0.0
primary_open_floor_fit_authoritative,plateau,left_right_vrel_r_abs_delta_mps,26778,0.0
primary_open_floor_fit_authoritative,plateau,max_force_limiter_activity,26778,0.0198552833262844
primary_open_floor_fit_authoritative,plateau,max_force_preprojection_utilization,26778,0.12384680438856746
primary_open_floor_fit_authoritative,plateau,patch_yaw_abs_velocity_basis_m2ps,26778,0.07366451563827853
primary_open_floor_fit_authoritative,plateau,patch_yaw_force_basis_nm,26778,0.8772421575663639
primary_open_floor_fit_authoritative,plateau,patch_yaw_req_basis_nm,26778,0.8610958375420064
primary_open_floor_fit_authoritative,plateau,patch_yaw_velocity_basis_m2ps,26778,0.5139514768548675
primary_open_floor_fit_authoritative,plateau,phase_entry,26778,0.0
primary_open_floor_fit_authoritative,plateau,phase_exit,26778,0.0
primary_open_floor_fit_authoritative,plateau,phase_progress,26778,0.2343096654733853
primary_open_floor_fit_authoritative,plateau,vbar_rel_mps,26778,0.05197868463433427
primary_open_floor_fit_authoritative,plateau,vbar_yaw_mps,26778,0.0198219406291485
primary_open_floor_fit_authoritative,exit,abs_measured_yaw_accel_radps2,10820,-0.0793253922395892
primary_open_floor_fit_authoritative,exit,abs_yaw_rate_radps,10820,-0.17959940985431672
primary_open_floor_fit_authoritative,exit,avg_abs_vrel_f_mps,10820,-0.020168583407305877
primary_open_floor_fit_authoritative,exit,avg_abs_vrel_r_mps,10820,-0.17959940999689206
primary_open_floor_fit_authoritative,exit,current_proxy_abs_raw_over_unit_command_prior,10820,0.10052948472591669
primary_open_floor_fit_authoritative,exit,front_rear_normal_delta_n,10820,0.0
primary_open_floor_fit_authoritative,exit,front_rear_vrel_f_abs_delta_mps,10820,0.0
primary_open_floor_fit_authoritative,exit,front_rear_vrel_r_abs_delta_mps,10820,0.0
primary_open_floor_fit_authoritative,exit,gyro_derivative_spike,10820,0.0
primary_open_floor_fit_authoritative,exit,hardware_saturation_evidence,10820,0.0036731919926580423
primary_open_floor_fit_authoritative,exit,left_right_drive_force_delta_n,10820,0.030020979831331115
primary_open_floor_fit_authoritative,exit,left_right_normal_delta_n,10820,0.0
primary_open_floor_fit_authoritative,exit,left_right_vrel_f_abs_delta_mps,10820,0.0
primary_open_floor_fit_authoritative,exit,left_right_vrel_r_abs_delta_mps,10820,0.0
