dataset_split,physics_phase,candidate,count,run_count,weighted_r2_in_sample,weighted_mae_after_fit_nm,weighted_rmse_after_fit_nm,features
open_floor_fit_downweighted,entry,patch_force_contact_features,8341,9,0.6518182282832723,0.020564759853318678,0.028935682428676102,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
open_floor_fit_downweighted,entry,artifact_transition_schema_run_proxy,8341,9,0.03807823616298611,0.03436789594682535,0.048095073126538344,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
open_floor_fit_downweighted,plateau,yaw_loss_aggregate,14651,9,-7.205155417252238,0.03206370122944289,0.08561335168695994,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
open_floor_fit_downweighted,plateau,patch_force_contact_features,14651,9,-0.3726348401360655,0.015715698628217364,0.035016731231241306,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
open_floor_fit_downweighted,plateau,artifact_transition_schema_run_proxy,14651,9,0.025549513316270533,0.016172166127106986,0.029503801824029396,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
open_floor_fit_downweighted,exit,yaw_loss_aggregate,8173,9,0.026538508940716077,0.03424175550435598,0.04734449816962748,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
open_floor_fit_downweighted,exit,patch_force_contact_features,8173,9,0.6074896897926811,0.02152138837389275,0.03006323170384799,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
open_floor_fit_downweighted,exit,artifact_transition_schema_run_proxy,8173,9,0.020516858022389783,0.034545263009050045,0.04749070452721105,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
open_floor_validation_only,all,yaw_loss_aggregate,14542,9,0.1313410691335133,0.008369830433704512,0.01304458919546487,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
open_floor_validation_only,all,patch_force_contact_features,14542,9,0.6778759293386014,0.0052041278923078945,0.007943599713347953,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
open_floor_validation_only,all,artifact_transition_schema_run_proxy,14542,9,-0.6214284475890854,0.00841333116468134,0.017821926831899933,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
open_floor_validation_only,entry,yaw_loss_aggregate,2104,9,0.10107398552878089,0.010677682332433398,0.01730328866440238,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
open_floor_validation_only,entry,patch_force_contact_features,2104,9,0.706602562002488,0.006140956170031797,0.009885413429507363,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
open_floor_validation_only,entry,artifact_transition_schema_run_proxy,2104,9,-0.9962561180896974,0.011556686371365732,0.025785455561824447,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
open_floor_validation_only,plateau,yaw_loss_aggregate,10533,9,-0.005197284254083723,0.0071868060431796825,0.011622965709382416,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
open_floor_validation_only,plateau,patch_force_contact_features,10533,9,0.5336598523000368,0.005256286846445934,0.007916672991242175,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
open_floor_validation_only,plateau,artifact_transition_schema_run_proxy,10533,9,0.02506596920409776,0.0070457270495630515,0.011446663560348997,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
open_floor_validation_only,exit,yaw_loss_aggregate,1905,9,0.2291732039198393,0.011731875105970678,0.018093700526061334,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
open_floor_validation_only,exit,patch_force_contact_features,1905,9,0.6435139006054975,0.006895172535669202,0.012304679216048319,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
open_floor_validation_only,exit,artifact_transition_schema_run_proxy,1905,9,-0.7560279727615808,0.01299044276307367,0.027309560502493307,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
diag_validation_only,all,yaw_loss_aggregate,11108,3,0.700564986150632,0.017322499114267084,0.02459292848233114,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
diag_validation_only,all,patch_force_contact_features,11108,3,0.9343321588411567,0.007479824662700593,0.011516892819976438,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
diag_validation_only,all,artifact_transition_schema_run_proxy,11108,3,0.2250678308312547,0.03069299959097345,0.03956314434544729,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
diag_validation_only,entry,yaw_loss_aggregate,3215,3,0.5505576534882486,0.01696743896678351,0.02429877262647311,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
diag_validation_only,entry,patch_force_contact_features,3215,3,0.7771878051239767,0.01192520241705892,0.01710869251071902,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
diag_validation_only,entry,artifact_transition_schema_run_proxy,3215,3,0.015361025085463997,0.02529704865510532,0.03596547941399279,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
diag_validation_only,plateau,yaw_loss_aggregate,4712,3,-0.21835711345247466,0.024626336404570695,0.04826268119734504,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
diag_validation_only,plateau,patch_force_contact_features,4712,3,0.9640200900905616,0.005927547842049206,0.008293811857162135,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
diag_validation_only,plateau,artifact_transition_schema_run_proxy,4712,3,0.29748931512984933,0.028059134656210155,0.03664802799549301,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
diag_validation_only,exit,yaw_loss_aggregate,3181,3,0.49656327925074095,0.01783657890891233,0.02393570590340889,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
diag_validation_only,exit,patch_force_contact_features,3181,3,0.8792821241844231,0.007787324423652744,0.011720862942494026,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
diag_validation_only,exit,artifact_transition_schema_run_proxy,3181,3,0.1275760505959036,0.023084712051018103,0.03150921508112917,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
aux_downweighted_validation,all,yaw_loss_aggregate,14448,13,-1.5852193603212563,0.040580576769938155,0.08587749497862042,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
aux_downweighted_validation,all,patch_force_contact_features,14448,13,0.920346048581777,0.006121167125837124,0.015074201987254954,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
aux_downweighted_validation,all,artifact_transition_schema_run_proxy,14448,13,0.008984051771599888,0.03658164501073076,0.053170530039070636,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
aux_downweighted_validation,entry,yaw_loss_aggregate,2710,13,0.37119973230146164,0.03602126939719516,0.053935093620540914,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
aux_downweighted_validation,entry,patch_force_contact_features,2710,13,0.870200287062274,0.010480030834667801,0.02450484410439853,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
aux_downweighted_validation,entry,artifact_transition_schema_run_proxy,2710,13,0.016137227934219234,0.05144014368210968,0.06746559297585149,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
aux_downweighted_validation,plateau,yaw_loss_aggregate,8708,13,-2.013881248073464,0.03292943256752187,0.07730497163359716,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
aux_downweighted_validation,plateau,patch_force_contact_features,8708,13,0.9599482785888477,0.004021781147250944,0.008911584927460211,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
aux_downweighted_validation,plateau,artifact_transition_schema_run_proxy,8708,13,0.026813574893091774,0.026813200179234838,0.04392809583045375,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
aux_downweighted_validation,exit,yaw_loss_aggregate,3030,13,-0.12329887912998516,0.039665117990237905,0.06109235372330076,vbar_yaw_mps;vbar_rel_mps;max_force_limiter_activity;max_force_preprojection_utilization;current_proxy_abs_raw_over_unit_command_prior;abs_yaw_rate_radps
aux_downweighted_validation,exit,patch_force_contact_features,3030,13,0.9229286894938677,0.007397803919158466,0.01600241638933299,patch_yaw_velocity_basis_m2ps;patch_yaw_abs_velocity_basis_m2ps;patch_yaw_req_basis_nm;patch_yaw_force_basis_nm;avg_abs_vrel_f_mps;avg_abs_vrel_r_mps;front_rear_vrel_f_abs_delta_mps;left_right_vrel_f_abs_delta_mps;front_rear_vrel_r_abs_delta_mps;left_right_vrel_r_abs_delta_mps;front_rear_normal_delta_n;left_right_normal_delta_n;left_right_drive_force_delta_n
aux_downweighted_validation,exit,artifact_transition_schema_run_proxy,3030,13,0.08228291581150493,0.039949715269614154,0.05521964409586289,phase_entry;phase_exit;phase_progress;abs_measured_yaw_accel_radps2;gyro_derivative_spike;hardware_saturation_evidence
