dataset_split,run_id,date,family,schema,recommendation,sample_rows,min_row_index,max_row_index,limiter_active_rows,hardware_saturation_rows,gyro_spike_rows,max_abs_forward_mps,max_abs_yaw_radps,max_vbar_rel_mps,entry_rows,plateau_rows,exit_rows,source_path,source_input_rows,source_kept_rows,source_extracted_samples,source_sampled_rows_written,source_bias_radps,source_bias_rows,source_cutoff_reason,quality_schema_kind,quality_reason,fan_source,fan_duty_min,fan_duty_max,watchdog_flags_present,saturation_flags_present,cmd_angular_zero_fraction_moving_yaw,selected_log,recency_bucket
aux_downweighted_validation,aux012,,competition_aux,legacy_competition,validation_only_downweighted,478,23,12956,63,0,0,0.3182905,12.233187,1.084924535,82,310,86,TestResults\Competition Testing Data\aux012.csv,13035,13035,12334,478,0.004887000,540,kept through final sensor-active row,legacy_competition_sample,legacy schema; path/procedure-dependent aux audit runs,metadata,0.800000,0.800000,no,no,0.121327,no,legacy_diag_or_aux
diag_validation_only,diag000,,competition_diag,legacy_competition,validation_only,2660,1843,77259,1152,0,1,0.505053,8.285776,0.760484591,736,1178,746,TestResults\Competition Testing Data\diag000.csv,78068,77274,66528,2660,-0.001222000,10033,dropped final sensor-quiescent/invalid tail >= 0.25 s,legacy_competition_sample,legacy schema lacks saturation/watchdog/per-row fan duty,metadata,0.800000,0.800000,no,no,0.030000,no,legacy_diag_or_aux
diag_validation_only,diag001,,competition_diag,legacy_competition,validation_only,2868,2133,80582,1259,0,3,0.576641,8.665734,0.751025266,811,1291,766,TestResults\Competition Testing Data\diag001.csv,81413,80609,69508,2868,0.003665000,10409,dropped final sensor-quiescent/invalid tail >= 0.25 s,legacy_competition_sample,legacy schema lacks saturation/watchdog/per-row fan duty,metadata,0.800000,0.800000,no,no,0.030419,no,legacy_diag_or_aux
diag_validation_only,diag003,,competition_diag,legacy_competition,validation_only,5580,63,156089,2527,0,1,0.5661835,7.677354,0.66029591,1668,2243,1669,TestResults\Competition Testing Data\diag003.csv,157729,156102,136780,5580,0.003665000,20477,dropped final sensor-quiescent/invalid tail >= 0.25 s,legacy_competition_sample,legacy schema lacks saturation/watchdog/per-row fan duty,metadata,0.800000,0.800000,no,no,0.029743,yes,legacy_diag_or_aux
open_floor_fit_downweighted,2026-04-14_02-00-02,2026-04-14,open_floor,decoded_open_floor_main,fit_downweighted,3137,15023,111371,518,178,2,0.734016597,12.035267609,0.655783813,731,1761,645,TestResults\mmlog_decode_2026-04-14_02-00-02\open_floor_main.csv,111383,111383,77516,3137,-0.003665191,30526,kept through final sensor-active row,decoded_open_floor_full_current,high moving-yaw saturation fraction,per_row,0.800000,0.800000,yes,yes,0.028261,no,older_2026_04
open_floor_fit_downweighted,2026-04-14_16-34-17,2026-04-14,open_floor,decoded_open_floor_main,fit_downweighted,3054,15022,109222,496,170,15,0.692911625,14.707191246,0.782797491,710,1698,646,TestResults\mmlog_decode_2026-04-14_16-34-17\open_floor_main.csv,109232,109232,75003,3054,-0.003665191,31338,kept through final sensor-active row,decoded_open_floor_full_current,high moving-yaw saturation fraction,per_row,0.800000,0.800000,yes,yes,0.106997,no,older_2026_04
open_floor_fit_downweighted,2026-04-15_02-09-58,2026-04-15,open_floor,decoded_open_floor_main,fit_downweighted,3264,15010,117242,778,259,25,0.76924938,23.319169265,1.108490119,730,1907,627,TestResults\mmlog_decode_2026-04-15_02-09-58\open_floor_main.csv,117247,117247,81998,3264,-0.003665191,31749,kept through final sensor-active row,decoded_open_floor_full_current,high moving-yaw saturation fraction,per_row,0.800000,0.800000,yes,yes,0.039552,no,older_2026_04
open_floor_fit_downweighted,2026-04-20_02-33-07,2026-04-20,open_floor,decoded_open_floor_main,fit_downweighted,1135,264,27958,1009,69,0,0.807418227,22.797490194,1.172464048,398,273,464,TestResults\mmlog_decode_2026-04-20_02-33-07\open_floor_main.csv,27971,27971,27605,1135,-0.001221730,254,kept through final sensor-active row,decoded_open_floor_full_current,weak independent stationary bias support; angular command mostly zero during moving-yaw rows,per_row,0.000000,0.000000,yes,yes,1.000000,no,older_2026_04
open_floor_fit_downweighted,2026-04-20_04-54-09,2026-04-20,open_floor,decoded_open_floor_main,fit_downweighted,4121,15032,137176,2118,693,43,0.845587134,13.09450714,1.263290683,1047,1951,1123,TestResults\mmlog_decode_2026-04-20_04-54-09\open_floor_main.csv,137183,137183,102216,4121,-0.001221730,28659,kept through final sensor-active row,decoded_open_floor_full_current,high moving-yaw saturation fraction; angular command mostly zero during moving-yaw rows,per_row,0.000000,0.000000,yes,yes,1.000000,no,older_2026_04
open_floor_fit_downweighted,2026-04-20_08-38-39,2026-04-20,open_floor,decoded_open_floor_main,fit_downweighted,7284,15071,217822,5226,1787,6,0.783929706,17.217848704,1.545947054,2591,2154,2539,TestResults\mmlog_decode_2026-04-20_08-38-39\open_floor_main.csv,217867,217867,184094,7284,-0.001221730,28493,kept through final sensor-active row,decoded_open_floor_full_current,high moving-yaw saturation fraction,per_row,0.000000,0.000000,yes,yes,0.003821,yes,older_2026_04
open_floor_fit_downweighted,2026-04-20_10-22-09,2026-04-20,open_floor,decoded_open_floor_main,fit_downweighted,3527,527,99909,1569,563,17,0.78099364,16.512909816,1.294686346,929,1713,885,TestResults\mmlog_decode_2026-04-20_10-22-09\open_floor_main.csv,99917,99917,88691,3527,0.001221730,15004,kept through final sensor-active row,decoded_open_floor_full_current,high moving-yaw saturation fraction,per_row,0.800000,0.800000,yes,yes,0.015229,no,older_2026_04
open_floor_fit_downweighted,2026-04-22_12-10-34,2026-04-22,open_floor,decoded_open_floor_main,fit_downweighted,2187,15010,68952,1,0,0,0.590149343,1.099557456,0.038590536,440,1381,366,TestResults\mmlog_decode_2026-04-22_12-10-34\open_floor_main.csv,68965,68965,53853,2187,-0.004886922,15039,kept through final sensor-active row,decoded_open_floor_legacy_or_partial,watchdog unavailable,per_row,0.800000,0.800000,no,yes,0.008763,yes,recent_2026_04_22
open_floor_fit_downweighted,2026-05-04_20-35-47,2026-05-04,open_floor,decoded_open_floor_main,fit_downweighted,3456,15624,145621,567,0,0,0.314159095,9.128769875,0.179291048,765,1813,878,TestResults\mmlog_decode_2026-05-04_20-35-47\open_floor_main.csv,145644,145644,88784,3456,-0.000000000,58006,kept through final sensor-active row,decoded_open_floor_legacy_or_partial,watchdog unavailable; angular command mostly zero during moving-yaw rows,absent,,,no,yes,1.000000,yes,latest_2026_05_04
open_floor_validation_only,2026-04-10_18-33-52,2026-04-10,open_floor,decoded_open_floor_main,validation_only,4402,14970,143851,2,1,0,0.235001363,0.831998408,0.06203426,745,2891,766,TestResults\mmlog_decode_2026-04-10_18-33-52\open_floor_main.csv,143869,143869,110947,4402,-0.000000000,32792,kept through final sensor-active row,decoded_open_floor_full_current,low extracted-sample count,per_row,0.800000,0.800000,yes,yes,0.004480,no,older_2026_04
