model,dataset_split,run_id,date,fit_rows,effective_weight_sum,effective_weight_fraction,latest_2026_05_04
round2_force_domain_stribeck,primary_open_floor_fit_authoritative,2026-04-14_04-43-48,2026-04-14,3275,5056.214558453891,0.06442514918648713,no
round2_force_domain_stribeck,primary_open_floor_fit_authoritative,2026-04-14_05-26-35,2026-04-14,3106,4990.3139650146395,0.06358545864038417,no
round2_force_domain_stribeck,primary_open_floor_fit_authoritative,2026-04-20_12-10-58,2026-04-20,2925,3811.0444079419967,0.04855947106268941,no
round2_force_domain_stribeck,primary_open_floor_fit_authoritative,2026-04-21_00-16-10,2026-04-21,3757,3907.4146913457616,0.04978739954824998,no
round2_force_domain_stribeck,primary_open_floor_fit_authoritative,2026-04-21_01-09-34,2026-04-21,3296,4662.916073666504,0.059413828313071744,no
round2_force_domain_stribeck,primary_open_floor_fit_authoritative,2026-04-21_02-46-49,2026-04-21,2746,4369.159461750261,0.055670847605186584,no
round2_force_domain_stribeck,primary_open_floor_fit_authoritative,2026-04-21_04-14-05,2026-04-21,2593,4293.073315367675,0.05470137503335373,no
round2_force_domain_stribeck,primary_open_floor_fit_authoritative,2026-04-21_05-32-06,2026-04-21,8880,8766.767945810361,0.11170418625685312,no
round2_force_domain_stribeck,primary_open_floor_fit_authoritative,2026-04-21_05-59-46,2026-04-21,3521,4962.215239626519,0.06322743099852847,no
round2_force_domain_stribeck,primary_open_floor_fit_authoritative,2026-04-21_23-39-12,2026-04-21,1077,3126.027571607141,0.039831140536774494,no
round2_force_domain_stribeck,primary_open_floor_fit_authoritative,2026-04-22_01-06-32,2026-04-22,1031,3055.7796048403047,0.03893605673709003,no
