"stage","log_parameter","parameter_value","launch_command_signature","count","rms_nis","sqrt_mean_nis","accepted_count","rejected_count","rejected_rate","finite_count","nonfinite_count","accepted_only_rms_nis","accepted_only_sqrt_mean_nis"
"launch","all","","","78600","11.878368902842661","1.4140866173939355","78020","580","0.007379134860050891","78600","0","4.0630238753619485","1.1090648729714507"
"launch","forward_accel_nis","","","26200","18.776758703208944","1.7013514507307865","25925","275","0.01049618320610687","26200","0","2.2233705293571697","1.0470723512885782"
"launch","right_accel_nis","","","26200","5.985217375440051","1.3221764548271413","25895","305","0.011641221374045801","26200","0","3.079036617091989","1.111848743948877"
"launch","yaw_rate_nis","","","26200","5.907406279092075","1.1645495042611311","26200","0","0","26200","0","5.907406279092075","1.1645495042611311"
"mixed_launch","all","","","231789","20.039639922790197","1.9969341565145304","226551","5238","0.022598138824534382","231789","0","7.7642636021057285","1.357560263914938"
"mixed_launch","forward_accel_nis","","","77263","29.761607991553095","2.394306717716182","75169","2094","0.027102235222551545","77263","0","2.7125134405043916","1.1443799851196907"
"mixed_launch","right_accel_nis","","","77263","12.952612438567295","2.0027327833529096","74119","3144","0.040692181251051604","77263","0","4.375758645129678","1.4111305115030996"
"mixed_launch","yaw_rate_nis","","","77263","12.297887033090463","1.4898304656389165","77263","0","0","77263","0","12.297887033090463","1.4898304656389165"
"SEC_20_LAUNCH","all","","","156501","6.990168617826623","1.0533357425450964","155771","730","0.004664506936057917","156501","0","1.9161074119399466","0.8568026185093821"
"SEC_20_LAUNCH","forward_accel_nis","","","52167","11.390125724746868","1.2679338960596171","51796","371","0.007111775643606111","52167","0","1.689875082320026","0.8462843391332949"
"SEC_20_LAUNCH","right_accel_nis","","","52167","3.793631457435309","1.0406180608690374","51808","359","0.006881745164567639","52167","0","2.388756432446637","0.9212982973130973"
"SEC_20_LAUNCH","yaw_rate_nis","","","52167","1.568683606263999","0.7987529318790219","52167","0","0","52167","0","1.568683606263999","0.7987529318790219"
"SEC_30_STRAIGHT","all","","","98409","36.66395440803801","2.5497333450211603","95489","2920","0.029672082837951815","98409","0","17.067446820753","1.496889619002165"
"SEC_30_STRAIGHT","forward_accel_nis","","","32803","54.40334235649247","3.464473578924901","31144","1659","0.0505746425631802","32803","0","3.024605706628203","1.2765578352330902"
"SEC_30_STRAIGHT","right_accel_nis","","","32803","15.708455878483765","2.0388518544529166","31542","1261","0.038441605950675244","32803","0","3.6797454862727004","1.3025715268472735"
"SEC_30_STRAIGHT","yaw_rate_nis","","","32803","28.744693647003256","1.8286405684725402","32803","0","0","32803","0","28.744693647003256","1.8286405684725402"
"SEC_40_YAW","all","","","33762","6.710051668552833","2.1793115765615627","33728","34","0.0010070493454179255","33762","0","6.378169610409063","2.166861084403998"
"SEC_40_YAW","forward_accel_nis","","","11254","6.12074153917","2.10313076855","11245","9","0.0007997156566554114","11254","0","5.44697270292","2.08548499526"
"SEC_40_YAW","right_accel_nis","","","11254","4.61261836684","1.71855488163","11229","25","0.002221432379598365","11254","0","3.9969097866","1.69134681051"
"SEC_40_YAW","yaw_rate_nis","","","11254","8.73697058462","2.62137500797","11254","0","0","11254","0","8.73697058462","2.62137500797"
"straight","all","","","3285","123.85970536635784","6.595724804377128","2560","725","0.2207001522070015","3285","0","121.69725267537203","5.250973707105084"
"straight","forward_accel_nis","","","1095","88.196863925","6.39104003099","759","336","0.30684931506849317","1095","0","6.62395247866","1.8470184991099998"
"straight","right_accel_nis","","","1095","61.0047725286","5.72325437795","706","389","0.3552511415525114","1095","0","10.4927679456","2.83660734013"
"straight","yaw_rate_nis","","","1095","185.804765178","7.54385337429","1095","0","0","1095","0","185.804765178","7.54385337429"
"yaw_launch","all","","","523875","100.12492314712425","4.947718231875177","480271","43604","0.08323359580052493","523875","0","81.15747993181824","3.5439295995049136"
"yaw_launch","forward_accel_nis","","","174625","96.4989216499684","5.632485594526046","149921","24704","0.1414688618468146","174625","0","7.63095315392084","2.3272613494275967"
"yaw_launch","right_accel_nis","","","174625","52.216577662281054","3.8731233460072545","155725","18900","0.1082319255547602","174625","0","5.659663767068459","1.8879302175661785"
"yaw_launch","yaw_rate_nis","","","174625","134.2996196691742","5.168536415675161","174625","0","0","174625","0","134.2996196691742","5.168536415675161"
