candidate_id,model,policy,step_index,source_row_index,dt_s,left_wheel_rate_radps,right_wheel_rate_radps,trace,frobenius,q_diag_px_m,q_diag_py_m,q_diag_heading_rad,q_diag_vf_mps,q_diag_vr_mps,q_diag_yaw_rate_radps,q_diag_delta_af_mps2,q_diag_delta_ar_mps2,q_diag_delta_yaw_accel_radps2
stribeck_fade,stribeck_algebraic,testbed_independent,0,0,0.001,0.0,0.0,4.424883520769963e-09,4.418794303928376e-09,0.0,1.5242570842619232e-18,1.1053732173395369e-15,6.093416662799135e-12,1.051506278011125e-54,4.41878899720969e-09,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,production_correlated,0,0,0.001,0.0,0.0,8.898187970803695e-06,8.65949087987792e-06,0.0,6.370496501023884e-14,2.281737254184429e-12,2.420814593424444e-07,1.1821998509544415e-46,8.656104166019031e-06,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,testbed_independent,1,1,0.001,0.0,0.0,4.424883520769963e-09,4.418794303928376e-09,0.0,1.5242570842619232e-18,1.1053732173395369e-15,6.093416662799135e-12,1.051506278011125e-54,4.41878899720969e-09,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,production_correlated,1,1,0.001,0.0,0.0,8.898187970803695e-06,8.65949087987792e-06,0.0,6.370496501023884e-14,2.281737254184429e-12,2.420814593424444e-07,1.1821998509544415e-46,8.656104166019031e-06,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,testbed_independent,2,2,0.001,0.0,0.0,4.424883520769963e-09,4.418794303928376e-09,0.0,1.5242570842619232e-18,1.1053732173395369e-15,6.093416662799135e-12,1.051506278011125e-54,4.41878899720969e-09,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,production_correlated,2,2,0.001,0.0,0.0,8.898187970803695e-06,8.65949087987792e-06,0.0,6.370496501023884e-14,2.281737254184429e-12,2.420814593424444e-07,1.1821998509544415e-46,8.656104166019031e-06,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,testbed_independent,10,10,0.001,0.0,0.0,4.424883520769963e-09,4.418794303928376e-09,0.0,1.5242570842619232e-18,1.1053732173395369e-15,6.093416662799135e-12,1.051506278011125e-54,4.41878899720969e-09,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,production_correlated,10,10,0.001,0.0,0.0,8.898187970803695e-06,8.65949087987792e-06,0.0,6.370496501023884e-14,2.281737254184429e-12,2.420814593424444e-07,1.1821998509544415e-46,8.656104166019031e-06,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,testbed_independent,100,100,0.001,0.0,0.0,4.424883520769963e-09,4.418794303928376e-09,0.0,1.5242570842619232e-18,1.1053732173395369e-15,6.093416662799135e-12,1.051506278011125e-54,4.41878899720969e-09,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,production_correlated,100,100,0.001,0.0,0.0,8.898187970803695e-06,8.65949087987792e-06,0.0,6.370496501023884e-14,2.281737254184429e-12,2.420814593424444e-07,1.1821998509544415e-46,8.656104166019031e-06,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,testbed_independent,1000,1000,0.001,0.0,0.0,4.424883520769963e-09,4.418794303928376e-09,0.0,1.5242570842619232e-18,1.1053732173395369e-15,6.093416662799135e-12,1.051506278011125e-54,4.41878899720969e-09,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,production_correlated,1000,1000,0.001,0.0,0.0,8.898187970803695e-06,8.65949087987792e-06,0.0,6.370496501023884e-14,2.281737254184429e-12,2.420814593424444e-07,1.1821998509544415e-46,8.656104166019031e-06,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,testbed_independent,30522,30522,0.001,0.0,0.0,4.424883520769963e-09,4.418794303928376e-09,0.0,1.5242570842619232e-18,1.1053732173395369e-15,6.093416662799135e-12,1.051506278011125e-54,4.41878899720969e-09,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,production_correlated,30522,30522,0.001,0.0,0.0,8.898187970803695e-06,8.65949087987792e-06,0.0,6.370496501023884e-14,2.281737254184429e-12,2.420814593424444e-07,1.1821998509544415e-46,8.656104166019031e-06,0.0,0.0,0.0
slip_envelope,algebraic_envelope,testbed_independent,0,0,0.001,0.0,0.0,6.813022023943872e-10,6.803646521826012e-10,0.0,2.3460374006775874e-19,1.7013185875016436e-16,9.3819684660644e-13,1.9508754594663203e-56,6.803638351813182e-10,0.0,0.0,0.0
slip_envelope,algebraic_envelope,production_correlated,0,0,0.001,0.0,0.0,1.414909022592506e-06,1.3769896678915935e-06,0.0,9.808830036637235e-15,3.513254094239153e-13,3.8456454265549424e-08,2.0968887481619216e-49,1.3764522071927172e-06,0.0,0.0,0.0
slip_envelope,algebraic_envelope,testbed_independent,1,1,0.001,0.0,0.0,6.813022023943872e-10,6.803646521826012e-10,0.0,2.3460374006775874e-19,1.7013185875016436e-16,9.3819684660644e-13,1.9508754594663203e-56,6.803638351813182e-10,0.0,0.0,0.0
slip_envelope,algebraic_envelope,production_correlated,1,1,0.001,0.0,0.0,1.414909022592506e-06,1.3769896678915935e-06,0.0,9.808830036637235e-15,3.513254094239153e-13,3.8456454265549424e-08,2.0968887481619216e-49,1.3764522071927172e-06,0.0,0.0,0.0
