candidate_id,model,policy,state,count,mean,rms,median,p95,max
stribeck_fade,stribeck_algebraic,production_correlated,heading_rad,30523,2.281737254184429e-12,2.281737254184429e-12,2.281737254184429e-12,2.281737254184429e-12,2.281737254184429e-12
stribeck_fade,stribeck_algebraic,production_correlated,vf_mps,30523,2.420814593424444e-07,2.420814593424444e-07,2.420814593424444e-07,2.420814593424444e-07,2.420814593424444e-07
stribeck_fade,stribeck_algebraic,production_correlated,vr_mps,30523,1.1821998509544415e-46,1.1821998509544415e-46,1.1821998509544415e-46,1.1821998509544415e-46,1.1821998509544415e-46
stribeck_fade,stribeck_algebraic,production_correlated,yaw_rate_radps,30523,8.656104166019031e-06,8.656104166019031e-06,8.656104166019031e-06,8.656104166019031e-06,8.656104166019031e-06
stribeck_fade,stribeck_algebraic,production_correlated,delta_af_mps2,30523,0.0,0.0,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,production_correlated,delta_ar_mps2,30523,0.0,0.0,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,production_correlated,delta_yaw_accel_radps2,30523,0.0,0.0,0.0,0.0,0.0
stribeck_fade,stribeck_algebraic,production_correlated,q_trace,30523,8.898187970803695e-06,8.898187970803695e-06,8.898187970803695e-06,8.898187970803695e-06,8.898187970803695e-06
stribeck_fade,stribeck_algebraic,production_correlated,q_frobenius,30523,8.65949087987792e-06,8.65949087987792e-06,8.65949087987792e-06,8.65949087987792e-06,8.65949087987792e-06
slip_envelope,algebraic_envelope,testbed_independent,px_m,30523,0.0,0.0,0.0,0.0,0.0
slip_envelope,algebraic_envelope,testbed_independent,py_m,30523,2.3460374006775874e-19,2.3460374006775874e-19,2.3460374006775874e-19,2.3460374006775874e-19,2.3460374006775874e-19
slip_envelope,algebraic_envelope,testbed_independent,heading_rad,30523,1.7013185875016436e-16,1.7013185875016436e-16,1.7013185875016436e-16,1.7013185875016436e-16,1.7013185875016436e-16
