vf_mps,yaw_rate_radps,variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,left_command,right_command,lr_delta_command,left_surface_mps,right_surface_mps,left_command_torque_nm,right_command_torque_nm,max_abs_command,command_outside_unit,contact_utilization_raw,limiter_activity_proxy,contact_projection_sensitive,low_speed_launch_sensitive,caveat
0.0,0.2,Baseline,0.00295885,0.0,0.00295885,0.20399569675432425,-0.20399569675432425,0.4079913935086485,0.0084635,-0.0084635,0.004561249124841082,-0.004561249124841082,0.20399569675432425,False,0.08099765281844126,0.0,False,True,current raw right-contact scrub approximation
0.0,0.2,ForceDomainStribeck,0.00295885,0.0007546665967172506,0.0037135165967172503,0.20841836036583852,-0.20841836036583852,0.41683672073167705,0.0084635,-0.0084635,0.004673688963969155,-0.004673688963969155,0.20841836036583852,False,0.08099765281844126,0.0,False,True,projected-force utilization Stribeck rewrite
0.0,0.2,C_combined_slip,0.00295885,0.0037932800915820683,0.006752130091582069,0.22622591325297123,-0.22622591325297123,0.45245182650594246,0.0084635,-0.0084635,0.005126420294627221,-0.005126420294627221,0.22622591325297123,False,0.08099765281844126,0.0,False,True,prior combined-slip surface
0.0,0.2,Pade_static_yield_plus_C,0.00295885,0.011147604014225968,0.014106454014225969,0.2693253441028999,-0.2693253441028999,0.5386506882057998,0.0084635,-0.0084635,0.006222161118926146,-0.006222161118926146,0.2693253441028999,False,0.08099765281844126,0.0,False,True,Pade static yield plus rational-gated moving combined-slip residual
0.0,0.844444444,Baseline,0.012492922215646997,0.0,0.012492922215646997,0.24745279363875658,-0.24745279363875658,0.49490558727751316,0.03573477775897,-0.03573477775897,0.005581354630345704,-0.005581354630345704,0.24745279363875658,False,0.3419900894978683,0.0,False,False,current raw right-contact scrub approximation
0.0,0.844444444,ForceDomainStribeck,0.012492922215646997,0.06701558192533777,0.07950850414098476,0.6401922853227813,-0.6401922853227813,1.2803845706455625,0.03573477775897,-0.03573477775897,0.015566189368675109,-0.015566189368675109,0.6401922853227813,False,0.3419900894978683,0.0,False,False,projected-force utilization Stribeck rewrite
0.0,0.844444444,C_combined_slip,0.012492922215646997,0.015787638062156814,0.02828056027780381,0.339974991749798,-0.339974991749798,0.679949983499596,0.03573477775897,-0.03573477775897,0.007933597980777527,-0.007933597980777527,0.339974991749798,False,0.3419900894978683,0.0,False,False,prior combined-slip surface
0.0,0.844444444,Pade_static_yield_plus_C,0.012492922215646997,0.06322038036741823,0.07571330258306522,0.6179508082233756,-0.6179508082233756,1.2359016164467511,0.03573477775897,-0.03573477775897,0.015000731914367016,-0.015000731914367016,0.6179508082233756,False,0.3419900894978683,0.0,False,False,Pade static yield plus rational-gated moving combined-slip residual
0.0,1.488888889,Baseline,0.022026994446088247,0.0,0.022026994446088247,0.30665914159179297,-0.30665914159179297,0.6133182831835859,0.0630060555602575,-0.0630060555602575,0.007001862113371215,-0.007001862113371215,0.30665914159179297,False,0.6029825265822837,0.0,False,False,current raw right-contact scrub approximation
0.0,1.488888889,ForceDomainStribeck,0.022026994446088247,0.06727181331797065,0.0892988077640589,0.7009002569878706,-0.7009002569878706,1.4018005139757412,0.0630060555602575,-0.0630060555602575,0.017024873467298193,-0.017024873467298193,0.7009002569878706,False,0.6029825265822837,0.0,False,False,projected-force utilization Stribeck rewrite
0.0,1.488888889,C_combined_slip,0.022026994446088247,0.024369356811008186,0.04639635125709643,0.4494738203822396,-0.4494738203822396,0.8989476407644792,0.0630060555602575,-0.0630060555602575,0.010632719198345672,-0.010632719198345672,0.4494738203822396,False,0.6029825265822837,0.0,False,False,prior combined-slip surface
0.0,1.488888889,Pade_static_yield_plus_C,0.022026994446088247,0.05197365539874013,0.07400064984482838,0.6112466183520937,-0.6112466183520937,1.2224932367041874,0.0630060555602575,-0.0630060555602575,0.014745559101356245,-0.014745559101356245,0.6112466183520937,False,0.6029825265822837,0.0,False,False,Pade static yield plus rational-gated moving combined-slip residual
0.0,2.133333333,Baseline,0.03156106666173525,0.0,0.03156106666173525,0.3658654894529572,-0.3658654894529572,0.7317309789059144,0.09027733331922749,-0.09027733331922749,0.008422369594192491,-0.008422369594192491,0.3658654894529572,False,0.8639749632617107,0.0,False,False,current raw right-contact scrub approximation
0.0,2.133333333,ForceDomainStribeck,0.03156106666173525,0.06730213901858952,0.09886320568032476,0.7602843262073197,-0.7602843262073197,1.5205686524146393,0.09027733331922749,-0.09027733331922749,0.018449899257150057,-0.018449899257150057,0.7602843262073197,False,0.8639749632617107,0.0,False,False,projected-force utilization Stribeck rewrite
