run_id,present,dataset_split,count,baseline_rmse_nm,force_domain_stribeck_corrected_rmse_nm,c_combined_slip_corrected_rmse_nm,pade_static_yield_plus_c_corrected_rmse_nm,baseline_signed_median_nm,pade_signed_median_nm
2026-05-04_20-35-47,1,open_floor_fit_downweighted,3456,0.035845955637305665,0.02095614161732105,0.028076443199331575,0.04179324718310941,0.0093600005,-0.0012027423270116128
2026-05-04_16-57-53,1,open_floor_validation_only,1761,0.023277853453219116,0.015366476488899375,0.01934116142597289,0.04365774034423395,-0.000686103,-1.4319634229029155e-05
2026-04-22_12-10-34,1,open_floor_fit_downweighted,2187,0.016217132966177106,0.01348701867968651,0.014402919863369421,0.021820875106125653,-0.003115615,-1.3748715803906658e-05
2026-04-22_01-06-32,1,primary_open_floor_fit_authoritative,1031,0.04497527944035794,0.033937937440801695,0.018608488843215733,0.027369539495914356,0.009991152,0.0021691273046091013
2026-04-21_05-32-06,1,primary_open_floor_fit_authoritative,8880,0.04258417382836225,0.027283610538090263,0.023754464601601764,0.026354784415766525,0.0121550075,0.0032391467590613915
2026-04-21_00-16-10,1,primary_open_floor_fit_authoritative,3757,0.039823975586254654,0.03430247806398148,0.02774307957781035,0.02754130034830742,0.008941154,0.0038240931244577225
2026-04-20_12-10-58,1,primary_open_floor_fit_authoritative,2925,0.04035482301988178,0.0356483649477145,0.02933811998534102,0.029144121200034432,0.003674954,0.0017049931211506016
2026-04-20_08-38-39,1,open_floor_fit_downweighted,7284,0.05622535775152191,0.056141320109295866,0.04131229724660652,0.03799693121219561,0.0001673695,0.000210884529909586
diag003,1,diag_validation_only,5580,0.08523812922205401,0.08503230164347471,0.03897045903766876,0.07870280183346504,-0.0124400895,-0.006400948332923382
