split,count,baseline_rmse_nm,force_domain_stribeck_corrected_rmse_nm,c_combined_slip_corrected_rmse_nm,pade_static_yield_plus_c_corrected_rmse_nm,force_domain_stribeck_corrected_mae_nm,c_combined_slip_corrected_mae_nm,pade_static_yield_plus_c_corrected_mae_nm
primary_open_floor_fit_authoritative,47317,0.036866176895009706,0.027907821180421354,0.024120243843366647,0.025761500569201873,0.01785130137370993,0.01669606586387381,0.01705064570412497
open_floor_fit_downweighted,31165,0.043194073119807955,0.04150718685740355,0.033092937468878494,0.033743349641139564,0.025756977605489128,0.021125958685861815,0.021571245107988496
open_floor_validation_only,14542,0.016930709100069437,0.01139376781450519,0.014417143137851248,0.027571592702313647,0.00719162758902973,0.009193881856653647,0.015899154662795473
diag_validation_only,11108,0.0846209251204878,0.08441017836709906,0.03876675590868194,0.07809686822743529,0.07330119756372155,0.03102652010118408,0.06658429263389601
aux_downweighted_validation,14448,0.05126637392308136,0.048819706958314515,0.028529439179585198,0.0571183299935652,0.03033412567171929,0.0179203984053372,0.03940316355305783
validation_non_authoritative,71263,0.05023383204822011,0.04872114360086843,0.03034172395599833,0.047594169721311246,0.030307368560368753,0.019584418756558176,0.031045403512183458
