variant,baseline_opposing_yaw_torque_nm,extra_opposing_yaw_torque_nm,total_opposing_yaw_torque_nm,left_command,right_command,lr_delta_command,passes_abs_0p6_gate
Baseline,0.014794249999999998,0.0,0.014794249999999998,0.2617439811042084,-0.2617439811042084,0.5234879622084168,0
ForceDomainStribeck,0.014794249999999998,0.0671147203171059,0.0819089703171059,0.65506446545398,-0.65506446545398,1.31012893090796,1
C_combined_slip,0.014794249999999998,0.018240534311908203,0.033034784311908205,0.368641182738375,-0.368641182738375,0.73728236547675,0
Pade_static_yield_plus_C,0.014794249999999998,0.06323252183652274,0.07802677183652273,0.6323131498035484,-0.6323131498035484,1.2646262996070967,1
