group,count,run_count,baseline_rmse_nm,corrected_rmse_nm,baseline_mae_nm,corrected_mae_nm,baseline_median_abs_nm,corrected_median_abs_nm,baseline_signed_median_nm,corrected_signed_median_nm,run_balanced_baseline_rmse_nm,run_balanced_corrected_rmse_nm,run_balanced_baseline_mae_nm,run_balanced_corrected_mae_nm,prediction_rmse_nm,improvement_fraction_rmse,run_balanced_improvement_fraction_rmse
primary_open_floor_fit_authoritative,47317,15,0.036866176895009706,0.025761500569201873,0.02548019573643722,0.01705064570412497,0.016044602,0.01089596590240343,0.001648731,0.0007566159072655027,0.03636331610641916,0.02562338633826008,0.02457345343167676,0.016736034408656477,0.022920295285386697,0.3012158368748833,0.2953506697994239
open_floor_fit_downweighted,31165,9,0.043194073119807955,0.033743349641139564,0.027849684910123535,0.021571245107988496,0.013314394,0.01086864664059136,0.000637863,0.00020756688257681823,0.04144061576621013,0.032855334540786055,0.02621486053140455,0.02082707893695806,0.02681106328335009,0.21879676529821113,0.2071706963491683
open_floor_validation_only,14542,9,0.016930709100069437,0.027571592702313647,0.010368821404827396,0.015899154662795473,0.005201232,0.006048279312922322,-0.000858939,8.176107175423429e-05,0.013964777505761389,0.025140488997199652,0.00853482944415432,0.014384466598636653,0.02659581820070247,-0.6284960387276732,-0.800278521217223
diag_validation_only,11108,3,0.0846209251204878,0.07809686822743529,0.0738060716588945,0.06658429263389601,0.082360023,0.07210119882988347,-0.006359523000000001,-0.0035664860667334103,0.08439010276311168,0.07784087070966142,0.07338767615724866,0.0661969213388355,0.03943339847718195,0.07709744231421722,0.07760663678576585
aux_downweighted_validation,14448,13,0.05126637392308136,0.0571183299935652,0.03305637759772979,0.03940316355305783,0.016359514999999998,0.021567092526897265,-0.0012553224999999999,-0.0013910671389865581,0.057454043661302946,0.05852617673784571,0.03863710067442005,0.04198016427750934,0.03758357212959013,-0.11414803940032803,-0.018660707031572743
validation_non_authoritative,71263,34,0.05023383204822011,0.047594169721311246,0.032501511564374225,0.031045403512183458,0.014290832,0.013425186380153678,-0.000435785,-0.00030626390342271574,0.04895637249734892,0.04793081163569078,0.03044683961821284,0.031212847336602366,0.03142391994450108,0.05254750074362269,0.020948465119912107
