response_lag_samples,family,motion_class,dataset,samples,old_rmse_radps,new_rmse_radps,delta_rmse_radps,relative_delta_pct
0,all,in_place_yaw,motion:all:in_place_yaw,493183,0.358457371,0.326229818,-0.032227553,-8.990624
0,all,low_motion_commanded,motion:all:low_motion_commanded,701127,0.159410197,0.142024115,-0.017386081,-10.906505
0,all,mostly_forward,motion:all:mostly_forward,1195941,0.104577079,0.078581578,-0.025995501,-24.857742
0,all,moving_yaw,motion:all:moving_yaw,604633,0.259057883,0.226780686,-0.032277197,-12.459454
0,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,302259,0.205513948,0.197125646,-0.008388302,-4.081622
0,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,516906,0.124240335,0.113492948,-0.010747386,-8.650481
0,open_floor,mostly_forward,motion:open_floor:mostly_forward,1046658,0.099300462,0.073968649,-0.025331813,-25.510267
0,open_floor,moving_yaw,motion:open_floor:moving_yaw,497103,0.206063378,0.184357993,-0.021705386,-10.533354
1,all,in_place_yaw,motion:all:in_place_yaw,491207,0.352571099,0.321252087,-0.031319012,-8.883034
1,all,low_motion_commanded,motion:all:low_motion_commanded,698448,0.161919784,0.145663882,-0.016255901,-10.039478
1,all,mostly_forward,motion:all:mostly_forward,1192399,0.105173304,0.080225618,-0.024947686,-23.720550
1,all,moving_yaw,motion:all:moving_yaw,602504,0.252219117,0.219851035,-0.032368082,-12.833318
1,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,301552,0.195466791,0.189731615,-0.005735175,-2.934092
1,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,515957,0.125419288,0.116364058,-0.009055230,-7.219966
1,open_floor,mostly_forward,motion:open_floor:mostly_forward,1044406,0.099284826,0.075267028,-0.024017798,-24.190804
1,open_floor,moving_yaw,motion:open_floor:moving_yaw,495781,0.196139367,0.174210180,-0.021929188,-11.180411
2,all,in_place_yaw,motion:all:in_place_yaw,489373,0.347361639,0.316212850,-0.031148789,-8.967251
2,all,low_motion_commanded,motion:all:low_motion_commanded,696242,0.160527405,0.144569832,-0.015957574,-9.940716
2,all,mostly_forward,motion:all:mostly_forward,1189030,0.106389239,0.082283618,-0.024105621,-22.657951
2,all,moving_yaw,motion:all:moving_yaw,600415,0.246414101,0.212626339,-0.033787762,-13.711781
2,open_floor,in_place_yaw,motion:open_floor:in_place_yaw,300727,0.184035414,0.179086374,-0.004949040,-2.689178
2,open_floor,low_motion_commanded,motion:open_floor:low_motion_commanded,515237,0.122952591,0.114383892,-0.008568699,-6.969108
2,open_floor,mostly_forward,motion:open_floor:mostly_forward,1042144,0.100065878,0.076812955,-0.023252923,-23.237615
2,open_floor,moving_yaw,motion:open_floor:moving_yaw,494414,0.187571543,0.163264213,-0.024307329,-12.958964
