run_id,family,path,size_bytes,schema_kind,field_count,input_rows_scanned,expanded_input_rows,expanded_extracted_samples,validation_extracted_samples,extracted_samples,existing_status,existing_cutoff_reason,missing_core_fields,missing_trust_fields,timestamp_field,gyro_raw_field,left_velocity_field,right_velocity_field,cmd_angular_present,left_right_command_present,finite_sensor_rows,stationary_bias_rows_sensor_only,bias_estimation_feasible,moving_yaw_sensor_rows_abs_vf_gt_0p02_abs_gyro_gt_0p2,nonzero_feature_sensor_rows_abs_vf_ge_0p05_abs_gyro_ge_0p25,cmd_angular_zero_fraction_moving_yaw,diff_drive_command_zero_fraction_moving_yaw,command_missing_moving_yaw_rows,saturation_flags_present,saturation_nonzero_rows,saturation_nonzero_fraction_all,saturation_nonzero_fraction_moving_yaw,watchdog_flags_present,watchdog_nonzero_rows,clipping_flags_present,clipping_nonzero_rows,imu_status_bad_fraction,gyro_derivative_pairs,gyro_derivative_rms_radps2,gyro_derivative_abs_max_radps2,gyro_derivative_abs_ge_500_radps2_fraction,fan_source,fan_duty_min,fan_duty_max,load_assumption,phase_fields_present,phase_cardinality,phase_procedure_contamination_risk,bad_tail_detectable,final_quiescent_tail_rows,final_quiescent_tail_seconds,recommendation,recommendation_reasons,overall_extracted_share,family_extracted_share
2026-04-14_02-00-02,decoded_open_floor,TestResults\mmlog_decode_2026-04-14_02-00-02\open_floor_main.csv,83250497,decoded_open_floor_full_current,82,111383,111383,68804,5457,5457,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,111383,29887,yes,12986,8453,0.028261,0.038580,0,yes,4556,0.040904,0.258663,yes,0,yes,0,0.012246,111382,50.206770,1095.068071,0.000467,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:10;phase_id:12;primitive_family:6;primitive_id:9;progress_norm:64;repeat_index:60;section_id:5;speed_bin:4,low,yes,0,0.000000,fit_downweighted,high moving-yaw saturation fraction,0.012711,0.016155
2026-04-14_04-43-48,decoded_open_floor,TestResults\mmlog_decode_2026-04-14_04-43-48\open_floor_main.csv,88374984,decoded_open_floor_full_current,82,116754,116754,76478,13830,13830,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,116754,30052,yes,24206,15915,0.033132,0.035652,0,yes,2383,0.020410,0.078906,yes,0,yes,0,0.012291,116753,50.020960,832.303884,0.000625,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:10;phase_id:12;primitive_family:6;primitive_id:13;progress_norm:64;repeat_index:60;section_id:5;speed_bin:4,low,yes,0,0.000000,fit_authoritative,,0.032213,0.040942
2026-04-14_05-26-35,decoded_open_floor,TestResults\mmlog_decode_2026-04-14_05-26-35\open_floor_main.csv,82012912,decoded_open_floor_full_current,82,109155,109155,67937,8530,8530,included,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,109155,29879,yes,18658,10738,0.020152,0.024815,0,yes,3232,0.029609,0.129649,yes,0,yes,0,0.011763,109154,49.612864,904.422711,0.000559,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:10;phase_id:12;primitive_family:6;primitive_id:9;progress_norm:64;repeat_index:60;section_id:5;speed_bin:4,low,yes,0,0.000000,fit_authoritative,,0.019868,0.025252
2026-04-14_05-40-35,decoded_open_floor,TestResults\mmlog_decode_2026-04-14_05-40-35\open_floor_main.csv,908268,decoded_open_floor_full_current,82,1559,1559,208,0,0,excluded from bins: no nonzero-forward/nonzero-yaw active adjacent samples,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,1559,1060,yes,3,0,1.000000,1.000000,0,yes,0,0.000000,0.000000,yes,0,yes,0,0.012829,1558,10.721861,86.742878,0.000000,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:1;phase_id:2;primitive_family:2;primitive_id:2;progress_norm:2;repeat_index:1;section_id:1;speed_bin:1,low,yes,222,0.222000,exclude,no usable nonzero-forward/nonzero-yaw feature samples,0.000000,0.000000
2026-04-14_06-21-48,decoded_open_floor,TestResults\mmlog_decode_2026-04-14_06-21-48\open_floor_main.csv,1582277,decoded_open_floor_full_current,82,2815,2815,148,0,0,excluded from bins: no nonzero-forward/nonzero-yaw active adjacent samples,dropped final sensor-quiescent/invalid tail >= 0.25 s,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,2815,2485,yes,0,0,0.000000,0.000000,0,yes,0,0.000000,0.000000,yes,0,yes,0,0.010657,2814,11.027557,75.747292,0.000000,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:1;phase_id:2;primitive_family:2;primitive_id:2;progress_norm:2;repeat_index:1;section_id:1;speed_bin:1,low,yes,469,0.467997,exclude,no usable nonzero-forward/nonzero-yaw feature samples,0.000000,0.000000
2026-04-14_06-37-59,decoded_open_floor,TestResults\mmlog_decode_2026-04-14_06-37-59\open_floor_main.csv,942685,decoded_open_floor_full_current,82,1621,1621,179,0,0,excluded from bins: no nonzero-forward/nonzero-yaw active adjacent samples,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,1621,1149,yes,0,0,0.000000,0.000000,0,yes,0,0.000000,0.000000,yes,0,yes,0,0.009254,1620,10.533617,112.512850,0.000000,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:1;phase_id:2;primitive_family:2;primitive_id:2;progress_norm:2;repeat_index:1;section_id:1;speed_bin:1,low,yes,445,0.451706,exclude,no usable nonzero-forward/nonzero-yaw feature samples,0.000000,0.000000
2026-04-14_07-02-50,decoded_open_floor,TestResults\mmlog_decode_2026-04-14_07-02-50\open_floor_main.csv,3686165,decoded_open_floor_full_current,82,6982,6982,159,0,0,excluded from bins: no nonzero-forward/nonzero-yaw active adjacent samples,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,6982,6437,yes,0,0,0.000000,0.000000,0,yes,0,0.000000,0.000000,yes,0,yes,0,0.009596,6981,7.050547,127.109332,0.000000,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:1;phase_id:2;primitive_family:2;primitive_id:2;progress_norm:2;repeat_index:1;section_id:1;speed_bin:1,low,yes,427,0.432597,exclude,no usable nonzero-forward/nonzero-yaw feature samples,0.000000,0.000000
2026-04-14_07-17-42,decoded_open_floor,TestResults\mmlog_decode_2026-04-14_07-17-42\open_floor_main.csv,1896312,decoded_open_floor_full_current,82,3473,3473,254,0,0,excluded from bins: no nonzero-forward/nonzero-yaw active adjacent samples,kept through final sensor-active row,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,3473,2894,yes,0,0,0.000000,0.000000,0,yes,0,0.000000,0.000000,yes,0,yes,0,0.010078,3472,8.786389,151.364823,0.000000,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:1;phase_id:2;primitive_family:2;primitive_id:2;progress_norm:2;repeat_index:1;section_id:1;speed_bin:1,low,yes,444,0.451199,exclude,no usable nonzero-forward/nonzero-yaw feature samples,0.000000,0.000000
2026-04-14_07-25-50,decoded_open_floor,TestResults\mmlog_decode_2026-04-14_07-25-50\open_floor_main.csv,1494478,decoded_open_floor_full_current,82,2779,2779,211,0,0,excluded from bins: no nonzero-forward/nonzero-yaw active adjacent samples,dropped final sensor-quiescent/invalid tail >= 0.25 s,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,2779,2395,yes,14,0,1.000000,1.000000,0,yes,0,0.000000,0.000000,yes,0,yes,0,0.010076,2778,9.256211,115.212295,0.000000,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:1;phase_id:2;primitive_family:2;primitive_id:2;progress_norm:2;repeat_index:1;section_id:1;speed_bin:1,low,yes,457,0.460200,exclude,no usable nonzero-forward/nonzero-yaw feature samples,0.000000,0.000000
2026-04-14_07-40-05,decoded_open_floor,TestResults\mmlog_decode_2026-04-14_07-40-05\open_floor_main.csv,2140283,decoded_open_floor_full_current,82,3859,3859,133,0,0,excluded from bins: no nonzero-forward/nonzero-yaw active adjacent samples,dropped final sensor-quiescent/invalid tail >= 0.25 s,,,master_time_us,gyro_raw_radps,left_encoder_velocity_mps,right_encoder_velocity_mps,yes,yes,3859,3488,yes,0,0,0.000000,0.000000,0,yes,0,0.000000,0.000000,yes,0,yes,0,0.010884,3858,8.076353,62.712399,0.000000,per_row,0.800000,0.800000,logged per row,section_id;primitive_id;primitive_family;direction_id;phase_id;speed_bin;repeat_index;progress_norm,direction_id:1;phase_id:2;primitive_family:2;primitive_id:2;progress_norm:2;repeat_index:1;section_id:1;speed_bin:1,low,yes,342,0.346514,exclude,no usable nonzero-forward/nonzero-yaw feature samples,0.000000,0.000000
