group,count,run_count,baseline_rmse_nm,direct_model_rmse_nm,rmse_improvement_fraction,baseline_mae_nm,direct_model_mae_nm,baseline_median_abs_nm,direct_model_median_abs_nm,baseline_signed_median_nm,direct_model_signed_median_nm,run_balanced_direct_rmse_nm,run_id,dataset_split
2026-05-04_20-35-47,3456,1,0.03584595564794367,0.029350880355879516,0.18119408939336643,0.028876796461805552,0.021070558463470262,0.025485003500000002,0.013419512271345274,-0.009360000500000002,0.0014929312650505456,0.029350880355879516,2026-05-04_20-35-47,open_floor_fit_downweighted
2026-05-04_16-57-53,1761,1,0.023277853459827615,0.03238569452594756,-0.39126636319100694,0.01794051859681999,0.022321211016248076,0.013238941,0.010907158039681397,0.000686103,0.0001436243704824665,0.032385694525947556,2026-05-04_16-57-53,open_floor_validation_only
may4_latest_combined,5217,2,0.0321575441757067,0.030409164379545398,0.05436919519128304,0.02518525240962239,0.02149271662820895,0.020284214000000002,0.012571976904742706,-0.005072003,0.0009891105140984163,0.0309055608879142,may4_latest_combined,mixed_downweighted_and_validation
