range_name,range_definition,candidate_label,count,finite_count,run_count,baseline_rmse_nm,candidate_rmse_nm,baseline_mae_nm,candidate_mae_nm,baseline_median_abs_nm,candidate_median_abs_nm,rmse_improvement_fraction
calibration_low_vf_nonzero_yaw,abs(Vf)<0.15 and abs(YawRate)>=0.1,project_suited_design,41686,41686,49,0.059261786888981885,0.03366140542547513,0.044859266139279375,0.027069526901121292,0.034056000499999996,0.023892051037819537,0.4319880112873621
in_place_scrub,abs(Vf)<0.05 and abs(YawRate)>=0.2,project_suited_design,19704,19704,49,0.07350293824401469,0.040206644949120816,0.06093638546589524,0.03482193833317676,0.054369194999999995,0.03373463529104201,0.45299268424286665
slow_forward_turn,0.15<=abs(Vf)<0.70 and abs(YawRate)>=0.1,project_suited_design,19582,19582,48,0.05320639516145491,0.02732019232306377,0.03757500908926565,0.018396529463981286,0.02426097,0.012259283661089065,0.4865242751334573
pre_design_turn_speed,0.70<=abs(Vf)<0.95 and abs(YawRate)>=0.1,project_suited_design,99,99,14,0.09487871930711514,0.06636142570462607,0.06326070573737373,0.031671173401226306,0.048873949,0.019389205560179305,0.30056575184347484
design_turn_speed_and_up,abs(Vf)>=0.95 and abs(YawRate)>=0.1,project_suited_design,4,4,2,0.0711935351542805,0.04792155421189804,0.06485622575,0.03474314809725289,0.0713723045,0.01951875161173092,0.32688334540419617
fast_forward,abs(Vf)>=1.50,project_suited_design,0,0,0,,,,,,,
straightish_forward,abs(YawRate)<0.05 and abs(Vf)>=0.05,project_suited_design,21746,21746,47,0.024100230477634897,0.011026367464515362,0.012090499425043685,0.0072591685381710935,0.005326236999999999,0.004729442338934195,0.5424787545186395
limiter_active,max_force_limiter_activity>0 or limiter_active>0,project_suited_design,31216,31216,44,0.07460143692176592,0.03645455037866837,0.06141388810728472,0.0291174590389726,0.053156193500000004,0.026012555097410805,0.5113425172105192
hardware_saturation_evidence,hardware_saturation_evidence>0,project_suited_design,5017,5017,24,0.06367306127765009,0.04322800385049718,0.05109065277775563,0.034965363587633955,0.043237808999999995,0.030877819690634557,0.3210943060834007
may4_latest_logs,"run_id in {2026-05-04_20-35-47, 2026-05-04_16-57-53}",project_suited_design,5217,5217,2,0.03215754417570671,0.030409164379545398,0.02518525240962239,0.02149271662820895,0.020284214000000002,0.012571976904742706,0.05436919519128325
