dataset_split,axis,bin,rows,raw_row_share,final_weight_sum,final_weight_share
open_floor_fit_downweighted,Vf,"[-0.05,0.05)",3088,0.8935185185185185,1152.0,0.3333333333333333
open_floor_fit_downweighted,Vf,"[-0.15,-0.05)",181,0.05237268518518518,1248.0,0.3611111111111111
open_floor_fit_downweighted,Vf,"[-0.3,-0.15)",45,0.013020833333333334,288.0,0.08333333333333333
open_floor_fit_downweighted,Vf,"[-0.5,-0.3)",1,0.00028935185185185184,96.0,0.027777777777777776
open_floor_fit_downweighted,Vf,"[0.05,0.15)",83,0.024016203703703703,288.0,0.08333333333333333
open_floor_fit_downweighted,Vf,"[0.15,0.3)",56,0.016203703703703703,192.0,0.05555555555555555
open_floor_fit_downweighted,Vf,"[0.3,0.5)",2,0.0005787037037037037,192.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[-0.1,0.1)",1523,0.44068287037037035,672.0,0.19444444444444445
open_floor_fit_downweighted,YawRate,"[-0.5,-0.1)",672,0.19444444444444445,576.0,0.16666666666666666
open_floor_fit_downweighted,YawRate,"[-1.5,-0.5)",160,0.046296296296296294,192.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[-12,-8)",6,0.001736111111111111,96.0,0.027777777777777776
open_floor_fit_downweighted,YawRate,"[-3,-1.5)",138,0.03993055555555555,192.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[-5,-3)",76,0.02199074074074074,192.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[-8,-5)",51,0.014756944444444444,192.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[0.1,0.5)",409,0.11834490740740741,384.0,0.1111111111111111
open_floor_fit_downweighted,YawRate,"[0.5,1.5)",151,0.04369212962962963,192.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[1.5,3)",123,0.035590277777777776,192.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[3,5)",72,0.020833333333333332,192.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[5,8)",67,0.019386574074074073,192.0,0.05555555555555555
open_floor_fit_downweighted,YawRate,"[8,12)",8,0.0023148148148148147,192.0,0.05555555555555555
open_floor_fit_downweighted,Af,"[-0.25,0.25)",1984,0.5740740740740741,1096.4226786686352,0.3172519324851375
open_floor_fit_downweighted,Af,"[-1,-0.25)",592,0.1712962962962963,853.3733565002765,0.24692516102438555
open_floor_fit_downweighted,Af,"[-2,-1)",121,0.03501157407407408,323.89077254594775,0.09371839483389692
open_floor_fit_downweighted,Af,"[-4,-2)",26,0.007523148148148148,49.318751843007355,0.01427047217679611
open_floor_fit_downweighted,Af,"[-8,-4)",5,0.0014467592592592592,2.8023185284538505,0.0008108560556868781
open_floor_fit_downweighted,Af,"[0.25,1)",573,0.1657986111111111,830.8926157759267,0.2404203170647936
open_floor_fit_downweighted,Af,"[1,2)",122,0.03530092592592592,281.68760571485626,0.08150683035730795
open_floor_fit_downweighted,Af,"[2,4)",23,0.006655092592592593,16.23144887340288,0.0046965997897577775
open_floor_fit_downweighted,Af,"[4,8)",7,0.002025462962962963,0.9957292333112675,0.0002881160976016399
open_floor_fit_downweighted,Af,"[8,inf)",3,0.0008680555555555555,0.3847223161823029,0.00011132011463608301
open_floor_fit_downweighted,YawAccel,"[-10,10)",731,0.2115162037037037,778.244308213073,0.22518643177461606
open_floor_fit_downweighted,YawAccel,"[-100,-40)",406,0.11747685185185185,490.0030873935368,0.14178330075044468
open_floor_fit_downweighted,YawAccel,"[-200,-100)",54,0.015625,128.5330541141758,0.037191277232111054
open_floor_fit_downweighted,YawAccel,"[-40,-10)",896,0.25925925925925924,659.7093267398399,0.19088811537611108
open_floor_fit_downweighted,YawAccel,"[-400,-200)",11,0.00318287037037037,118.83966170051315,0.03438647618649107
open_floor_fit_downweighted,YawAccel,"[10,40)",876,0.2534722222222222,805.8113616260748,0.23316300972976703
open_floor_fit_downweighted,YawAccel,"[100,200)",78,0.022569444444444444,54.479875620321415,0.015763852899398557
open_floor_fit_downweighted,YawAccel,"[200,400)",13,0.003761574074074074,68.03604684925449,0.019686356148511136
open_floor_fit_downweighted,YawAccel,"[40,100)",391,0.11313657407407407,352.34327774321054,0.10195117990254934
open_floor_validation_only,Vf,"[-0.05,0.05)",1488,0.8449744463373083,586.9999999999999,0.3333333333333333
open_floor_validation_only,Vf,"[-0.15,-0.05)",77,0.043725156161272004,251.57142857142856,0.14285714285714288
open_floor_validation_only,Vf,"[-0.3,-0.15)",61,0.034639409426462237,251.57142857142853,0.14285714285714285
open_floor_validation_only,Vf,"[-0.5,-0.3)",1,0.0005678591709256105,83.85714285714285,0.047619047619047616
open_floor_validation_only,Vf,"[0.05,0.15)",79,0.044860874503123226,251.57142857142853,0.14285714285714285
open_floor_validation_only,Vf,"[0.15,0.3)",50,0.028392958546280524,167.7142857142857,0.09523809523809523
open_floor_validation_only,Vf,"[0.3,0.5)",5,0.0028392958546280523,167.7142857142857,0.09523809523809523
open_floor_validation_only,YawRate,"[-0.1,0.1)",1003,0.5695627484383873,586.9999999999999,0.3333333333333333
open_floor_validation_only,YawRate,"[-0.5,-0.1)",282,0.16013628620102216,503.14285714285705,0.2857142857142857
open_floor_validation_only,YawRate,"[-1.5,-0.5)",108,0.06132879045996593,83.85714285714285,0.047619047619047616
open_floor_validation_only,YawRate,"[-3,-1.5)",4,0.002271436683702442,83.85714285714285,0.047619047619047616
open_floor_validation_only,YawRate,"[0.1,0.5)",258,0.1465076660988075,335.4285714285714,0.19047619047619047
open_floor_validation_only,YawRate,"[0.5,1.5)",98,0.055650198750709826,83.85714285714285,0.047619047619047616
open_floor_validation_only,YawRate,"[1.5,3)",8,0.004542873367404884,83.85714285714285,0.047619047619047616
open_floor_validation_only,Af,"[-0.25,0.25)",1232,0.6996024985803521,496.5376134214083,0.2819634374908622
open_floor_validation_only,Af,"[-1,-0.25)",204,0.11584327086882454,443.04754896065265,0.25158861383342007
open_floor_validation_only,Af,"[-2,-1)",56,0.03180011357183418,154.75469391113663,0.08787887218122467
open_floor_validation_only,Af,"[-4,-2)",9,0.005110732538330494,11.513431547457635,0.006538007693048062
open_floor_validation_only,Af,"[0.25,1)",186,0.10562180579216354,465.6210368411573,0.26440717594614277
open_floor_validation_only,Af,"[1,2)",55,0.031232254400908575,165.21444738560743,0.09381853911732393
open_floor_validation_only,Af,"[2,4)",10,0.0056785917092561046,14.33402327621263,0.008139706573658508
open_floor_validation_only,Af,"[4,8)",5,0.0028392958546280523,8.757869155299467,0.004973236317603332
open_floor_validation_only,Af,"[8,inf)",4,0.002271436683702442,1.219335501067706,0.0006924108467164714
open_floor_validation_only,YawAccel,"[-10,10)",282,0.16013628620102216,228.9394925043359,0.1300053904056422
open_floor_validation_only,YawAccel,"[-100,-40)",262,0.14877910278250994,253.4265684993789,0.14391060107857975
open_floor_validation_only,YawAccel,"[-200,-100)",8,0.004542873367404884,4.37547125570002,0.0024846514796706535
open_floor_validation_only,YawAccel,"[-40,-10)",479,0.2720045428733674,390.4764984116379,0.2217356606539682
open_floor_validation_only,YawAccel,"[10,40)",443,0.2515616127200454,499.56550036440046,0.28368285085996625
open_floor_validation_only,YawAccel,"[100,200)",9,0.005110732538330494,5.329662795587731,0.0030264978964155203
open_floor_validation_only,YawAccel,"[40,100)",278,0.15786484951731972,378.88680616895886,0.21515434762575747
