stage,generation,best_score,median_score,drive_scale,longitudinal_mu,longitudinal_k_mps,mu_peak,mu_slide,stribeck_speed_mps,low_speed_gate_mps,lateral_sign_eps_mps,alpha_floor_mps,alpha_knee,corner_mu_front,corner_mu_rear,iteration,max_step
differential_evolution,0,0.03650824930490621,0.056399597927946896,0.18,0.5332532785551198,0.30113246285836537,5.0,0.2335709490168574,0.24258624409814272,0.08158566359121795,0.015413965634330791,0.12616892276603248,0.9,0.4924262376400348,2.607239485393592,,
differential_evolution,1,0.03650824930490621,0.05092403926801742,0.18,0.5332532785551198,0.30113246285836537,5.0,0.2335709490168574,0.24258624409814272,0.08158566359121795,0.015413965634330791,0.12616892276603248,0.9,0.4924262376400348,2.607239485393592,,
differential_evolution,2,0.03233821986482361,0.04729786099673536,0.18,0.1398155422850063,0.32275669957806036,4.981361778680227,0.15045614613808944,0.02,0.3665822434029719,0.014039923471441628,0.319649131576765,0.02,2.183715532656764,1.704203771183063,,
differential_evolution,3,0.03233821986482361,0.04541330796347034,0.18,0.1398155422850063,0.32275669957806036,4.981361778680227,0.15045614613808944,0.02,0.3665822434029719,0.014039923471441628,0.319649131576765,0.02,2.183715532656764,1.704203771183063,,
differential_evolution,4,0.03191795346387218,0.04360836615773239,0.18,0.4459403645024943,0.20055516530634784,5.0,0.001093649230381688,0.02,0.3665822434029719,0.012412907662015527,0.1676336499795219,0.29082062060904884,3.4877061048553193,1.3226521336947223,,
differential_evolution,5,0.03191795346387218,0.041557708105181376,0.18,0.4459403645024943,0.20055516530634784,5.0,0.001093649230381688,0.02,0.3665822434029719,0.012412907662015527,0.1676336499795219,0.29082062060904884,3.4877061048553193,1.3226521336947223,,
differential_evolution,6,0.03071857245363089,0.03957399335575604,0.07254332340027908,0.0,0.4877590723614279,4.2684023470177,0.0,0.02,0.09111281462926447,0.006711475389022425,0.8,0.34490570705588836,0.05,0.5254524831541225,,
differential_evolution,7,0.028491977584495114,0.0382439108468596,0.18,0.16225450972177285,0.5762154499890912,5.0,0.260922494916867,0.02,0.16769961015261856,0.014384353985571627,0.664852086598526,0.6515330137089398,0.4700460355330449,2.054415085597593,,
differential_evolution,8,0.028491977584495114,0.035295854488651246,0.18,0.16225450972177285,0.5762154499890912,5.0,0.260922494916867,0.02,0.16769961015261856,0.014384353985571627,0.664852086598526,0.6515330137089398,0.4700460355330449,2.054415085597593,,
differential_evolution,9,0.027842022392887647,0.03375130853090598,0.18,1.0166109386592177,0.7,5.0,0.44250605647266206,0.02,0.08,0.012685570937764144,0.3078697661229719,0.9,1.2872343716150683,2.1001378673331996,,
differential_evolution,10,0.027759458064397696,0.032514220430529324,0.10270146555969237,0.2734856839754114,0.425197480061513,4.57021762141054,0.3589934057130836,0.02,0.08,0.012885467993731577,0.4100769658362102,0.7453243705715351,0.9330692374712863,2.7489699978708506,,
differential_evolution,11,0.027759458064397696,0.03129922711116363,0.10270146555969237,0.2734856839754114,0.425197480061513,4.57021762141054,0.3589934057130836,0.02,0.08,0.012885467993731577,0.4100769658362102,0.7453243705715351,0.9330692374712863,2.7489699978708506,,
differential_evolution,12,0.027431510385368767,0.030484657327901735,0.18,0.5300672525737202,0.7,4.524195875514526,0.5,0.02,0.08,0.011032402488300314,0.41707485014929313,0.6583803582406602,1.7118772909696722,1.4830101378032812,,
differential_evolution,13,0.027431510385368767,0.029582906232186644,0.18,0.5300672525737202,0.7,4.524195875514526,0.5,0.02,0.08,0.011032402488300314,0.41707485014929313,0.6583803582406602,1.7118772909696722,1.4830101378032812,,
differential_evolution,14,0.027431510385368767,0.02910108366633986,0.18,0.5300672525737202,0.7,4.524195875514526,0.5,0.02,0.08,0.011032402488300314,0.41707485014929313,0.6583803582406602,1.7118772909696722,1.4830101378032812,,
differential_evolution,15,0.026950978971956918,0.0290100331385252,0.16427866916792586,0.17542868553392788,0.7,4.96062590548622,0.0,0.027750009290780527,0.08,0.017875371347801965,0.05614764324800629,0.9,0.8461433614826724,0.8948233528933982,,
