group,project_suited_direct_rmse_nm,brush_combined_slip_rmse_nm,bristle_slip_rmse_nm,scalar_partition_rmse_nm,standalone_contact_traction_rmse_nm,force_domain_stribeck_rmse_nm,rational_residual_reference_rmse_nm
primary_open_floor_fit_authoritative,0.019681840288807574,0.016671848220291205,0.016764328630563263,0.03648751201478974,0.016887630899899024,0.027907821180421354,0.021083018384621146
open_floor_fit_downweighted,0.02865440568765535,0.02673770378330386,0.02648343184203124,0.04534728838987143,0.02663246465575232,0.04150718685740355,0.03282316561347566
open_floor_validation_only,0.019564374627577194,0.006963848525099515,0.008252925029549038,0.017999683768466623,0.007711279672300156,0.01139376781450519,0.011206860684196811
diag_validation_only,0.032590380142293304,0.02861219540478924,0.026664540160771345,0.09634588059629108,0.023947153628180864,0.08441017836709906,0.03848912769383371
aux_downweighted_validation,0.02458148052865168,0.022071318374248257,0.02204329523371146,0.05576844462537931,0.020687366391557327,0.048819706958314515,0.027490242677710965
validation_non_authoritative,0.02693042429110074,0.023428871916633842,0.023020962403738417,0.055162178121843694,0.022326615396330518,,0.029680153603611304
