group,count,run_count,baseline_rmse_nm,direct_model_rmse_nm,rmse_improvement_fraction,baseline_mae_nm,direct_model_mae_nm,baseline_median_abs_nm,direct_model_median_abs_nm,baseline_signed_median_nm,direct_model_signed_median_nm,run_balanced_direct_rmse_nm
primary_open_floor_fit_authoritative,47317,15,0.03686617689817292,0.01709097288283755,0.5364050649991707,0.02548019573497897,0.012299845447695296,0.016044601999999998,0.009119345341938935,-0.001648731,-0.0004294194766536261,0.01672037649258085
open_floor_fit_downweighted,31165,9,0.04319407311475569,0.02557036698031998,0.40801213832309813,0.02784968490046526,0.01656444802252502,0.013314393999999993,0.008575882722553014,-0.000637863,-0.00017584742466454856,0.023361429875794027
open_floor_validation_only,14542,9,0.01693070910515983,0.007202368730581547,0.5745973375452691,0.010368821407646818,0.004961078991495987,0.005201232,0.0036713045385436916,0.0008589390000000001,0.00038736809123083714,0.007449128091199601
diag_validation_only,11108,3,0.08462092512247131,0.031364042843066896,0.629358308270987,0.07380607165700397,0.024000751208306526,0.0823600235,0.01763268250220958,0.006359523000000001,0.0023406354377920914,0.031385687920221624
aux_downweighted_validation,14448,13,0.0512663739166604,0.023069921516792307,0.5499989612236821,0.033056377596483943,0.011679001959572118,0.016359514999999998,0.005635800859377265,0.0012553225,0.0008204617531358583,0.022458052798161328
validation_non_authoritative,71263,34,0.050233832045862625,0.0236170168669229,0.5298583463558789,0.03250151156017849,0.014365289112864934,0.014290832,0.006859025376026381,0.00043578499999999973,0.00036922043049906675,0.020950313219916257
