dataset_split,axis,bin,rows,raw_row_share,final_weight_sum,final_weight_share
primary_open_floor_fit_authoritative,YawRate,"[5,8)",801,0.01692837669336602,1333.598454758148,0.028184340823766255
primary_open_floor_fit_authoritative,YawRate,"[8,12)",859,0.0181541517847708,1315.576854018173,0.02780347135317482
primary_open_floor_fit_authoritative,Af,"[-0.25,0.25)",20423,0.4316207705475833,11974.838504311198,0.2530768752099921
primary_open_floor_fit_authoritative,Af,"[-1,-0.25)",8446,0.17849821417249614,9083.725049892648,0.1919759293677251
primary_open_floor_fit_authoritative,Af,"[-2,-1)",2671,0.056449056364520155,4261.576683899563,0.09006438877992187
primary_open_floor_fit_authoritative,Af,"[-4,-2)",1243,0.02626962825200245,2284.83383931767,0.04828780014197159
primary_open_floor_fit_authoritative,Af,"[-8,-4)",702,0.014836105416657861,1280.0972329988397,0.027053643151485507
primary_open_floor_fit_authoritative,Af,"[-inf,-8)",374,0.007904135934230826,826.4984708971203,0.017467262736376363
primary_open_floor_fit_authoritative,Af,"[0.25,1)",8368,0.1768497580150897,8941.880715518373,0.18897818364474445
primary_open_floor_fit_authoritative,Af,"[1,2)",2746,0.05803411036202633,4378.745611876766,0.09254064314890559
primary_open_floor_fit_authoritative,Af,"[2,4)",1308,0.02764334171650781,2412.158147575754,0.050978678859094066
primary_open_floor_fit_authoritative,Af,"[4,8)",659,0.013927341124754317,1137.5555292216677,0.024041159186374193
primary_open_floor_fit_authoritative,Af,"[8,inf)",377,0.007967538094131074,735.0902144903989,0.015535435773409111
primary_open_floor_fit_authoritative,YawAccel,"[-10,10)",9056,0.1913899866855464,6483.712002935761,0.13702711505242854
primary_open_floor_fit_authoritative,YawAccel,"[-100,-40)",8843,0.18688843333262886,7748.038949645291,0.1637474681329182
primary_open_floor_fit_authoritative,YawAccel,"[-200,-100)",1742,0.03681552084874358,3151.8927385234406,0.06661226913209714
primary_open_floor_fit_authoritative,YawAccel,"[-40,-10)",7961,0.16824819832195617,7657.17828203806,0.16182721394082591
primary_open_floor_fit_authoritative,YawAccel,"[-400,-200)",524,0.01107424392924319,1485.0942236495307,0.03138606047825371
primary_open_floor_fit_authoritative,YawAccel,"[-800,-400)",32,0.0006762897056026376,104.08864068358321,0.0021998148801399752
primary_open_floor_fit_authoritative,YawAccel,"[10,40)",7895,0.16685335080415073,7533.196521833634,0.15920697681242754
primary_open_floor_fit_authoritative,YawAccel,"[100,200)",1947,0.04114800177526048,3531.780233712367,0.07464083170345473
primary_open_floor_fit_authoritative,YawAccel,"[200,400)",486,0.010271149903840057,1418.0042530111361,0.029968177462880913
primary_open_floor_fit_authoritative,YawAccel,"[40,100)",8799,0.18595853498742523,8125.844263881156,0.17173202578103336
primary_open_floor_fit_authoritative,YawAccel,"[400,800)",32,0.0006762897056026376,78.16989008603841,0.0016520466235399203
