dataset_split,vf_bin,yaw_rate_bin,af_bin,yaw_accel_bin,merge_level,rows,run_count,raw_quality_sum,final_weight_sum,priority,calibration_row_share
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)",*,*,merged_drop_af_yawaccel,16,6,12.3419839815492,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)",*,"[-10,10)",merged_drop_af,39,11,34.045451147930486,51.49028782849991,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)",*,"[-100,-40)",merged_drop_af,51,12,40.65463811390248,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)",*,"[-200,-100)",merged_drop_af,44,10,37.658482801171324,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)",*,"[-40,-10)",merged_drop_af,27,9,21.076434783730743,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)",*,"[10,40)",merged_drop_af,35,12,25.93357565783139,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)",*,"[100,200)",merged_drop_af,54,9,44.91449285570016,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)",*,"[40,100)",merged_drop_af,53,12,37.45552847479969,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-0.25,0.25)","[-10,10)",full_4d,735,14,730.9444178693553,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-0.25,0.25)","[-100,-40)",full_4d,1332,10,1323.0548143457695,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-0.25,0.25)","[-40,-10)",full_4d,613,15,599.4839299033091,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-0.25,0.25)","[10,40)",full_4d,638,13,633.4085124718101,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-0.25,0.25)","[40,100)",full_4d,1301,9,1293.9903128769847,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-1,-0.25)","[-10,10)",full_4d,284,12,279.3017807760417,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-1,-0.25)","[-100,-40)",full_4d,161,11,154.35941786689858,51.49028782849991,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-1,-0.25)","[-40,-10)",full_4d,135,14,132.3404894017322,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-1,-0.25)","[10,40)",full_4d,138,14,136.73115323943858,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-1,-0.25)","[40,100)",full_4d,168,11,163.70711330025594,51.49028782849991,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-2,-1)","[-10,10)",full_4d,65,10,62.66330012141485,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-2,-1)","[-100,-40)",full_4d,44,11,41.28365566620716,51.49028782849991,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-2,-1)","[-40,-10)",full_4d,33,10,30.043885798088876,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-2,-1)","[10,40)",full_4d,24,11,22.216910067212147,51.49028782849991,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[-2,-1)","[40,100)",full_4d,40,11,38.25120805089168,51.49028782849991,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[0.25,1)","[-10,10)",full_4d,325,13,323.8672975258237,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[0.25,1)","[-100,-40)",full_4d,179,11,177.99762939201116,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[0.25,1)","[-40,-10)",full_4d,127,15,123.1813983360167,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[0.25,1)","[10,40)",full_4d,136,14,133.9758308869727,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[0.25,1)","[40,100)",full_4d,174,13,169.1112553313561,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[1,2)","[-10,10)",full_4d,46,11,42.88251850822983,51.49028782849991,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[1,2)","[-100,-40)",full_4d,51,13,47.743635220937755,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[1,2)","[-40,-10)",full_4d,23,12,22.134960877735107,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[1,2)","[10,40)",full_4d,42,13,38.085517160890554,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.1,0.1)","[1,2)","[40,100)",full_4d,41,12,36.26909429270804,51.490287828499916,1.0,0.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)",*,*,merged_drop_af_yawaccel,39,10,29.939369907445293,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)",*,"[-10,10)",merged_drop_af,43,12,39.19275974064495,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)",*,"[-100,-40)",merged_drop_af,70,12,60.09808034257784,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)",*,"[-200,-100)",merged_drop_af,49,11,37.971633778793866,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)",*,"[-40,-10)",merged_drop_af,36,12,32.94484201620261,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)",*,"[10,40)",merged_drop_af,50,10,43.64246715795108,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)",*,"[100,200)",merged_drop_af,71,10,65.8006391192051,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)",*,"[40,100)",merged_drop_af,62,13,56.56790226418391,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[-0.25,0.25)","[-10,10)",full_4d,99,12,94.50186114818385,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[-0.25,0.25)","[-100,-40)",full_4d,44,8,39.68952358341971,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[-0.25,0.25)","[-40,-10)",full_4d,48,10,45.782423955171595,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[-0.25,0.25)","[10,40)",full_4d,85,12,81.0706214942006,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[-0.25,0.25)","[40,100)",full_4d,130,11,127.2145654912085,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[-1,-0.25)","[-10,10)",full_4d,42,13,41.21135429164577,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[-1,-0.25)","[-40,-10)",full_4d,23,8,21.195771624887445,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[-1,-0.25)","[10,40)",full_4d,53,14,50.3997945013408,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[-1,-0.25)","[40,100)",full_4d,47,12,45.30513904103006,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[0.25,1)","[-10,10)",full_4d,53,11,52.25,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[0.25,1)","[-100,-40)",full_4d,31,9,30.18466784810211,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[0.25,1)","[-40,-10)",full_4d,30,10,28.819589890737213,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[0.25,1)","[10,40)",full_4d,39,10,37.34850428586395,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[0.25,1)","[100,200)",full_4d,21,9,19.411348222470867,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[0.25,1)","[40,100)",full_4d,65,14,61.35874249126076,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-0.5,-0.1)","[1,2)","[40,100)",full_4d,23,12,21.9497953101018,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)",*,*,merged_drop_af_yawaccel,15,7,11.669384593637774,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)",*,"[-10,10)",merged_drop_af,65,12,58.193407733115436,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)",*,"[-100,-40)",merged_drop_af,75,13,66.95425530404265,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)",*,"[-200,-100)",merged_drop_af,51,12,41.86088835162246,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)",*,"[-40,-10)",merged_drop_af,26,8,23.99933014232383,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)",*,"[-400,-200)",merged_drop_af,21,7,14.826863114772669,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)",*,"[10,40)",merged_drop_af,48,12,44.57125501475788,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)",*,"[100,200)",merged_drop_af,53,11,47.52939466061475,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)",*,"[40,100)",merged_drop_af,53,10,47.56560872844781,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)","[-0.25,0.25)","[-10,10)",full_4d,32,7,29.937424495491662,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)","[-0.25,0.25)","[-100,-40)",full_4d,21,9,18.370406074260142,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)","[-0.25,0.25)","[-40,-10)",full_4d,32,11,30.829539437865222,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)","[-0.25,0.25)","[10,40)",full_4d,41,9,36.547378590280196,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)","[-0.25,0.25)","[100,200)",full_4d,29,10,27.78957567004834,69.51188856847489,1.35,1.0
primary_open_floor_fit_authoritative,"[-0.05,0.05)","[-1.5,-0.5)","[-0.25,0.25)","[40,100)",full_4d,51,12,48.10985766152795,69.51188856847489,1.35,1.0
