group,count,run_count,baseline_rmse_nm,direct_model_rmse_nm,rmse_improvement_fraction,baseline_mae_nm,direct_model_mae_nm,baseline_median_abs_nm,direct_model_median_abs_nm,baseline_signed_median_nm,direct_model_signed_median_nm,run_balanced_direct_rmse_nm,run_id,dataset_split
2026-05-04_20-35-47,3456,1,0.03584595564794367,0.029350880355879516,0.18119408939336643,0.028876796461805552,0.021070558463470262,0.025485003500000002,0.013419512271345274,-0.009360000500000002,0.0014929312650505456,0.029350880355879516,2026-05-04_20-35-47,open_floor_fit_downweighted
2026-05-04_16-57-53,1761,1,0.023277853459827615,0.03238569452594756,-0.39126636319100694,0.01794051859681999,0.022321211016248076,0.013238941,0.010907158039681397,0.000686103,0.0001436243704824665,0.032385694525947556,2026-05-04_16-57-53,open_floor_validation_only
2026-04-22_12-10-34,2187,1,0.016217132975038465,0.01421238362075265,0.12361922155855425,0.013081637976680384,0.011414026772117187,0.011327229,0.009893337349381174,0.003115614,-0.0006709741998694859,0.01421238362075265,2026-04-22_12-10-34,open_floor_fit_downweighted
2026-04-22_01-06-32,1031,1,0.04497527945188074,0.012413963134117564,0.7239825236127923,0.03335614529679923,0.00979456489319652,0.026813516,0.008544787493135409,-0.009991152,-0.001789009299923594,0.012413963134117563,2026-04-22_01-06-32,primary_open_floor_fit_authoritative
2026-04-21_05-32-06,8880,1,0.042584173842427964,0.01798866157892435,0.5775740150440192,0.03655989283671171,0.014497003821387274,0.034704941,0.012418126734237327,-0.012155007499999999,-0.0010898083536513717,0.01798866157892435,2026-04-21_05-32-06,primary_open_floor_fit_authoritative
2026-04-21_00-16-10,3757,1,0.039823975581998204,0.022528027303333694,0.4343099358086908,0.02832533189193506,0.01679399841326651,0.019252262000000006,0.01289500329643278,-0.008941154,-0.0032024323324457817,0.022528027303333694,2026-04-21_00-16-10,primary_open_floor_fit_authoritative
2026-04-20_12-10-58,2925,1,0.040354823027093784,0.02346717970495622,0.41847893400001746,0.02706600433162393,0.017193254836089383,0.015359406999999999,0.012837019806130931,-0.0036749550000000006,-0.0007704569951876451,0.023467179704956223,2026-04-20_12-10-58,primary_open_floor_fit_authoritative
2026-04-20_08-38-39,7284,1,0.056225357740350174,0.03470176226120023,0.3828094003162476,0.042291618711285006,0.027373064458817497,0.0368143275,0.025401439727302313,-0.00016737000000000013,-5.849890241089767e-06,0.034701762261200225,2026-04-20_08-38-39,open_floor_fit_downweighted
diag003,5580,1,0.08523812922561612,0.032716671389820394,0.6161732819918783,0.07495094215143369,0.028156427866506524,0.085086003,0.028197281545392153,0.012440089500000001,0.0065382305553297335,0.0327166713898204,diag003,diag_validation_only
