"stage","log_parameter","count","rms_nis","sqrt_mean_nis","rejected_rate","accepted_only_rms_nis","physical_residual_rms"
"launch","forward_accel_nis","26200","22.656514627363222","1.8849366166223476","0.0133206106870229","2.284815242620148","3.908291071723953"
"launch","right_accel_nis","26200","6.4147307589172025","1.411040020519","0.013702290076335878","3.4393893870974144","2.0723225506888734"
"launch","yaw_rate_nis","26200","6.8238283530212955","1.1874600811607865","0","6.8238283530212955","0.07751055612948243"
"mixed_launch","forward_accel_nis","77263","31.546351208906756","2.4592738306504267","0.027775261121105833","2.834726963692092","4.937972172714558"
"mixed_launch","right_accel_nis","77263","13.979667152156685","2.104834778925732","0.04559750462705305","4.683606105923887","3.0330578920317577"
"mixed_launch","yaw_rate_nis","77263","14.393374765696915","1.548618710040677","0","14.393374765696915","0.10398806035182573"
"SEC_20_LAUNCH","forward_accel_nis","52167","12.470185730756931","1.3475948184426016","0.009047865508846589","1.77572242878417","2.9537503311786057"
"SEC_20_LAUNCH","right_accel_nis","52167","4.1477336906408935","1.1032092159575835","0.007955220733413844","2.6400171768259075","1.6027814386387054"
"SEC_20_LAUNCH","yaw_rate_nis","52167","1.7162747781447858","0.8219625627253994","0","1.7162747781447858","0.05594156285351441"
"SEC_30_STRAIGHT","forward_accel_nis","32803","57.68783429772945","3.620761659005375","0.05499496997225863","3.1078988184876555","5.865519915451252"
"SEC_30_STRAIGHT","right_accel_nis","32803","17.292385862595726","2.1774207182868683","0.04405084900771271","4.009571240423755","3.0453865025925344"
"SEC_30_STRAIGHT","yaw_rate_nis","32803","36.306047075610884","2.019512228933798","0","36.306047075610884","0.12141517184222449"
"SEC_40_YAW","forward_accel_nis","11254","6.501338236008297","2.202719881629019","0.000888572951839346","5.813778722557562","3.512458685"
"SEC_40_YAW","right_accel_nis","11254","5.441971066725615","1.8621147597189731","0.006308867958059357","4.325272545676669","2.45927966032"
"SEC_40_YAW","yaw_rate_nis","11254","7.190923505695162","2.315981038447004","0","7.190923505695162","0.147439000209"
"straight","forward_accel_nis","1095","101.643714522882","6.695607969919484","0.3105022831050228","6.779140323636152","8.94507137473"
"straight","right_accel_nis","1095","64.82691298348269","5.723229277372161","0.319634703196347","10.099925704896522","7.66351141098"
"straight","yaw_rate_nis","1095","288.59254201054745","8.819750443683679","0","288.59254201054745","0.400749655997"
"yaw_launch","forward_accel_nis","174625","99.3253404974415","5.646509215395966","0.13198568360773086","7.329485014008335","7.4290902318514895"
"yaw_launch","right_accel_nis","174625","47.84145668914098","3.7391400922822227","0.10454974946313529","5.4657772189775","4.6406876372295365"
"yaw_launch","yaw_rate_nis","174625","146.1766802768574","5.215081078580446","0","146.1766802768574","0.22699234052368658"
