"stage","count","rms_nis","sqrt_mean_nis","rejected_rate","accepted_only_rms_nis","physical_residual_rms"
"launch","78600","14.15428155672127","1.5225068617842463","0.00900763358778626","4.617318965435288","2.554425424090664"
"mixed_launch","231789","21.58527743182516","2.0717606948185727","0.02445758858271963","8.978349651379558","3.346332463639119"
"SEC_20_LAUNCH","156501","7.651902291634134","1.1118610259963848","0.005667695414086811","2.0863458149264713","1.9405049873196216"
"SEC_30_STRAIGHT","98409","40.599843550764504","2.7036706911506694","0.03301527299332378","21.513297779962468","3.8163439953565303"
"SEC_40_YAW","33762","6.418510440250692","2.135666517798216","0.002399146969966234","5.8968806606841015","2.4770386028668865"
"straight","3285","180.57281878611258","7.1966315578210525","0.2100456621004566","187.5801549738142","6.804515886086643"
"yaw_launch","523875","105.70706393903583","4.934953752077509","0.07884514435695537","88.08371226028264","5.05894880194106"
