"parameter_value","launch_command_signature","log_parameter","count","rms_nis","sqrt_mean_nis","rejected_rate","accepted_only_rms_nis","physical_residual_rms"
"-0.3","pair=-0.3,0.3;linear=0;yaw=0.3","forward_accel_nis","2500","12.908732393151546","1.7149533602754332","0.0048","2.4808814262526537","2.52591906265"
"-0.3","pair=-0.3,0.3;linear=0;yaw=0.3","right_accel_nis","2500","3.835844421344536","1.0729077045561748","0.0076","1.589529931172074","1.41069071685"
"-0.3","pair=-0.3,0.3;linear=0;yaw=0.3","yaw_rate_nis","2500","3.100273121794272","1.5286955955977632","0","3.100273121794272","0.0887570643975"
"-0.35","pair=-0.36,0.36;linear=0;yaw=0.36","forward_accel_nis","2500","25.22198781856815","2.6544559040074485","0.02","4.287623111368682","3.91650473457"
"-0.35","pair=-0.36,0.36;linear=0;yaw=0.36","right_accel_nis","2500","2.8276922899707455","1.1610234987268777","0.0032","2.0404328211023715","1.52725089088"
"-0.35","pair=-0.36,0.36;linear=0;yaw=0.36","yaw_rate_nis","2500","3.2288620720990857","1.5913573983527396","0","3.2288620720990857","0.100172773408"
"-0.4","pair=-0.4,0.4;linear=0;yaw=0.4","forward_accel_nis","2500","23.60217626736992","2.782528423538563","0.0224","5.561395956379422","4.14262909267"
"-0.4","pair=-0.4,0.4;linear=0;yaw=0.4","right_accel_nis","2500","5.795408397346989","1.4724222342602682","0.014","2.387377295883625","1.93228432539"
"-0.4","pair=-0.4,0.4;linear=0;yaw=0.4","yaw_rate_nis","2500","4.051663263994183","1.7465983385289248","0","4.051663263994183","0.116338040679"
"-0.45","pair=-0.46,0.46;linear=0;yaw=0.46","forward_accel_nis","2500","39.154774462279825","3.874497888630216","0.0628","8.176615424557381","5.62449902964"
"-0.45","pair=-0.46,0.46;linear=0;yaw=0.46","right_accel_nis","2500","6.575615210761652","1.8016827201113963","0.014","4.176667473046625","2.34623452973"
"-0.45","pair=-0.46,0.46;linear=0;yaw=0.46","yaw_rate_nis","2500","5.180667756662262","1.9165973437475072","0","5.180667756662262","0.133109216949"
"-0.5","pair=-0.5,0.5;linear=0;yaw=0.5","forward_accel_nis","11500","20.334843993607322","3.1105997256226137","0.019130434782608695","8.390150432932298","4.5559367062"
"-0.5","pair=-0.5,0.5;linear=0;yaw=0.5","right_accel_nis","11500","6.782959614382782","1.7660652966115529","0.009739130434782608","3.4610597118937423","2.30050695561"
"-0.5","pair=-0.5,0.5;linear=0;yaw=0.5","yaw_rate_nis","11500","5.916641340203807","1.890238208982046","0","5.916641340203807","0.134737635033"
"-0.5","pair=0,0;linear=0;yaw=0","forward_accel_nis","1272","0.5192229745512873","0.41895717312669106","0","0.5192229745512873","0.858538082603"
"-0.5","pair=0,0;linear=0;yaw=0","right_accel_nis","1272","3.235141636032135","0.6894002670657634","0.00550314465408805","1.3344449833325847","0.913775800748"
"-0.5","pair=0,0;linear=0;yaw=0","yaw_rate_nis","1272","1.957727904957844","0.9167966696293112","0","1.957727904957844","0.0478233975829"
"-0.55","pair=-0.56,0.56;linear=0;yaw=0.56","forward_accel_nis","10250","20.148106621497206","3.148310569085368","0.020097560975609757","9.008783848390475","4.84905614169"
