"parameter_value","launch_command_signature","log_parameter","count","rms_nis","sqrt_mean_nis","rejected_rate","accepted_only_rms_nis","physical_residual_rms"
"-0.8","pair=-0.8,0.8;linear=0;yaw=0.8","forward_accel_nis","9000","261.73240164993797","13.055218393594359","0.6378888888888888","9.457844335912732","16.0410292145"
"-0.8","pair=-0.8,0.8;linear=0;yaw=0.8","right_accel_nis","9000","78.75151209468933","6.380798483471067","0.3903333333333333","9.823024374064836","7.776642835900001"
"-0.8","pair=-0.8,0.8;linear=0;yaw=0.8","yaw_rate_nis","9000","245.69484053846597","9.553388925477934","0","245.69484053846597","0.377911645771"
"-0.8","pair=0,0;linear=0;yaw=0","forward_accel_nis","1877","44.399735159303624","3.345107201703664","0.08151305274374002","3.5205878615829618","4.25172998941"
"-0.8","pair=0,0;linear=0;yaw=0","right_accel_nis","1877","25.850251379999452","2.8241454114866498","0.09536494405966968","4.149901417755691","3.5591081785100003"
"-0.8","pair=0,0;linear=0;yaw=0","yaw_rate_nis","1877","54.3958240394445","3.402913086874938","0","54.3958240394445","0.146479892758"
"0.8","pair=0,0;linear=0;yaw=0","forward_accel_nis","1979","31.068515556399234","2.744095717862684","0.06417382516422436","4.049021567682933","3.57700273637"
"0.8","pair=0,0;linear=0;yaw=0","right_accel_nis","1979","65.43125824873871","4.071354395020588","0.10005053057099546","3.9701843028004706","5.0262420377"
"0.8","pair=0,0;linear=0;yaw=0","yaw_rate_nis","1979","71.85084464394632","4.156756168476053","0","71.85084464394632","0.174674921151"
"0.8","pair=0.8,-0.8;linear=0;yaw=-0.8","forward_accel_nis","9000","236.61210817144024","12.507910223490128","0.6134444444444445","8.702676686691197","15.3432105003"
"0.8","pair=0.8,-0.8;linear=0;yaw=-0.8","right_accel_nis","9000","125.14710951027905","8.219014805755142","0.4882222222222222","10.065549729688573","10.0175252137"
"0.8","pair=0.8,-0.8;linear=0;yaw=-0.8","yaw_rate_nis","9000","164.84682987414575","7.839525180044743","0","164.84682987414575","0.308296561176"
